evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 9582370.6823017672 0.488135 2.151894 1.027634 0.448832 -0.763452 1.458941 -0.624128 3.917730 4.636628 -1.165585
2 12517550.6159184799 2.917250 0.288949 0.680446 4.255966 -4.289639 -4.128707 -4.797816 3.326198 2.781568 3.700121
3 9732187.4978895001 4.786183 2.991586 -0.385206 2.805292 -3.817256 1.399210 -3.566467 4.446689 0.218483 -0.853381
4 33291200.9642041884 -2.354444 2.742337 -0.438497 0.684339 -4.812102 1.176355 1.120957 1.169340 4.437481 1.818203
5 50503439.8173925206 -1.404921 -0.629680 1.976312 -4.397745 1.667667 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
6 81744792.9215016514 0.701968 -0.613985 4.883738 -3.979552 -2.911232 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
7 159961554.3282851875 -3.410304 -3.896249 1.563296 -3.618170 -3.034176 -1.312748 3.209932 -4.028987 3.379449 -4.039016
8 26708073.6228700876 4.764595 -0.313488 4.767611 1.048455 2.392636 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
9 27740467.4651912898 -1.820168 -0.857370 -4.358525 1.924721 0.666015 -2.346105 0.232481 -4.060595 0.759465 4.292962
10 128099244.7766559869 -1.814310 1.674104 -3.682021 2.163272 -2.105939 -3.168086 0.865129 -4.798925 3.289400 -4.953045
11 2893030.6581413094 1.778165 -2.299920 2.351940 4.621885 -2.512469 0.761573 0.920419 0.722519 -2.769184 4.527490
12 3046565.2005222128 -0.528746 3.464087 1.994793 -2.025630 3.137978 -1.034943 3.811032 0.812729 3.817354 1.925316
13 25098736.0599866696 2.252543 0.013244 4.560836 1.439902 -0.761450 1.063932 -4.808068 -1.984252 1.601735 -2.099224
14 22249087.8309452049 1.180154 -0.712313 -3.645259 -2.017177 0.699649 0.908728 0.743252 1.532008 1.521033 -0.685816
15 10941933.2086033709 3.965466 -1.324381 -0.641351 3.919234 3.061940 2.038886 -3.997731 4.194826 2.142413 4.988470
16 64693750.7284729257 -3.505517 3.681261 -3.375071 1.155596 -3.761800 3.480082 3.073190 0.691007 -0.928167 -4.308330
17 3868657.6349754138 1.974288 -0.464573 2.220556 3.663823 4.755215 3.558033 -4.882859 -1.400219 2.299906 -3.283703
18 48729800.1729341224 0.210366 -4.456620 -3.000035 -4.814782 2.936977 -2.760753 -1.546483 4.280813 2.044144 -4.681611
19 14818100.1909077503 -3.353058 1.214784 0.772286 -2.621072 4.342140 1.139660 0.356328 0.899100 2.301220 -1.880550
20 20189581.0497219302 -1.017789 -2.901563 -3.138070 4.443724 2.395508 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
21 67258757.3869705349 -1.882041 1.963435 -1.222482 -3.203963 -4.753213 -4.327504 1.793928 -0.463032 0.365792 3.966713
22 29663412.3664005399 4.903389 -2.831030 1.630782 -2.366776 -4.793490 2.583787 -1.799828 -1.165361 0.883171 3.310485
23 22565889.1539763138 1.289818 3.726507 -2.264580 2.980468 -3.143641 4.527917 1.874883 -2.844923 4.473706 2.308558
24 80597255.7666821927 -2.460584 -2.866880 0.182007 -4.743373 -2.925299 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
25 27179892.0894804113 3.638556 -3.824681 0.173791 -3.679319 2.168597 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
26 7799997.4360201489 -1.443873 4.404319 2.653253 2.486636 4.037197 -4.165776 0.521925 0.844761 4.619364 -2.078525
27 13626293.1847339999 -2.591712 -3.997061 -4.835704 4.295293 1.699165 2.851529 -2.182699 0.864102 -4.360447 -0.143724
28 3985106.7005825206 4.774951 3.765052 -1.618410 4.615702 -2.682984 4.493188 4.413777 2.992026 1.304479 3.742880
29 42347556.2712802440 -2.069797 3.489436 1.178767 -4.867631 -1.527665 -3.518591 4.818294 -0.216297 -0.026086 1.394725
30 14937817.4279585723 -1.314154 -3.630997 3.221177 -3.101521 0.113190 -2.756830 -4.021555 3.621915 4.729195 4.608347
31 123424908.3043201268 4.065555 2.740473 -1.668548 -4.188986 -0.927588 -2.677659 -3.675124 -4.465728 2.255944 -4.885725
32 26930972.0085355490 2.705807 -3.530534 -4.204779 -4.103970 1.720478 -2.546328 -0.794605 0.573688 3.605512 2.270443
33 59013427.7362879887 -2.296721 -3.685172 -4.446257 -1.984014 -2.378819 -0.438594 1.832813 1.956254 -2.164812 -1.200730
34 25376786.4403600320 -3.188490 2.885455 -4.431519 1.969972 2.786954 2.774076 -2.405774 -1.261869 0.875996 -2.271781
35 23475691.9072524384 -1.291472 -3.029457 -0.401441 -4.553877 2.997959 -4.230436 0.188351 -1.931899 0.775429 4.594333
36 17756971.4407936707 1.455702 -4.646376 -0.695976 0.100169 0.361775 1.813925 -2.224039 -3.711394 -1.073243 4.564057
37 5616630.8690651674 -3.128691 4.039840 0.438060 -0.430886 3.820414 -0.413960 2.241676 -1.009747 4.040444 1.900250
38 8859228.6303333230 1.996221 -1.722796 2.567786 1.360611 -2.599797 -3.394612 2.963915 4.591666 -0.418612 0.909842
39 1566246.2112759936 3.577226 -0.427765 4.518745 0.757512 3.207671 4.088437 3.155238 -3.405855 1.288984 -1.015657
40 91216992.7518500984 -4.372870 -0.759677 -2.413159 3.490383 -4.666954 4.589827 -1.446312 -1.432931 -4.836715 -3.147677
41 23861063.0092054419 -0.987405 4.292914 -4.003851 4.453015 3.694885 -0.458376 -1.732991 -2.672559 1.144647 -4.669254
42 178551475.3805709183 -4.843939 -0.712043 -4.319259 -2.480590 -2.788391 -2.468088 -3.689448 -4.879638 -3.845157 1.184803
43 29157202.6752982810 4.742562 4.903450 -0.909459 -3.370456 1.387618 -0.096947 4.894098 -4.346958 2.832344 -2.116015
44 35304870.1942590326 -2.585814 1.625046 -2.539368 1.658591 0.173085 -0.759110 0.546878 -2.129485 2.065747 -0.851431
45 10707636.5962123610 -1.394544 3.286569 4.249669 -4.539927 -2.673730 -1.514806 3.149665 4.854914 4.689717 4.049483
46 23646967.3942670301 -2.034437 4.920112 -2.505800 -3.940938 4.509526 -2.665797 1.897683 -4.416436 2.307091 3.817202
47 75679826.3111840934 -2.275631 -1.209431 -1.257038 2.487883 -2.621928 -3.281469 -0.507084 -1.955316 3.391891 -2.622582
48 8417282.1618829370 0.023895 4.425836 1.339977 3.672894 4.402097 2.507649 1.995751 4.679656 4.944008 -0.481783
49 47062425.4127303883 -4.291302 -2.072060 -3.476453 -0.825136 -3.687107 1.041178 -1.171919 3.953859 4.677947 0.468849
50 26645111.2328426242 -2.251764 0.922304 3.967612 -0.932667 0.520783 -2.283472 -0.445559 -0.982865 -2.515865 0.058664
51 38246776.3518850058 -1.896192 -1.269651 0.249704 2.505950 -1.664925 4.241588 3.623185 -4.513097 -2.463575 -0.538645
52 23927293.1954069808 3.959090 -0.124913 3.990837 0.180021 -1.182717 2.070172 3.262930 -5.000000 0.342941 -0.738391
53 4346831.6331025204 5.000000 -5.000000 -0.301379 -1.884352 5.000000 0.798187 0.579373 3.462384 -5.000000 -1.844509
54 5121773.0748128258 2.404571 5.000000 3.801188 -5.000000 2.350162 -2.925691 5.000000 -0.787033 5.000000 5.000000
55 21207922.1109942906 4.273650 -0.630081 -3.330846 5.000000 -1.705158 2.072631 -5.000000 -0.950763 2.067582 -1.433649
56 13672949.1545905080 5.000000 4.229438 5.000000 3.510922 -1.202285 2.809391 4.536793 5.000000 0.323891 3.515060
57 21817355.5663868822 2.391045 -2.854630 5.000000 -0.573858 5.000000 -5.000000 0.021233 -3.978052 2.345334 -2.277765
58 825331.7979680579 -5.000000 5.000000 -1.104959 5.000000 3.245060 3.305813 2.664320 3.416529 3.606666 -1.705165
59 6043231.4314006083 -5.000000 5.000000 2.048327 -0.321921 2.496945 -1.736241 1.817199 5.000000 5.000000 -0.688854
60 31814545.2370593548 -0.587044 -2.537083 1.346523 1.139133 -4.379967 -5.000000 5.000000 4.716083 -0.333989 -1.183798
61 3921030.6303538876 5.000000 -2.749162 -5.000000 -1.975904 5.000000 5.000000 -5.000000 5.000000 -0.541601 -0.652881
62 3275784.7833030843 -5.000000 -1.263139 4.055257 1.991247 3.426107 5.000000 4.612125 5.000000 -0.547175 -4.570485
63 7698383.1393075250 -0.204389 -0.678797 0.216845 -1.309649 -2.530936 5.000000 -5.000000 5.000000 -0.351933 3.866762
64 168710774.2777065337 0.203767 1.275863 -1.170339 1.420131 -5.000000 0.422042 -5.000000 -5.000000 0.320579 -5.000000
65 41093874.3319297060 4.144155 -5.000000 5.000000 5.000000 5.000000 5.000000 4.379168 5.000000 1.344668 0.515454
66 1502406.3686700035 -5.000000 3.931221 1.032378 1.706606 4.894095 -1.397126 5.000000 4.615711 1.890475 -1.705056
67 25255117.6236056089 1.139870 -5.000000 5.000000 -5.000000 -5.000000 5.000000 -5.000000 2.206544 5.000000 5.000000
68 20145306.0949643590 5.000000 3.674008 5.000000 0.016234 0.203019 5.000000 -3.254898 -5.000000 -0.631386 -1.182011
69 39762192.7949789092 5.000000 -5.000000 -5.000000 5.000000 -1.973416 -4.915762 -5.000000 -1.943389 -4.669329 -0.089053
70 5082441.5371668162 5.000000 -0.006621 -2.892602 2.048175 3.004903 1.361353 1.524707 5.000000 1.219739 -1.390144
71 5095754.6865545250 2.778835 4.900767 5.000000 5.000000 1.724509 2.047889 5.000000 -5.000000 1.480251 1.253306
72 838205.0699121642 5.000000 -0.904370 -5.000000 3.532978 1.040807 5.000000 -5.000000 2.317349 0.280495 5.000000
73 10645781.1144760158 1.403559 5.000000 5.000000 -5.000000 5.000000 5.000000 1.864387 -4.513287 -0.087543 1.055977
74 32172089.0962739140 -4.719912 -3.476450 -2.279207 0.443230 3.205107 -2.708705 -5.000000 0.817752 0.293963 -0.293236
75 48324694.8357613087 0.844900 1.343655 5.000000 -0.656334 -5.000000 5.000000 -5.000000 -1.208527 2.056613 -1.502446
76 5946499.7084343210 0.875345 5.000000 5.000000 -0.209096 5.000000 4.609912 -5.000000 -4.891255 3.672006 0.558598
77 21396632.3786221668 5.000000 1.020365 5.000000 -2.443644 -2.000107 5.000000 -5.000000 0.665970 -5.000000 -1.736475
78 2314532.8863567906 3.533873 -0.353986 3.390560 1.258944 5.000000 5.000000 -5.000000 -0.192453 5.000000 -0.175867
79 5370513.1759715155 2.014797 2.409772 5.000000 -5.000000 3.993033 5.000000 -3.544849 3.890080 5.000000 5.000000
80 50153887.7938180044 2.827237 -5.000000 -2.815364 -5.000000 0.934692 5.000000 5.000000 -4.925682 -5.000000 -2.382527
81 137160028.9843243062 -5.000000 -0.713474 -5.000000 2.248202 -5.000000 -5.000000 -5.000000 0.327690 3.218892 -0.577635
82 6803733.1464430345 5.000000 -3.950299 -4.249889 1.973155 2.443524 3.960467 5.000000 -1.043373 3.848785 -2.272236
83 57324451.0734261945 2.757717 0.440763 5.000000 -4.488988 -5.000000 5.000000 -5.000000 -5.000000 -1.414555 5.000000
84 29128879.3015805595 -1.789997 -0.989370 0.111081 1.910873 -5.000000 3.342638 0.707213 5.000000 -2.318448 -2.620259
85 54623235.9368948787 -5.000000 3.490221 -0.356682 0.164538 5.000000 -4.870865 -5.000000 -5.000000 1.760239 -2.782730
86 16885149.3571800143 5.000000 0.060704 1.669790 4.485127 -1.125939 3.511783 -0.006318 -5.000000 -0.391099 -1.424328
87 34977892.4116445035 -5.000000 0.400869 4.442426 -5.000000 -4.692936 -5.000000 5.000000 5.000000 -2.091805 3.739497
88 5734015.5095105106 -5.000000 -5.000000 5.000000 3.433217 5.000000 1.030929 -5.000000 -5.000000 1.637331 3.891247
89 39265287.0620531812 3.940119 1.633055 -5.000000 -5.000000 2.672559 5.000000 5.000000 -4.212096 2.392810 -5.000000
90 44511130.9136970267 -0.449609 -0.355903 5.000000 -5.000000 -0.121776 -1.639920 5.000000 -1.663233 -5.000000 -2.854929
91 33022856.1140631624 -5.000000 -0.313324 5.000000 -1.100542 4.467250 -5.000000 3.948290 -5.000000 -5.000000 -1.755616
92 982726.0881533095 5.000000 5.000000 -3.169082 -0.210835 5.000000 5.000000 5.000000 3.425599 -0.186009 -5.000000
93 17517070.7760949656 -5.000000 4.286582 5.000000 -2.644186 -5.000000 0.427372 5.000000 5.000000 0.486916 5.000000
94 34585042.1023815051 -5.000000 -2.673263 2.607337 2.770076 3.952316 1.907719 -5.000000 -2.352318 5.000000 -5.000000
95 52392223.4397658408 -5.000000 1.626300 -3.174459 -2.897316 5.000000 -5.000000 -5.000000 0.174117 -4.978057 -3.218724
96 5460530.7101379409 5.000000 -0.647660 5.000000 -5.000000 5.000000 5.000000 -0.301266 -5.000000 1.152293 0.376384
97 14480172.9438673332 5.000000 -0.526295 -1.069056 5.000000 -0.992446 5.000000 -0.465522 -0.850816 -5.000000 -5.000000
98 114379372.1838627905 0.701422 -2.542260 -4.993310 -5.000000 4.865596 -5.000000 -5.000000 -4.297279 2.266764 -5.000000
99 28852143.0020639449 2.135949 -1.480405 5.000000 3.803704 3.385910 -5.000000 1.710803 -5.000000 5.000000 -5.000000
100 7015655.4955810132 -5.000000 -5.000000 1.986669 -5.000000 5.000000 5.000000 -1.287224 1.820039 2.850388 2.728203
101 105800230.8244905025 5.000000 -0.784259 -5.000000 -5.000000 -4.022503 5.000000 -5.000000 -2.388462 -5.000000 -1.396770
