evaluations raw_y x0 x1 x2 x3 x4
1 122133.9336426258 0.488135 2.151894 1.027634 0.448832 -0.763452
2 723582.2852983607 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 494074.2296274642 2.917250 0.288949 0.680446 4.255966 -4.289639
4 36298151.8098666444 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 3352439.1580127408 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 24802847.1931133829 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 6244449.3089474514 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 737980.8386210568 1.176355 1.120957 1.169340 4.437481 1.818203
9 25428045.1753563024 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 25929291.4690410718 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 10163637.4393830039 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 192928.8837283819 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 23092181.7131037638 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 11545737.8457480930 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 18587348.6831761710 4.764595 -0.313488 4.767611 1.048455 2.392636
16 6026960.2222419875 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 6119614.6140893232 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 11338542.2431308869 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 961255.0745301860 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 5183416.2669614302 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 2411396.5370516009 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 24314646.1868582927 0.761573 0.920419 0.722519 -2.769184 4.527490
23 2963799.2258703928 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 2113888.1659505013 -1.034943 3.811032 0.812729 3.817354 1.925316
25 3838067.8602726334 2.252543 0.013244 4.560836 1.439902 -0.761450
26 23235261.7927987762 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 18900945.6794899665 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 1607288.3605044424 0.908728 0.743252 1.532008 1.521033 -0.685816
29 17206986.4020072073 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 59211123.4492908493 2.038886 -3.997731 4.194826 2.142413 4.988470
31 10242068.0993335843 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 626139.5173743539 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 15341804.9310553409 1.974288 -0.464573 2.220556 3.663823 4.755215
34 21138408.5717481636 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 75051739.9837297946 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 46194.6525429774 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 14183743.8320243154 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 483130.5051731113 1.139660 0.356328 0.899100 2.301220 -1.880550
39 14997693.1928962786 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 36288536.8917815387 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 135944.4744424622 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 3023521.6584674474 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 19261842.3707011938 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 29967372.5077716522 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 7150037.5528215561 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 1762951.1882018060 4.527917 1.874883 -2.844923 4.473706 2.308558
47 21983831.0056702755 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 20501824.0668987297 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 70024482.6079637259 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 8957842.4754439406 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 185145.0535286496 -1.443873 4.404319 2.653253 2.486636 4.037197
52 8899245.7910936829 -0.283211 -2.342786 -2.859510 1.212260 -1.610909
53 597346.9530244762 -2.828901 5.000000 -5.000000 -5.000000 2.066655
54 4408376.6079413630 -0.495458 3.304462 -5.000000 -0.933529 -5.000000
55 722031.8480668848 0.117087 -2.306035 2.601259 2.885557 -5.000000
56 7321276.4432795923 5.000000 -0.983266 0.103794 0.659989 -3.015962
57 8430432.0705313552 5.000000 -1.829808 2.442458 0.752630 -3.667397
58 2584953.1742328187 5.000000 2.321742 5.000000 -3.749313 -2.930439
59 3488208.9939990779 4.530404 -2.457284 2.952725 2.824067 -5.000000
60 937926.7796508921 5.000000 2.577885 -2.372901 0.413913 -5.000000
61 7863242.4835488526 0.858052 -3.251965 5.000000 4.607088 -1.379088
62 19822.6206924054 1.473854 4.410476 3.419039 0.874137 2.024242
63 22475144.4479215518 2.197732 5.000000 0.836752 5.000000 -4.136239
64 10711803.5023229532 -0.157436 -5.000000 -2.465942 1.861549 -5.000000
65 1270546.1994224645 5.000000 -2.316625 5.000000 5.000000 -5.000000
66 59643253.5790446401 1.588347 -5.000000 -0.309335 3.896334 5.000000
67 6123527.5835920572 -3.473163 0.211879 5.000000 3.924187 5.000000
68 15100441.9252253789 3.023195 -4.975587 5.000000 3.331927 -3.868441
69 53436.8388841905 5.000000 1.067349 1.296802 0.319649 -5.000000
70 523435.6940257094 1.184087 -2.913476 5.000000 5.000000 -5.000000
