evaluations raw_y x0 x1 x2 x3 x4
1 57297396.9937841222 0.488135 2.151894 1.027634 0.448832 -0.763452
2 426860371.2155954838 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 24026807.6210795194 2.917250 0.288949 0.680446 4.255966 -4.289639
4 14800900892.8427848816 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 12859231.1608849242 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 470216220.0730520487 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 17409837.5074843839 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 766968307.9648553133 1.176355 1.120957 1.169340 4.437481 1.818203
9 349293115.0562930703 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 96249340.9031736255 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 74547398.8106120080 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 62259828.5514814779 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 174643074.2507946789 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 40885809.7395534441 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 1357648069.2753374577 4.764595 -0.313488 4.767611 1.048455 2.392636
16 107234891.5534752309 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 371971214.2801176310 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 1384605035.9736850262 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 66251708.3786565959 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 61259796.8332889229 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 229503310.0399518013 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 623650323.1520123482 0.761573 0.920419 0.722519 -2.769184 4.527490
23 351231901.2171301246 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 619227002.7108654976 -1.034943 3.811032 0.812729 3.817354 1.925316
25 236193862.2510529160 2.252543 0.013244 4.560836 1.439902 -0.761450
26 181846500.2036822438 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 97275015.0707772225 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 123211253.0505667925 0.908728 0.743252 1.532008 1.521033 -0.685816
29 940421096.6917057037 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 6852608070.7000389099 2.038886 -3.997731 4.194826 2.142413 4.988470
31 49050033.5108694062 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 1280034.9312005504 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 3255909518.2607669830 1.974288 -0.464573 2.220556 3.663823 4.755215
34 119473438.5910404027 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 478505197.0117869973 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 145351544.4167952538 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 1470996458.1915087700 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 68494156.6039098352 1.139660 0.356328 0.899100 2.301220 -1.880550
39 2070618032.4423456192 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 99419962.5649393648 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 33272529.6502167359 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 2053704958.3827843666 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 140639600.5156870782 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 728222640.7166566849 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 18323314.0289417692 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 496065799.3954648376 4.527917 1.874883 -2.844923 4.473706 2.308558
47 102420922.0839969814 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 243605955.8810832798 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 256038820.4705187380 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 68496441.1574628353 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 1580958929.0481939316 -1.443873 4.404319 2.653253 2.486636 4.037197
52 8770213.0962623581 5.000000 1.490768 -0.461581 -1.305894 -1.482466
53 108373571.1748381555 4.272897 5.000000 -1.952303 0.904166 3.565310
54 32694870.9252484180 5.000000 2.309275 -3.558497 -1.388696 -5.000000
55 60088436.3604254276 1.833525 -2.030935 1.788034 5.000000 -5.000000
56 31651036.9351788461 4.987613 -0.622596 -0.449655 -3.143315 -5.000000
57 27113710.9431454316 5.000000 1.247190 -0.006487 -5.000000 -3.891687
58 420155795.6746233106 5.000000 2.503343 4.634865 -0.670935 -2.914587
59 46096849.2843784615 1.648681 2.807911 -5.000000 -4.305024 -5.000000
60 72008720.7182137668 5.000000 1.982991 -5.000000 -5.000000 -5.000000
61 187143306.7138846517 4.337993 0.370908 3.443631 0.020476 -0.678481
62 51132792.5651497692 -0.722037 3.377800 3.825084 -1.302855 -1.714055
63 52997101.8281886578 0.407623 5.000000 1.773920 5.000000 -2.658319
64 165319500.1151884496 2.218715 -5.000000 -5.000000 -5.000000 -3.362436
65 172856642.9601010084 2.468751 -1.100979 5.000000 0.146991 -5.000000
66 3178744508.8675284386 3.394560 -5.000000 -5.000000 -1.595144 5.000000
67 1228834319.3037500381 3.785396 -2.340717 1.976621 -1.798543 5.000000
68 774789368.2035402060 -0.707231 -5.000000 1.228158 1.632092 -0.819281
69 24549329.9245919846 5.000000 3.855277 -0.397261 -5.000000 -5.000000
70 298791346.4008961916 2.245182 -5.000000 4.423579 0.534000 -5.000000
71 416299365.7559994459 5.000000 -5.000000 -4.377985 -3.208768 -2.493816
72 270475588.2344297767 5.000000 0.764715 1.233071 -2.965557 4.842372
73 53671733.0673893616 2.184524 4.608034 2.353493 -0.393247 0.992810
74 647491738.3665044308 -2.502212 1.934732 5.000000 4.309913 -1.237966
75 4149757.0975495228 5.000000 5.000000 0.517637 -1.558299 -3.204054
76 439525290.2342295647 -0.469989 -5.000000 -5.000000 5.000000 -2.156492
77 66308603.8694760501 5.000000 -1.992646 -1.662737 3.046936 -5.000000
78 1912385470.2024352551 4.193710 -5.000000 -2.482777 -1.233082 5.000000
79 67453712.7115696073 2.508171 -5.000000 0.880484 -0.442446 -5.000000
