evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 2229.4611861046 0.488135 2.151894 1.027634 0.448832 -0.763452 1.458941 -0.624128 3.917730 4.636628 -1.165585
2 2368.9362259326 2.917250 0.288949 0.680446 4.255966 -4.289639 -4.128707 -4.797816 3.326198 2.781568 3.700121
3 2670.0727122403 4.786183 2.991586 -0.385206 2.805292 -3.817256 1.399210 -3.566467 4.446689 0.218483 -0.853381
4 2363.2236847133 -2.354444 2.742337 -0.438497 0.684339 -4.812102 1.176355 1.120957 1.169340 4.437481 1.818203
5 1612.4291108549 -1.404921 -0.629680 1.976312 -4.397745 1.667667 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
6 1548.2575580922 0.701968 -0.613985 4.883738 -3.979552 -2.911232 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
7 1823.5676908868 -3.410304 -3.896249 1.563296 -3.618170 -3.034176 -1.312748 3.209932 -4.028987 3.379449 -4.039016
8 1980.8905328029 4.764595 -0.313488 4.767611 1.048455 2.392636 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
9 1776.0802328866 -1.820168 -0.857370 -4.358525 1.924721 0.666015 -2.346105 0.232481 -4.060595 0.759465 4.292962
10 2079.7469709546 -1.814310 1.674104 -3.682021 2.163272 -2.105939 -3.168086 0.865129 -4.798925 3.289400 -4.953045
11 1616.0836703094 1.778165 -2.299920 2.351940 4.621885 -2.512469 0.761573 0.920419 0.722519 -2.769184 4.527490
12 1735.8847936078 -0.528746 3.464087 1.994793 -2.025630 3.137978 -1.034943 3.811032 0.812729 3.817354 1.925316
13 2090.8773620108 2.252543 0.013244 4.560836 1.439902 -0.761450 1.063932 -4.808068 -1.984252 1.601735 -2.099224
14 1947.6692857310 1.180154 -0.712313 -3.645259 -2.017177 0.699649 0.908728 0.743252 1.532008 1.521033 -0.685816
15 2663.2214775951 3.965466 -1.324381 -0.641351 3.919234 3.061940 2.038886 -3.997731 4.194826 2.142413 4.988470
16 3166.2891957472 -3.505517 3.681261 -3.375071 1.155596 -3.761800 3.480082 3.073190 0.691007 -0.928167 -4.308330
17 2230.4542400807 1.974288 -0.464573 2.220556 3.663823 4.755215 3.558033 -4.882859 -1.400219 2.299906 -3.283703
18 2175.3192140445 0.210366 -4.456620 -3.000035 -4.814782 2.936977 -2.760753 -1.546483 4.280813 2.044144 -4.681611
19 1618.9602877921 -3.353058 1.214784 0.772286 -2.621072 4.342140 1.139660 0.356328 0.899100 2.301220 -1.880550
20 2180.6360906021 -1.017789 -2.901563 -3.138070 4.443724 2.395508 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
21 1495.4580893043 -1.882041 1.963435 -1.222482 -3.203963 -4.753213 -4.327504 1.793928 -0.463032 0.365792 3.966713
22 2508.9711826744 4.903389 -2.831030 1.630782 -2.366776 -4.793490 2.583787 -1.799828 -1.165361 0.883171 3.310485
23 2741.2329082639 1.289818 3.726507 -2.264580 2.980468 -3.143641 4.527917 1.874883 -2.844923 4.473706 2.308558
24 1480.3926433507 -2.460584 -2.866880 0.182007 -4.743373 -2.925299 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
25 1307.4041132022 3.638556 -3.824681 0.173791 -3.679319 2.168597 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
26 1872.9479873554 -1.443873 4.404319 2.653253 2.486636 4.037197 -4.165776 0.521925 0.844761 4.619364 -2.078525
27 2539.4943548574 -2.591712 -3.997061 -4.835704 4.295293 1.699165 2.851529 -2.182699 0.864102 -4.360447 -0.143724
28 3290.4924612529 4.774951 3.765052 -1.618410 4.615702 -2.682984 4.493188 4.413777 2.992026 1.304479 3.742880
29 1879.4283069838 -2.069797 3.489436 1.178767 -4.867631 -1.527665 -3.518591 4.818294 -0.216297 -0.026086 1.394725
30 2091.3206772412 -1.314154 -3.630997 3.221177 -3.101521 0.113190 -2.756830 -4.021555 3.621915 4.729195 4.608347
31 2351.1197034240 4.065555 2.740473 -1.668548 -4.188986 -0.927588 -2.677659 -3.675124 -4.465728 2.255944 -4.885725
32 2131.3470741954 2.705807 -3.530534 -4.204779 -4.103970 1.720478 -2.546328 -0.794605 0.573688 3.605512 2.270443
33 2194.9213581866 -2.296721 -3.685172 -4.446257 -1.984014 -2.378819 -0.438594 1.832813 1.956254 -2.164812 -1.200730
34 2325.8232761625 -3.188490 2.885455 -4.431519 1.969972 2.786954 2.774076 -2.405774 -1.261869 0.875996 -2.271781
35 1443.0458761646 -1.291472 -3.029457 -0.401441 -4.553877 2.997959 -4.230436 0.188351 -1.931899 0.775429 4.594333
36 2083.2280568896 1.455702 -4.646376 -0.695976 0.100169 0.361775 1.813925 -2.224039 -3.711394 -1.073243 4.564057
37 1721.7489090522 -3.128691 4.039840 0.438060 -0.430886 3.820414 -0.413960 2.241676 -1.009747 4.040444 1.900250
38 2039.9628317870 1.996221 -1.722796 2.567786 1.360611 -2.599797 -3.394612 2.963915 4.591666 -0.418612 0.909842
39 1702.8753888593 3.577226 -0.427765 4.518745 0.757512 3.207671 4.088437 3.155238 -3.405855 1.288984 -1.015657
40 2388.6207823915 -4.372870 -0.759677 -2.413159 3.490383 -4.666954 4.589827 -1.446312 -1.432931 -4.836715 -3.147677
41 2570.0248327502 -0.987405 4.292914 -4.003851 4.453015 3.694885 -0.458376 -1.732991 -2.672559 1.144647 -4.669254
42 2060.9523881148 -4.843939 -0.712043 -4.319259 -2.480590 -2.788391 -2.468088 -3.689448 -4.879638 -3.845157 1.184803
43 1959.7361765472 4.742562 4.903450 -0.909459 -3.370456 1.387618 -0.096947 4.894098 -4.346958 2.832344 -2.116015
44 1695.0667354551 -2.585814 1.625046 -2.539368 1.658591 0.173085 -0.759110 0.546878 -2.129485 2.065747 -0.851431
45 2552.5041882557 -1.394544 3.286569 4.249669 -4.539927 -2.673730 -1.514806 3.149665 4.854914 4.689717 4.049483
46 1633.1885143060 -2.034437 4.920112 -2.505800 -3.940938 4.509526 -2.665797 1.897683 -4.416436 2.307091 3.817202
47 1701.9646544472 -2.275631 -1.209431 -1.257038 2.487883 -2.621928 -3.281469 -0.507084 -1.955316 3.391891 -2.622582
48 2826.2457997130 0.023895 4.425836 1.339977 3.672894 4.402097 2.507649 1.995751 4.679656 4.944008 -0.481783
49 2604.5752645078 -4.291302 -2.072060 -3.476453 -0.825136 -3.687107 1.041178 -1.171919 3.953859 4.677947 0.468849
50 1171.9633707232 -2.251764 0.922304 3.967612 -0.932667 0.520783 -2.283472 -0.445559 -0.982865 -2.515865 0.058664
51 1691.5330553400 -1.896192 -1.269651 0.249704 2.505950 -1.664925 4.241588 3.623185 -4.513097 -2.463575 -0.538645
52 1469.9689513370 -2.011392 1.575284 3.504091 -1.643686 -0.192021 -3.410713 -0.430351 -1.886885 -4.362371 0.074679
53 2173.0255508545 5.000000 -5.000000 -5.000000 -5.000000 4.981155 0.202129 0.088604 -1.328362 -4.380406 -0.344451
54 1181.2210918216 -0.293561 5.000000 3.144759 -5.000000 1.651903 -5.000000 0.566690 -4.308597 1.491023 5.000000
55 2227.8940162955 -1.740384 -5.000000 -5.000000 3.545108 -5.000000 -2.367143 -1.568489 -0.228747 -2.264654 1.975349
56 2021.5639409118 -0.396134 1.987560 5.000000 -3.881214 -3.264886 -5.000000 5.000000 0.568216 -4.658940 3.738035
57 1885.2818017585 3.007458 -2.819373 4.893583 -5.000000 1.371155 -4.037970 -0.534291 -4.049705 -0.435738 -5.000000
58 2360.4678108455 -1.813736 1.416757 -0.633865 0.399949 1.232659 4.949445 2.056673 3.398331 -2.190610 0.248032
59 2856.4139867179 -5.000000 3.072531 2.548651 -1.604511 -5.000000 -4.600681 0.071604 4.217712 -2.515231 -1.415899
60 2039.1397880492 -3.673468 0.988940 -1.548365 -3.139806 3.603099 -5.000000 2.143708 0.927600 2.509559 -3.521161
61 2206.1044214892 -1.230087 -3.084272 -5.000000 -5.000000 5.000000 -0.897972 0.396973 -0.823174 -4.041891 5.000000
62 2503.4903216837 -2.271169 -3.028416 -1.250459 5.000000 1.197821 5.000000 5.000000 -1.278977 -5.000000 -1.637277
63 1679.1246780771 -5.000000 1.871746 0.679560 -3.726850 -1.373754 2.912681 -0.854443 -0.862688 -1.816909 -1.026730
64 2268.7898744573 -3.462684 1.996249 -3.637996 -1.146304 -5.000000 -2.162425 -0.835425 -2.590670 -0.787112 -5.000000
65 2879.9809491153 5.000000 -1.044077 5.000000 2.503189 5.000000 5.000000 5.000000 1.307496 5.000000 0.385243
66 2414.9658069902 -5.000000 5.000000 0.625793 0.607571 4.861871 -2.233498 5.000000 -0.602481 -3.402763 3.310157
67 2311.1447325765 0.509616 -1.032334 5.000000 -4.116341 1.297338 -0.789896 -4.712221 0.463050 5.000000 4.617696
68 1170.7779543471 -0.125535 0.714099 5.000000 1.644823 -0.570055 -0.422038 0.102185 -5.000000 1.264688 0.597577
69 2296.7171618095 -0.846585 -5.000000 -5.000000 -0.170423 -5.000000 -1.778359 -3.650167 -1.257401 3.168099 1.598830
70 2430.5104531933 2.000860 5.000000 3.185379 5.000000 5.000000 3.359944 1.575342 2.249721 0.734349 -5.000000
71 1614.9410174376 -1.502011 4.491413 5.000000 1.430277 0.570478 -3.595955 5.000000 -3.425962 -3.206744 0.985661
72 2928.2046249806 5.000000 1.396941 -5.000000 1.084799 0.620179 5.000000 -2.472432 5.000000 -0.884987 -0.074942
73 2133.8860544833 5.000000 5.000000 4.478855 -5.000000 2.052636 5.000000 3.168906 -4.563817 -1.108512 -3.300767
74 2244.3353134500 -0.103266 -3.400807 4.854898 -0.884441 1.950031 -5.000000 -4.542408 1.225060 -3.832310 2.077008
75 2551.8751407064 0.427712 4.312740 5.000000 -0.878897 -5.000000 -1.569818 1.081670 5.000000 3.613615 1.441757
76 2498.5523631274 -2.025427 0.908679 5.000000 -5.000000 4.462447 -2.278330 -5.000000 -5.000000 -2.052590 3.293904
77 2624.6054939360 -1.570374 1.839600 1.203283 -0.602711 -3.736118 -2.676147 -1.537414 1.715278 -5.000000 -5.000000
