evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 87.4363069475 0.488135 2.151894 1.027634 0.448832 -0.763452 1.458941 -0.624128 3.917730 4.636628 -1.165585
2 141.7616395661 2.917250 0.288949 0.680446 4.255966 -4.289639 -4.128707 -4.797816 3.326198 2.781568 3.700121
3 73.2044859646 4.786183 2.991586 -0.385206 2.805292 -3.817256 1.399210 -3.566467 4.446689 0.218483 -0.853381
4 62.6519684326 -2.354444 2.742337 -0.438497 0.684339 -4.812102 1.176355 1.120957 1.169340 4.437481 1.818203
5 51.9960544056 -1.404921 -0.629680 1.976312 -4.397745 1.667667 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
6 65.0058655148 0.701968 -0.613985 4.883738 -3.979552 -2.911232 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
7 62.5230104305 -3.410304 -3.896249 1.563296 -3.618170 -3.034176 -1.312748 3.209932 -4.028987 3.379449 -4.039016
8 45.4266638488 4.764595 -0.313488 4.767611 1.048455 2.392636 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
9 85.0437757541 -1.820168 -0.857370 -4.358525 1.924721 0.666015 -2.346105 0.232481 -4.060595 0.759465 4.292962
10 85.2757358120 -1.814310 1.674104 -3.682021 2.163272 -2.105939 -3.168086 0.865129 -4.798925 3.289400 -4.953045
11 22.3079530852 1.778165 -2.299920 2.351940 4.621885 -2.512469 0.761573 0.920419 0.722519 -2.769184 4.527490
12 40.5158653958 -0.528746 3.464087 1.994793 -2.025630 3.137978 -1.034943 3.811032 0.812729 3.817354 1.925316
13 87.9302895795 2.252543 0.013244 4.560836 1.439902 -0.761450 1.063932 -4.808068 -1.984252 1.601735 -2.099224
14 49.5998712411 1.180154 -0.712313 -3.645259 -2.017177 0.699649 0.908728 0.743252 1.532008 1.521033 -0.685816
15 30.1397746227 3.965466 -1.324381 -0.641351 3.919234 3.061940 2.038886 -3.997731 4.194826 2.142413 4.988470
16 112.5521429458 -3.505517 3.681261 -3.375071 1.155596 -3.761800 3.480082 3.073190 0.691007 -0.928167 -4.308330
17 95.1956380821 1.974288 -0.464573 2.220556 3.663823 4.755215 3.558033 -4.882859 -1.400219 2.299906 -3.283703
18 83.2669780629 0.210366 -4.456620 -3.000035 -4.814782 2.936977 -2.760753 -1.546483 4.280813 2.044144 -4.681611
19 139.3745872583 -3.353058 1.214784 0.772286 -2.621072 4.342140 1.139660 0.356328 0.899100 2.301220 -1.880550
20 135.2370978672 -1.017789 -2.901563 -3.138070 4.443724 2.395508 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
21 66.7109374000 -1.882041 1.963435 -1.222482 -3.203963 -4.753213 -4.327504 1.793928 -0.463032 0.365792 3.966713
22 86.2508088378 4.903389 -2.831030 1.630782 -2.366776 -4.793490 2.583787 -1.799828 -1.165361 0.883171 3.310485
23 117.6598798558 1.289818 3.726507 -2.264580 2.980468 -3.143641 4.527917 1.874883 -2.844923 4.473706 2.308558
24 42.3168216266 -2.460584 -2.866880 0.182007 -4.743373 -2.925299 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
25 74.1187713020 3.638556 -3.824681 0.173791 -3.679319 2.168597 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
26 51.2495477970 -1.443873 4.404319 2.653253 2.486636 4.037197 -4.165776 0.521925 0.844761 4.619364 -2.078525
27 122.2558412047 -2.591712 -3.997061 -4.835704 4.295293 1.699165 2.851529 -2.182699 0.864102 -4.360447 -0.143724
28 68.9875035815 4.774951 3.765052 -1.618410 4.615702 -2.682984 4.493188 4.413777 2.992026 1.304479 3.742880
29 70.6490510995 -2.069797 3.489436 1.178767 -4.867631 -1.527665 -3.518591 4.818294 -0.216297 -0.026086 1.394725
30 61.3326930063 -1.314154 -3.630997 3.221177 -3.101521 0.113190 -2.756830 -4.021555 3.621915 4.729195 4.608347
31 127.8836579330 4.065555 2.740473 -1.668548 -4.188986 -0.927588 -2.677659 -3.675124 -4.465728 2.255944 -4.885725
32 50.2458813545 2.705807 -3.530534 -4.204779 -4.103970 1.720478 -2.546328 -0.794605 0.573688 3.605512 2.270443
33 99.8240778806 -2.296721 -3.685172 -4.446257 -1.984014 -2.378819 -0.438594 1.832813 1.956254 -2.164812 -1.200730
34 62.2830128082 -3.188490 2.885455 -4.431519 1.969972 2.786954 2.774076 -2.405774 -1.261869 0.875996 -2.271781
35 73.2514548693 -1.291472 -3.029457 -0.401441 -4.553877 2.997959 -4.230436 0.188351 -1.931899 0.775429 4.594333
36 55.1944129332 1.455702 -4.646376 -0.695976 0.100169 0.361775 1.813925 -2.224039 -3.711394 -1.073243 4.564057
37 133.0221517318 -3.128691 4.039840 0.438060 -0.430886 3.820414 -0.413960 2.241676 -1.009747 4.040444 1.900250
38 105.9439826036 1.996221 -1.722796 2.567786 1.360611 -2.599797 -3.394612 2.963915 4.591666 -0.418612 0.909842
39 186.6929267511 3.577226 -0.427765 4.518745 0.757512 3.207671 4.088437 3.155238 -3.405855 1.288984 -1.015657
40 121.9755267729 -4.372870 -0.759677 -2.413159 3.490383 -4.666954 4.589827 -1.446312 -1.432931 -4.836715 -3.147677
41 75.7766527884 -0.987405 4.292914 -4.003851 4.453015 3.694885 -0.458376 -1.732991 -2.672559 1.144647 -4.669254
42 77.8334564941 -4.843939 -0.712043 -4.319259 -2.480590 -2.788391 -2.468088 -3.689448 -4.879638 -3.845157 1.184803
43 80.8390486108 4.742562 4.903450 -0.909459 -3.370456 1.387618 -0.096947 4.894098 -4.346958 2.832344 -2.116015
44 92.5757105119 -2.585814 1.625046 -2.539368 1.658591 0.173085 -0.759110 0.546878 -2.129485 2.065747 -0.851431
45 66.8050819532 -1.394544 3.286569 4.249669 -4.539927 -2.673730 -1.514806 3.149665 4.854914 4.689717 4.049483
46 122.6559384165 -2.034437 4.920112 -2.505800 -3.940938 4.509526 -2.665797 1.897683 -4.416436 2.307091 3.817202
47 51.8766864260 -2.275631 -1.209431 -1.257038 2.487883 -2.621928 -3.281469 -0.507084 -1.955316 3.391891 -2.622582
48 74.8989165441 0.023895 4.425836 1.339977 3.672894 4.402097 2.507649 1.995751 4.679656 4.944008 -0.481783
49 48.0856414657 -4.291302 -2.072060 -3.476453 -0.825136 -3.687107 1.041178 -1.171919 3.953859 4.677947 0.468849
50 74.5723614883 -2.251764 0.922304 3.967612 -0.932667 0.520783 -2.283472 -0.445559 -0.982865 -2.515865 0.058664
51 73.2666475154 -1.896192 -1.269651 0.249704 2.505950 -1.664925 4.241588 3.623185 -4.513097 -2.463575 -0.538645
52 46.3112914744 1.967982 -0.671605 2.077172 1.098384 -5.000000 0.385621 0.951834 0.057960 -4.801611 5.000000
53 65.2577988347 5.000000 -2.725005 -5.000000 2.413918 5.000000 5.000000 -5.000000 5.000000 -5.000000 1.924944
54 75.2622392712 1.394999 5.000000 2.064128 -5.000000 -0.793585 -1.907863 5.000000 -0.138581 5.000000 5.000000
55 87.8701726493 4.808667 -4.104098 -3.532685 5.000000 -5.000000 -3.280122 -2.253058 -0.172707 -2.228003 5.000000
56 86.2794741254 5.000000 0.092464 4.884570 0.319128 3.636569 -5.000000 2.442491 2.114415 -4.961292 -4.084074
57 43.1314276352 0.976063 -2.206583 5.000000 -1.217201 -3.180839 0.966946 -3.550805 0.390946 2.290386 -4.439106
58 49.6971961607 0.962126 -0.097218 -5.000000 1.158682 0.151102 2.042741 1.218722 4.383850 1.092223 5.000000
59 85.3056252330 0.858308 -0.302260 -2.062525 -5.000000 -4.856575 -5.000000 -1.743443 0.940611 4.101583 1.185507
60 100.3632082195 -4.245182 0.418137 2.179990 2.325299 2.211086 -5.000000 2.401205 0.849981 4.909368 -5.000000
61 87.7995762656 4.312553 -1.344427 -5.000000 -0.062651 1.028676 1.935924 -1.327510 0.146881 -5.000000 5.000000
62 35.2535902729 -5.000000 -1.497768 1.964445 2.625088 5.000000 2.262864 -0.206593 1.955670 -5.000000 -5.000000
63 107.3111729362 -1.514375 -3.478273 0.202508 -5.000000 -5.000000 2.894996 -5.000000 1.027032 -1.488045 4.306400
64 59.9629210050 -5.000000 0.591472 3.015865 -5.000000 -3.224792 -0.606819 -5.000000 0.426686 -0.884585 -1.814069
65 48.2484290719 1.577251 -0.755711 5.000000 3.978181 5.000000 5.000000 2.085483 1.767626 5.000000 4.542939
66 63.0767235556 -5.000000 1.597956 3.711859 5.000000 -2.713940 -4.544621 5.000000 1.234585 -3.781314 4.883728
67 93.3787547347 -0.499296 -2.349628 5.000000 -5.000000 -4.998108 2.777285 0.850059 0.979768 5.000000 5.000000
68 107.2323754216 3.506487 0.404486 5.000000 -4.887422 -5.000000 2.056694 1.423673 -4.362406 -0.094535 -5.000000
69 101.4658432080 5.000000 -1.163614 -5.000000 5.000000 -5.000000 -5.000000 -0.852307 0.205793 0.309495 5.000000
70 78.6293038411 5.000000 5.000000 5.000000 4.742074 -2.580026 1.748993 5.000000 5.000000 0.585045 -0.944102
71 86.6622917464 5.000000 5.000000 5.000000 5.000000 0.118543 -0.438396 5.000000 -0.046024 -3.578256 3.355490
72 132.5686855475 5.000000 5.000000 -3.016182 5.000000 -4.591489 5.000000 -1.123059 1.906845 -0.784986 4.542133
73 105.9990098561 5.000000 5.000000 2.506140 2.545313 -3.572445 1.467031 -4.949367 4.187581 -0.714497 -4.420011
74 76.7306710611 -3.633501 -4.904654 0.206350 -5.000000 2.188266 -5.000000 -1.522432 3.787064 -3.257535 5.000000
75 67.7362369497 -3.364742 3.376963 5.000000 -0.623810 -3.366620 5.000000 1.622920 -0.746166 -0.351181 3.043743
76 110.3733806850 5.000000 0.994440 5.000000 -5.000000 5.000000 0.717919 -0.021527 -5.000000 -0.410075 5.000000
77 67.5442514564 5.000000 1.034137 4.139725 -5.000000 -1.971372 4.503595 -3.358621 1.211254 -5.000000 -5.000000
78 74.1014974040 -2.592833 0.634541 0.169928 5.000000 5.000000 3.559538 1.087291 5.000000 5.000000 5.000000
79 152.6284572586 -3.723443 5.000000 5.000000 3.631198 5.000000 0.966730 -3.267004 0.060486 2.504486 5.000000
80 136.9790554078 -5.000000 -2.563309 -5.000000 -5.000000 -2.842796 3.931301 1.456417 -5.000000 -4.935751 -5.000000
81 33.1831641640 -3.169225 5.000000 -4.346634 4.987219 -5.000000 -2.114126 -1.058857 5.000000 5.000000 -5.000000
82 200.4780255737 0.275682 -5.000000 -5.000000 5.000000 5.000000 3.093727 4.123888 5.000000 5.000000 -5.000000
83 64.2522192230 -5.000000 0.992038 5.000000 -1.774961 -0.216944 2.848730 -0.573476 -5.000000 -5.000000 5.000000
84 128.1253101589 -1.402454 -2.086065 -0.969712 5.000000 -3.188166 -1.670661 0.844143 4.402446 -5.000000 -5.000000
85 65.8395347070 -4.053787 -0.834975 1.727008 -5.000000 -3.140442 0.641054 -5.000000 -5.000000 0.236765 -5.000000
86 29.2110297885 3.010577 5.000000 5.000000 1.756012 -0.573608 0.817141 -5.000000 -5.000000 3.779208 -5.000000
87 59.1574106577 -5.000000 -2.095502 5.000000 -1.094064 -0.347511 -1.640122 0.678186 4.212109 -4.894511 5.000000
88 37.1577853763 1.817365 -3.042213 3.343539 5.000000 5.000000 3.501019 -5.000000 -4.427718 -3.685124 5.000000
89 71.2861587190 4.058197 -3.121984 -5.000000 -4.872015 -2.603479 1.322775 3.144973 -1.132844 -0.402488 -5.000000
90 55.5878640993 1.996691 -1.293026 3.015436 0.439312 -2.779316 -5.000000 5.000000 5.000000 -0.609206 0.038738
91 53.2474930306 -5.000000 5.000000 5.000000 1.187916 2.117292 0.910611 5.000000 0.451614 -3.709536 -5.000000
92 83.7696889722 4.335987 5.000000 -2.133692 1.373332 -2.169478 5.000000 4.568731 1.774402 5.000000 -1.613229
93 55.1193936149 -5.000000 0.261851 5.000000 3.524315 -5.000000 5.000000 3.356424 4.193470 -2.196548 5.000000
94 106.7729763103 -5.000000 -5.000000 -1.225703 4.725390 5.000000 5.000000 -5.000000 0.393498 -4.343411 -2.547121
95 42.9070020982 -5.000000 5.000000 -5.000000 -0.127046 5.000000 -5.000000 -0.101442 4.313549 -1.813396 -3.482347
96 102.7133283954 5.000000 1.618399 3.056248 -5.000000 1.930193 4.405818 -5.000000 -5.000000 5.000000 5.000000
97 114.8752614482 5.000000 5.000000 0.728702 0.822055 5.000000 1.566605 3.468459 0.606776 -0.062697 1.627945
98 82.1907038368 -5.000000 -3.735932 -5.000000 4.037929 5.000000 -0.934020 -4.482864 -0.309268 -4.255937 -5.000000
99 62.6209530487 3.181598 -1.905611 2.655487 5.000000 5.000000 1.086294 0.717106 0.501728 5.000000 -5.000000
100 112.5782901082 -0.130009 -5.000000 0.911072 1.580578 -2.132665 2.677311 -5.000000 5.000000 -2.013500 5.000000
101 52.9336855350 5.000000 -5.000000 1.913338 -5.000000 2.009120 5.000000 0.561300 2.940389 -5.000000 -5.000000
102 62.2805319390 -1.183718 -2.633409 3.469557 4.971229 0.987330 0.699985 0.090813 0.534259 -5.000000 3.292097
103 100.5942157434 2.465603 5.000000 3.972171 1.556164 -0.116374 0.252426 -5.000000 5.000000 5.000000 5.000000
104 160.0429772479 5.000000 -1.487691 -5.000000 5.000000 5.000000 3.798578 -5.000000 4.828170 -5.000000 5.000000
105 87.6129696048 -2.352467 5.000000 -5.000000 3.126340 -2.616347 -5.000000 -5.000000 5.000000 -5.000000 5.000000
106 70.1926460604 5.000000 -1.034233 -1.411771 5.000000 5.000000 4.169801 -0.615348 5.000000 -4.454852 5.000000
107 139.6274137950 0.541587 -4.128896 0.316829 -3.006579 5.000000 5.000000 -5.000000 0.171656 -0.631140 2.070340
108 127.7190678715 1.186413 -3.609800 2.772265 5.000000 -4.103559 -1.155357 5.000000 0.660826 5.000000 5.000000
109 42.0743724255 -5.000000 -5.000000 0.364092 -5.000000 -3.139923 1.112722 2.057124 -1.864962 -3.148976 5.000000
