evaluations raw_y x0 x1
1 12.0738922742 0.488135 2.151894
2 6.7260926715 1.027634 0.448832
3 19.8441376421 -0.763452 1.458941
4 28.7401219043 -0.624128 3.917730
5 4.2877752146 4.636628 -1.165585
6 0.6059072097 2.917250 0.288949
7 21.7180375568 0.680446 4.255966
8 85.1686490547 -4.289639 -4.128707
9 78.0068511487 -4.797816 3.326198
10 10.0873536509 2.781568 3.700121
11 6.9256296835 4.786183 2.991586
12 20.7061494340 -0.385206 2.805292
13 55.8132186633 -3.817256 1.399210
14 66.0923023768 -3.566467 4.446689
15 13.7481229966 0.218483 -0.853381
16 40.0671231428 -2.354444 2.742337
17 16.4283861706 -0.438497 0.684339
18 71.2987845848 -4.812102 1.176355
19 6.5025623673 1.120957 1.169340
20 2.0769580557 4.437481 1.818203
21 26.7935058266 -1.404921 -0.629680
22 28.0138706580 1.976312 -4.397745
23 4.9371925711 1.667667 1.706379
24 61.2747474899 -2.896174 -3.710737
25 33.8052448943 -1.845716 -1.362892
26 10.0427247056 0.701968 -0.613985
27 22.9071549540 4.883738 -3.979552
28 58.7612059219 -2.911232 -3.386905
29 13.9643745205 1.531083 -2.467084
30 25.7948347359 -0.336892 -2.555744
31 69.8804948942 -3.410304 -3.896249
32 22.2981885465 1.563296 -3.618170
33 47.9980704770 -3.034176 -1.312748
34 21.9182367507 3.209932 -4.028987
35 21.9034964139 3.379449 -4.039016
36 2.2229566233 4.764595 -0.313488
37 1.5006751964 4.767611 1.048455
38 28.9851341831 2.392636 -4.608122
39 53.1351863376 -2.171930 -3.798034
40 51.7404039959 -2.038598 -3.812723
41 31.7622969550 -1.820168 -0.857370
42 65.2303985468 -4.358525 1.924721
43 17.5811568518 0.666015 -2.346105
44 33.4878689416 0.232481 -4.060595
45 21.5298767793 0.759465 4.292962
46 30.5502185316 -1.814310 1.674104
47 55.5727690586 -3.682021 2.163272
48 47.1872663696 -2.105939 -3.168086
49 37.0881986132 0.865129 -4.798925
50 31.3341096509 3.289400 -4.953045
51 11.9866886120 1.778165 -2.299920
52 1.0078428291 2.644929 0.374491
53 1.9272898383 5.000000 0.721238
54 3.2658350097 4.986300 -0.541118
55 5.5906609952 3.157034 -1.684601
56 2.4478651405 5.000000 1.361821
57 0.1221873824 3.852668 0.890965
58 75.6589142581 -5.000000 -0.569386
59 5.2553343959 1.333873 0.401677
60 20.9713664000 5.000000 5.000000
61 6.2403454478 1.881539 -1.164116
62 45.9856244599 -2.948603 -1.071440
63 20.2094073200 -0.725312 1.808361
64 7.4364164550 1.192519 1.888560
65 31.7985188661 3.406940 -5.000000
66 37.9276713701 -2.524580 0.144690
67 24.7881169643 5.000000 -4.146874
68 9.2210288178 1.078205 2.305153
69 20.9713664000 5.000000 5.000000
70 29.4982334474 0.382256 5.000000
71 31.8338736923 -1.663423 -1.359406
72 32.5867813344 2.702642 -5.000000
73 33.6753664000 5.000000 -5.000000
74 32.4875671397 2.758779 -5.000000
75 2.6342681880 5.000000 1.480411
76 24.7449640177 -1.281401 -0.245765
77 15.5822883564 -0.121030 -0.641063
78 35.3985359145 1.705721 -5.000000
79 81.1263720597 -4.597305 -3.065377
80 6.3215821336 2.274365 2.762613
81 77.2706531049 -5.000000 2.385276
82 27.3687414701 1.424620 -4.115969
83 82.8022175451 -5.000000 -2.296409
84 26.8979334062 -0.442527 -2.595786
85 97.1061423862 -5.000000 -4.150012
86 7.0652244884 5.000000 -1.633134
87 19.0534148723 3.658398 5.000000
88 105.9633664000 -5.000000 -5.000000
89 2.9498438757 5.000000 -0.379668
90 19.3244657878 -0.051438 -1.790928
91 3.3646071477 5.000000 1.837165
92 81.4994569087 -5.000000 3.335491
93 85.9878840015 -5.000000 4.067400
94 105.1585202848 -4.953157 -5.000000
95 35.1411783305 1.774373 -5.000000
96 83.8073322179 -5.000000 3.733497
97 49.2906803218 -3.143545 -1.267655
98 105.9633664000 -5.000000 -5.000000
99 0.4396004396 3.420107 0.001283
100 18.2462985438 0.044540 -1.710520
101 32.7310155347 2.626707 -5.000000
