evaluations raw_y x0 x1 x2 x3 x4
1 13343.4908432595 0.488135 2.151894 1.027634 0.448832 -0.763452
2 24517.5508672359 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 83503.2537415901 2.917250 0.288949 0.680446 4.255966 -4.289639
4 19472.7781923058 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 75738.6469471116 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 23011.4989490418 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 135456.0770675514 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 8520.0592168637 1.176355 1.120957 1.169340 4.437481 1.818203
9 48929.8048594747 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 92751.2952455341 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 134461.0158283731 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 70310.1170832553 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 142933.9721065151 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 90136.5949774008 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 6648.5672959105 4.764595 -0.313488 4.767611 1.048455 2.392636
16 177406.3765661987 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 26944.6806580456 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 34622.9682452505 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 43851.2826510218 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 139824.6996906777 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 41366.6606627809 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 28833.0592879263 0.761573 0.920419 0.722519 -2.769184 4.527490
23 11371.5242308949 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 4356.0629448340 -1.034943 3.811032 0.812729 3.817354 1.925316
25 13647.3797288190 2.252543 0.013244 4.560836 1.439902 -0.761450
26 59072.8504442944 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 52199.0266947057 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 8771.5824591330 0.908728 0.743252 1.532008 1.521033 -0.685816
29 12441.8547232148 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 40813.3730086933 2.038886 -3.997731 4.194826 2.142413 4.988470
31 96915.0231764247 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 135749.0702837170 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 38556.9801697475 1.974288 -0.464573 2.220556 3.663823 4.755215
34 87173.1817575626 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 119506.9967010539 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 115921.4250366423 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 25617.1796849876 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 24612.0953524909 1.139660 0.356328 0.899100 2.301220 -1.880550
39 25584.1129129954 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 123448.4929725645 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 221535.2014164440 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 8565.1245095680 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 197658.7196028174 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 7779.0967514357 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 53637.0625109289 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 12936.5841986541 4.527917 1.874883 -2.844923 4.473706 2.308558
47 178912.2809761555 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 23982.4938345609 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 54352.2590218906 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 87748.5268087935 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 18197.9076876090 -1.443873 4.404319 2.653253 2.486636 4.037197
52 4004.3944498499 -0.106169 1.848687 -0.542889 2.263845 3.188144
53 12059.3837349164 2.867966 5.000000 1.118902 -0.751875 4.327433
54 59585.7043015656 5.000000 -2.447587 -5.000000 -0.249088 1.593499
55 25377.2451133458 3.935187 0.901255 3.045370 5.000000 -1.144108
56 88338.0329916308 3.204463 0.403844 -1.497926 -2.610040 -1.886068
57 66190.6634411327 5.000000 -1.652641 2.178352 -4.082821 -0.063141
58 57603.8018448247 0.900983 2.709809 4.421655 -5.000000 5.000000
59 72609.3582806984 5.000000 -5.000000 -3.123893 -1.828650 2.515255
60 26521.7630332625 5.000000 2.800201 -5.000000 4.323058 1.386815
61 27523.9039455083 5.000000 -4.774546 5.000000 2.973017 2.123343
62 46965.5865298592 -0.642065 5.000000 5.000000 1.744733 5.000000
63 51759.5917940367 -5.000000 5.000000 5.000000 5.000000 0.368154
64 118255.2130697911 3.368938 -5.000000 3.088809 0.146934 -3.862596
65 14474.3819682877 -0.236151 -1.912075 0.553859 5.000000 -0.665182
66 84621.6630924277 3.815192 -5.000000 1.980077 5.000000 5.000000
67 32325.2222337077 3.198383 -1.004463 1.539631 5.000000 3.529408
68 28320.5527998635 -1.119592 -5.000000 1.483822 5.000000 2.313611
69 70651.2344837334 -0.373279 1.780322 0.339428 -5.000000 3.011947
70 15836.6666251485 0.718746 -5.000000 5.000000 2.273047 0.430779
71 94883.6627098105 2.354176 -5.000000 0.014762 -5.000000 5.000000
72 142986.8763776769 -0.553899 0.451075 -5.000000 -5.000000 5.000000
73 54633.3520774990 -0.532270 2.824292 3.609203 3.991948 5.000000
74 56230.4762614425 2.155578 1.343977 5.000000 3.561976 5.000000
75 112675.2719879570 5.000000 5.000000 0.687089 5.000000 -5.000000
76 75828.1587500366 -3.016745 -4.756945 -5.000000 5.000000 -2.159147
77 123498.9846007507 -0.334515 -0.474681 -1.306712 -5.000000 -0.712014
78 184528.9766452126 4.720340 -5.000000 -5.000000 -5.000000 4.974981
79 113422.0738020469 3.242773 1.551753 1.918180 5.000000 -5.000000
80 50963.7237010352 -1.467766 -5.000000 -0.069697 5.000000 4.130389
81 76796.6107104794 -1.632649 -2.524673 -2.861373 4.266445 -3.717015
82 14742.6611742827 0.200231 5.000000 4.346684 2.724796 1.340403
83 6958.2759035388 4.870963 0.983886 0.334790 -0.840929 2.707331
84 18787.7628725267 -2.564475 -2.141589 -0.651974 5.000000 2.846588
85 127088.5882863827 0.211045 -5.000000 -2.581313 2.193537 -4.256711
86 16018.6148154589 -1.282612 0.530729 1.754240 5.000000 1.790956
87 6278.7585213296 -0.043125 4.000084 0.544533 3.129635 3.085819
88 204678.7381024507 4.967910 -5.000000 5.000000 -1.869369 -5.000000
89 50892.4282925997 1.281109 0.516890 4.448957 -5.000000 3.754978
90 39726.4177903799 -4.002763 -0.499117 -0.533271 -3.291805 3.755719
91 5859.7365230691 -3.335074 4.893507 1.573414 1.480150 1.061306
