evaluations raw_y x0 x1
1 47594.3187731840 0.488135 2.151894
2 14149.8703972655 1.027634 0.448832
3 23886.1039352433 -0.763452 1.458941
4 97475.2365668733 -0.624128 3.917730
5 7283.8201811476 4.636628 -1.165585
6 19305.9422198450 2.917250 0.288949
7 125500.0971612686 0.680446 4.255966
8 25193.3445868869 -4.289639 -4.128707
9 45728.3764115737 -4.797816 3.326198
10 124161.3190843941 2.781568 3.700121
11 117131.5993120439 4.786183 2.991586
12 60329.4436173161 -0.385206 2.805292
13 11198.0311901867 -3.817256 1.399210
14 89955.0605317326 -3.566467 4.446689
15 573.4166058695 0.218483 -0.853381
16 44330.9762651166 -2.354444 2.742337
17 12253.9601603003 -0.438497 0.684339
18 7415.1362712559 -4.812102 1.176355
19 27562.5199871344 1.120957 1.169340
20 68809.3185712702 4.437481 1.818203
21 155.3453685762 -1.404921 -0.629680
22 5277.0083347699 1.976312 -4.397745
23 43522.1448959692 1.667667 1.706379
24 11334.9665900318 -2.896174 -3.710737
25 3.5233952210 -1.845716 -1.362892
26 2171.1545481291 0.701968 -0.613985
27 2277.2993729972 4.883738 -3.979552
28 7463.5559758625 -2.911232 -3.386905
29 2.4383692137 1.531083 -2.467084
30 1.7990226316 -0.336892 -2.555744
31 16225.8954308711 -3.410304 -3.896249
32 891.2745194249 1.563296 -3.618170
33 119.4619484936 -3.034176 -1.312748
34 1091.7555110088 3.209932 -4.028987
35 1082.4946934846 3.379449 -4.039016
36 18895.6930500640 4.764595 -0.313488
37 48726.6935978667 4.767611 1.048455
38 6300.3928082750 2.392636 -4.608122
39 10044.5836450559 -2.171930 -3.798034
40 9810.2333229365 -2.038598 -3.812723
41 5.8299181602 -1.820168 -0.857370
42 17541.4217881496 -4.358525 1.924721
43 4.1627589307 0.666015 -2.346105
44 6225.2303075580 0.232481 -4.060595
45 128059.9144113425 0.759465 4.292962
46 22963.5531023782 -1.814310 1.674104
47 23948.5511082511 -3.682021 2.163272
48 3520.2034264559 -2.105939 -3.168086
49 13349.6667496957 0.865129 -4.798925
50 7818.4441222007 3.289400 -4.953045
51 4.5124686710 1.778165 -2.299920
52 4.0414639912 -0.368341 -1.799134
53 278.4585850812 2.147893 -3.554845
54 7668.5201979818 -0.868709 -3.922750
55 15403.5343480709 -1.922534 -4.237137
56 13723.5230354121 5.000000 -0.750757
57 4.5273268203 0.072682 -2.149490
58 5290.4393304793 -5.000000 -2.341237
