evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 68.4859972471 0.488135 2.151894 1.027634 0.448832 -0.763452 1.458941 -0.624128 3.917730 4.636628 -1.165585
2 72.0064053184 2.917250 0.288949 0.680446 4.255966 -4.289639 -4.128707 -4.797816 3.326198 2.781568 3.700121
3 84.5141489901 4.786183 2.991586 -0.385206 2.805292 -3.817256 1.399210 -3.566467 4.446689 0.218483 -0.853381
4 76.1929299906 -2.354444 2.742337 -0.438497 0.684339 -4.812102 1.176355 1.120957 1.169340 4.437481 1.818203
5 78.0896908889 -1.404921 -0.629680 1.976312 -4.397745 1.667667 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
6 83.3013839398 0.701968 -0.613985 4.883738 -3.979552 -2.911232 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
7 85.3815999653 -3.410304 -3.896249 1.563296 -3.618170 -3.034176 -1.312748 3.209932 -4.028987 3.379449 -4.039016
8 84.8402343933 4.764595 -0.313488 4.767611 1.048455 2.392636 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
9 80.2480125108 -1.820168 -0.857370 -4.358525 1.924721 0.666015 -2.346105 0.232481 -4.060595 0.759465 4.292962
10 80.6991864135 -1.814310 1.674104 -3.682021 2.163272 -2.105939 -3.168086 0.865129 -4.798925 3.289400 -4.953045
11 71.6900130464 1.778165 -2.299920 2.351940 4.621885 -2.512469 0.761573 0.920419 0.722519 -2.769184 4.527490
12 73.8620435376 -0.528746 3.464087 1.994793 -2.025630 3.137978 -1.034943 3.811032 0.812729 3.817354 1.925316
13 81.2218821303 2.252543 0.013244 4.560836 1.439902 -0.761450 1.063932 -4.808068 -1.984252 1.601735 -2.099224
14 73.1632720752 1.180154 -0.712313 -3.645259 -2.017177 0.699649 0.908728 0.743252 1.532008 1.521033 -0.685816
15 73.5903319716 3.965466 -1.324381 -0.641351 3.919234 3.061940 2.038886 -3.997731 4.194826 2.142413 4.988470
16 78.4590105108 -3.505517 3.681261 -3.375071 1.155596 -3.761800 3.480082 3.073190 0.691007 -0.928167 -4.308330
17 78.4384320549 1.974288 -0.464573 2.220556 3.663823 4.755215 3.558033 -4.882859 -1.400219 2.299906 -3.283703
18 85.0371421786 0.210366 -4.456620 -3.000035 -4.814782 2.936977 -2.760753 -1.546483 4.280813 2.044144 -4.681611
19 60.4589425248 -3.353058 1.214784 0.772286 -2.621072 4.342140 1.139660 0.356328 0.899100 2.301220 -1.880550
20 79.4007740322 -1.017789 -2.901563 -3.138070 4.443724 2.395508 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
21 82.1217581610 -1.882041 1.963435 -1.222482 -3.203963 -4.753213 -4.327504 1.793928 -0.463032 0.365792 3.966713
22 84.5122604581 4.903389 -2.831030 1.630782 -2.366776 -4.793490 2.583787 -1.799828 -1.165361 0.883171 3.310485
23 79.3288358529 1.289818 3.726507 -2.264580 2.980468 -3.143641 4.527917 1.874883 -2.844923 4.473706 2.308558
24 68.9607329416 -2.460584 -2.866880 0.182007 -4.743373 -2.925299 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
25 74.7479072990 3.638556 -3.824681 0.173791 -3.679319 2.168597 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
26 80.8385944117 -1.443873 4.404319 2.653253 2.486636 4.037197 -4.165776 0.521925 0.844761 4.619364 -2.078525
27 75.5328643885 -2.591712 -3.997061 -4.835704 4.295293 1.699165 2.851529 -2.182699 0.864102 -4.360447 -0.143724
28 82.1545802070 4.774951 3.765052 -1.618410 4.615702 -2.682984 4.493188 4.413777 2.992026 1.304479 3.742880
29 80.7180025208 -2.069797 3.489436 1.178767 -4.867631 -1.527665 -3.518591 4.818294 -0.216297 -0.026086 1.394725
30 83.2565010578 -1.314154 -3.630997 3.221177 -3.101521 0.113190 -2.756830 -4.021555 3.621915 4.729195 4.608347
31 70.6263450217 4.065555 2.740473 -1.668548 -4.188986 -0.927588 -2.677659 -3.675124 -4.465728 2.255944 -4.885725
32 84.3059712953 2.705807 -3.530534 -4.204779 -4.103970 1.720478 -2.546328 -0.794605 0.573688 3.605512 2.270443
33 77.6914834304 -2.296721 -3.685172 -4.446257 -1.984014 -2.378819 -0.438594 1.832813 1.956254 -2.164812 -1.200730
34 74.6629900081 -3.188490 2.885455 -4.431519 1.969972 2.786954 2.774076 -2.405774 -1.261869 0.875996 -2.271781
35 74.0612871535 -1.291472 -3.029457 -0.401441 -4.553877 2.997959 -4.230436 0.188351 -1.931899 0.775429 4.594333
36 72.7987517295 1.455702 -4.646376 -0.695976 0.100169 0.361775 1.813925 -2.224039 -3.711394 -1.073243 4.564057
37 79.3144703004 -3.128691 4.039840 0.438060 -0.430886 3.820414 -0.413960 2.241676 -1.009747 4.040444 1.900250
38 82.8084033184 1.996221 -1.722796 2.567786 1.360611 -2.599797 -3.394612 2.963915 4.591666 -0.418612 0.909842
39 83.0240259481 3.577226 -0.427765 4.518745 0.757512 3.207671 4.088437 3.155238 -3.405855 1.288984 -1.015657
40 84.0479033427 -4.372870 -0.759677 -2.413159 3.490383 -4.666954 4.589827 -1.446312 -1.432931 -4.836715 -3.147677
41 85.5822696218 -0.987405 4.292914 -4.003851 4.453015 3.694885 -0.458376 -1.732991 -2.672559 1.144647 -4.669254
42 85.6261295275 -4.843939 -0.712043 -4.319259 -2.480590 -2.788391 -2.468088 -3.689448 -4.879638 -3.845157 1.184803
43 84.2978405409 4.742562 4.903450 -0.909459 -3.370456 1.387618 -0.096947 4.894098 -4.346958 2.832344 -2.116015
44 74.3517002431 -2.585814 1.625046 -2.539368 1.658591 0.173085 -0.759110 0.546878 -2.129485 2.065747 -0.851431
45 84.6969333943 -1.394544 3.286569 4.249669 -4.539927 -2.673730 -1.514806 3.149665 4.854914 4.689717 4.049483
46 82.3859972674 -2.034437 4.920112 -2.505800 -3.940938 4.509526 -2.665797 1.897683 -4.416436 2.307091 3.817202
47 72.4791890731 -2.275631 -1.209431 -1.257038 2.487883 -2.621928 -3.281469 -0.507084 -1.955316 3.391891 -2.622582
48 84.0093312176 0.023895 4.425836 1.339977 3.672894 4.402097 2.507649 1.995751 4.679656 4.944008 -0.481783
49 81.0129723749 -4.291302 -2.072060 -3.476453 -0.825136 -3.687107 1.041178 -1.171919 3.953859 4.677947 0.468849
50 72.5129174722 -2.251764 0.922304 3.967612 -0.932667 0.520783 -2.283472 -0.445559 -0.982865 -2.515865 0.058664
51 79.6886648517 -1.896192 -1.269651 0.249704 2.505950 -1.664925 4.241588 3.623185 -4.513097 -2.463575 -0.538645
52 80.7775859939 -2.995124 2.074836 0.682063 -4.619250 -1.601013 0.577064 0.368490 0.072125 0.612252 -1.367176
53 84.1567864040 3.223794 -5.000000 -0.626687 -5.000000 5.000000 1.156488 -2.195697 0.494198 -5.000000 -3.364384
54 82.2947267787 5.000000 4.950845 0.469686 -5.000000 -5.000000 -4.681972 2.589578 -5.000000 3.561105 -2.422132
55 79.3971181522 5.000000 -5.000000 1.629065 5.000000 -5.000000 0.719742 0.708764 0.789840 -3.606402 5.000000
56 82.5127925090 5.000000 0.490819 1.372606 2.506008 -2.095144 -5.000000 2.307655 5.000000 1.514531 3.465048
57 76.0808340737 -1.905596 -4.740806 1.708509 1.727748 5.000000 -5.000000 -1.478659 -5.000000 2.090454 -4.309132
58 82.0617371202 -2.623825 1.671137 -3.533847 -0.383180 0.096425 1.481778 0.735756 1.204658 -3.157087 3.668549
59 86.0052963572 -5.000000 5.000000 -0.240263 -1.688893 -5.000000 1.454108 -3.984601 5.000000 -0.885162 -2.244746
60 75.1545499169 -3.141550 -1.829997 -5.000000 -2.083583 -0.799729 -0.825462 0.795677 1.546862 1.606130 -2.591676
61 86.4514702668 5.000000 -4.772226 -3.249297 -4.334398 5.000000 2.135112 -5.000000 5.000000 0.380357 5.000000
62 76.1526613978 -3.954793 -1.328847 1.352808 0.358607 5.000000 5.000000 5.000000 1.649040 3.573318 -3.049980
63 81.8606234562 -5.000000 1.457434 0.109295 -5.000000 -5.000000 4.411364 0.064635 1.078022 0.593842 3.428122
64 84.0790184412 -5.000000 3.317166 -3.938150 -3.637037 -5.000000 0.252740 0.542334 -5.000000 0.625394 -5.000000
65 81.4745454401 -1.065391 -0.293128 5.000000 5.000000 5.000000 5.000000 1.480815 1.976142 3.234465 -0.822869
66 73.0448471085 -1.597320 4.612166 0.290707 -3.655730 2.554694 -4.201983 0.925420 1.229933 -5.000000 2.182698
67 85.7838903183 -1.719336 -5.000000 4.774939 -5.000000 -4.431688 5.000000 -5.000000 0.777603 0.490777 2.872683
68 83.2146351179 0.878716 5.000000 1.888845 0.305044 -5.000000 2.130378 0.980479 0.328460 5.000000 -2.959002
69 79.6653174793 -0.573887 -5.000000 -5.000000 3.845324 -5.000000 -2.453835 -1.463927 3.125099 -2.309429 -0.132626
70 83.0032879559 5.000000 2.651709 2.377398 4.271427 4.144395 4.721390 2.547979 -0.920529 -4.365399 -2.840863
71 86.1164583319 5.000000 -0.232507 3.853551 5.000000 5.000000 0.856544 4.552624 -5.000000 1.749679 -3.654631
72 78.0120522945 -3.122718 5.000000 -5.000000 4.127316 -5.000000 5.000000 -1.619217 1.459561 -2.614310 -2.595444
73 84.9330715740 1.481505 5.000000 0.599223 -1.221745 5.000000 2.710649 1.569727 -1.208665 -0.142617 -0.417287
74 82.8198290464 -2.430223 1.467803 -1.697574 -2.487307 -4.130316 2.129990 -0.232881 5.000000 4.335464 5.000000
75 78.8425295523 -1.550984 5.000000 3.557948 -2.803761 -1.097052 1.962847 -4.445950 -0.286520 4.845683 0.277323
76 81.4578129886 -1.871777 1.390010 1.909007 -1.623135 5.000000 5.000000 -1.898507 -5.000000 5.000000 0.993739
77 75.9531085980 0.302810 -0.760202 -1.590891 -2.141298 -2.768160 5.000000 -0.276453 3.062467 -3.035319 -5.000000
78 83.9394431793 -5.000000 1.044892 -5.000000 5.000000 5.000000 2.003690 0.414839 0.928512 4.850400 -1.623502
79 85.1027050534 -2.101641 5.000000 1.853365 -5.000000 4.983882 2.390373 2.736540 0.710782 0.592591 5.000000
80 68.7768212905 -3.322758 2.734875 -0.074653 -5.000000 3.398858 5.000000 0.672966 0.368586 2.693406 -2.826650
81 84.6868298073 -5.000000 -0.781148 -5.000000 2.043913 -5.000000 0.320125 -3.725839 5.000000 5.000000 -2.318661
82 85.3222475481 5.000000 -0.402281 -2.292379 5.000000 5.000000 1.961015 5.000000 3.108549 2.199316 -3.244613
83 85.6093055227 -5.000000 3.031069 1.892238 -4.108214 -5.000000 4.743122 0.242278 -3.229318 -5.000000 5.000000
84 85.8656895011 5.000000 -0.048327 -0.440209 5.000000 -5.000000 5.000000 3.666154 5.000000 0.489743 -5.000000
85 86.3982309019 -5.000000 5.000000 -1.403099 -5.000000 5.000000 -5.000000 -0.759325 -5.000000 2.099743 -5.000000
86 84.1688435856 5.000000 5.000000 5.000000 3.487854 -1.830929 -5.000000 -1.721016 0.670513 0.828491 -2.154774
87 84.9820855164 -5.000000 -2.069149 5.000000 -4.185332 -2.603635 -0.196950 5.000000 5.000000 -0.722681 0.474070
88 85.7556173663 -1.902033 -5.000000 5.000000 0.378900 5.000000 -2.813057 -5.000000 -3.060741 2.972273 5.000000
89 84.9218987162 5.000000 3.889147 -4.742561 -5.000000 -4.095383 3.458799 3.678112 -5.000000 3.536539 -3.461346
90 72.0117422194 0.691704 5.000000 2.132991 1.577479 4.005904 -0.552694 5.000000 5.000000 -4.057653 -0.692351
91 85.9677027059 -5.000000 0.290783 2.160082 5.000000 5.000000 1.400954 1.379073 -5.000000 -5.000000 -3.958664
92 85.9577834160 5.000000 5.000000 -0.858750 -5.000000 5.000000 0.945516 5.000000 2.608953 3.933400 -2.698664
93 82.5528825101 -5.000000 0.993903 5.000000 -3.766641 1.239657 -0.295365 1.431350 2.869622 5.000000 5.000000
94 78.2589522971 -5.000000 -5.000000 1.675951 -2.131067 5.000000 4.462546 -5.000000 -2.506625 5.000000 -3.076712
95 86.2524885170 -5.000000 5.000000 -1.124070 5.000000 5.000000 1.386391 -5.000000 5.000000 -1.652207 -4.925298
96 86.1240025294 4.654776 3.141875 5.000000 -5.000000 5.000000 4.517121 -0.129760 -1.949761 5.000000 5.000000
97 84.0100403020 5.000000 1.432805 5.000000 2.211604 2.992792 4.882837 -0.920304 1.579747 -4.713437 -5.000000
98 86.4832450013 -5.000000 -5.000000 -5.000000 -5.000000 5.000000 -5.000000 -2.421736 5.000000 2.716441 -5.000000
99 86.0145094976 2.417953 -5.000000 3.355991 -1.574098 4.729655 -2.788371 5.000000 -5.000000 4.202063 -5.000000
100 84.8233822204 -1.169906 0.490412 -3.602360 -0.787453 5.000000 1.545966 -5.000000 3.254466 -0.798555 2.301237
101 83.2007815211 2.032416 -5.000000 -5.000000 -4.378389 -4.235546 4.679840 -5.000000 4.010501 -5.000000 -2.413394
102 73.6797683313 -5.000000 1.038640 1.139268 -2.422959 5.000000 1.047496 0.035157 0.664829 -0.618969 -2.393686
103 82.1696534499 -5.000000 4.762360 -2.633434 -5.000000 3.848725 1.544211 -0.233840 2.270813 2.751358 1.322108
104 74.6688015197 -1.575990 -3.604687 -1.767385 -2.979631 0.254536 3.546499 -4.472391 -0.213769 -5.000000 2.769754
105 86.3773889388 5.000000 4.778467 -4.271859 -5.000000 5.000000 -5.000000 -5.000000 5.000000 0.205516 0.886162
106 78.3715144065 5.000000 -0.599016 -2.052043 5.000000 5.000000 1.376853 0.754224 1.331946 5.000000 5.000000
