evaluations raw_y x0 x1 x2 x3 x4
1 76.4145378444 0.488135 2.151894 1.027634 0.448832 -0.763452
2 80.5617053030 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 84.1192737587 2.917250 0.288949 0.680446 4.255966 -4.289639
4 78.2397574135 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 68.2284950407 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 73.1658448306 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 76.5425050683 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 80.8504101780 1.176355 1.120957 1.169340 4.437481 1.818203
9 74.6205766160 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 72.5883976098 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 75.7361411604 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 75.5681685111 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 83.7949755966 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 84.8891201745 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 79.1316048398 4.764595 -0.313488 4.767611 1.048455 2.392636
16 81.5348287826 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 84.1702900787 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 81.7054923515 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 86.1082783380 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 86.0518826207 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 82.1402396162 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 81.2552291966 0.761573 0.920419 0.722519 -2.769184 4.527490
23 63.5460034077 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 82.4097720806 -1.034943 3.811032 0.812729 3.817354 1.925316
25 54.4514217797 2.252543 0.013244 4.560836 1.439902 -0.761450
26 76.8235035045 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 76.5124926476 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 68.6557511478 0.908728 0.743252 1.532008 1.521033 -0.685816
29 60.7263139861 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 75.8577525049 2.038886 -3.997731 4.194826 2.142413 4.988470
31 86.0460682114 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 72.6876592932 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 82.5133583730 1.974288 -0.464573 2.220556 3.663823 4.755215
34 72.0066041079 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 84.5281079643 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 74.4315063026 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 81.6233943052 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 54.1930476695 1.139660 0.356328 0.899100 2.301220 -1.880550
39 78.8971029946 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 77.1387258079 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 81.0153009314 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 83.1329067337 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 86.1717483308 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 66.3442430883 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 81.2888034161 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 75.9328267069 4.527917 1.874883 -2.844923 4.473706 2.308558
47 85.0414018743 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 29.5765602125 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 79.0011257840 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 84.1846590162 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 86.1597798963 -1.443873 4.404319 2.653253 2.486636 4.037197
52 51.2888285867 -0.077261 -1.906214 -0.971801 -3.128674 1.437068
53 85.4626880906 0.415454 4.246516 -0.659157 -0.140018 4.869988
54 80.8418364208 5.000000 -0.068263 -5.000000 -3.127501 -2.871795
55 84.2906946551 5.000000 -3.283531 0.402695 5.000000 -2.017341
56 72.6553825725 -0.285766 -3.198729 -1.813516 -3.077011 -2.171817
57 86.3702028276 5.000000 -4.026589 -0.540937 -5.000000 4.327845
58 85.9487321906 5.000000 2.264219 -0.250930 -1.944787 5.000000
59 85.0325005728 2.139674 -2.167758 -1.975817 -5.000000 -3.228794
60 85.7407133062 5.000000 -2.737978 -1.758890 -5.000000 -5.000000
61 84.7240316855 4.125508 -5.000000 3.180061 0.221104 1.932083
62 83.8534530876 5.000000 5.000000 2.163360 -1.181539 4.873232
63 83.9504249468 0.710715 -1.417606 5.000000 4.068492 -2.595468
64 76.2254589580 -0.724770 -2.561206 1.994925 0.832291 -5.000000
65 72.4000574613 0.612031 -0.740673 5.000000 -2.591818 1.584398
66 83.5006604510 -0.906817 -5.000000 -3.812828 3.404954 5.000000
67 76.5550370491 2.090415 -0.799600 5.000000 -3.657841 2.327800
68 85.7140845595 1.359070 -5.000000 5.000000 5.000000 4.663504
69 82.4824781380 5.000000 5.000000 -5.000000 -1.852582 1.220405
70 50.7850592846 2.925672 -1.006586 1.988773 -0.704204 0.142363
71 86.2332662171 2.302479 -4.435977 -0.620438 -4.324406 5.000000
72 83.9276639636 4.422305 -3.562356 -4.131049 -5.000000 2.406755
73 76.8219738996 -0.439738 1.799216 0.767699 -1.296177 3.606720
74 85.0398829034 -4.030192 -3.547594 5.000000 5.000000 5.000000
75 85.6232107489 -0.486824 0.957080 -5.000000 5.000000 0.203070
76 76.2955109397 -0.977276 -5.000000 -0.515706 -3.603132 2.164295
77 76.3151146610 5.000000 -0.311633 -4.058546 0.037049 0.218212
78 84.9557853247 4.996312 -2.162266 -2.903762 -3.576431 3.187166
79 84.2938687468 2.816824 -3.273769 3.272583 5.000000 0.651970
80 80.7767772893 -3.331989 1.142648 -3.559242 -3.088807 0.802017
81 76.6994043066 -1.182002 1.431035 0.401999 -2.243131 3.599792
82 86.1489762052 3.093204 5.000000 0.847698 5.000000 1.078842
83 73.1687669750 -4.565952 -2.554730 -2.684173 -3.669685 1.742702
84 83.3463322403 -5.000000 -0.035597 -0.759605 0.082898 5.000000
85 83.8888217363 -2.984150 -0.482613 -5.000000 0.275355 3.485786
86 82.5682431316 -0.114948 -2.471406 5.000000 5.000000 -0.372445
87 79.3463944943 -0.008792 5.000000 1.768559 -5.000000 4.706713
88 85.2569884995 5.000000 -2.245719 5.000000 3.637093 -1.908497
89 85.0881597759 1.929417 -1.326677 -0.134105 -4.857805 5.000000
90 78.2313592405 -5.000000 -2.341126 -1.690305 -5.000000 1.767362
91 61.1533923887 -4.474874 2.275491 1.901679 5.000000 -5.000000
