evaluations raw_y x0 x1 x2 x3 x4
1 91.8584560180 0.488135 2.151894 1.027634 0.448832 -0.763452
2 150.9761830313 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 112.7022990863 2.917250 0.288949 0.680446 4.255966 -4.289639
4 202.7922114706 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 179.9970028187 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 136.0635812629 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 92.7778274718 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 122.3418038899 1.176355 1.120957 1.169340 4.437481 1.818203
9 145.1290825123 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 125.3349289048 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 209.3504969358 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 82.0166423173 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 132.1889898438 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 133.4880470807 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 154.4259547712 4.764595 -0.313488 4.767611 1.048455 2.392636
16 104.0119701532 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 80.5030301583 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 137.1298196762 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 77.5171461350 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 124.3047343017 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 134.8919366135 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 98.6605448773 0.761573 0.920419 0.722519 -2.769184 4.527490
23 101.0132529172 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 143.8641550216 -1.034943 3.811032 0.812729 3.817354 1.925316
25 170.7271172594 2.252543 0.013244 4.560836 1.439902 -0.761450
26 98.3147999628 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 68.9399512388 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 98.8718557940 0.908728 0.743252 1.532008 1.521033 -0.685816
29 155.0293070705 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 220.7106504951 2.038886 -3.997731 4.194826 2.142413 4.988470
31 147.0869643250 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 175.8888015713 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 175.4105281643 1.974288 -0.464573 2.220556 3.663823 4.755215
34 128.8713923776 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 186.5086180018 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 105.7631624066 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 175.1886825146 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 80.9496869485 1.139660 0.356328 0.899100 2.301220 -1.880550
39 106.4360401100 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 105.0028763940 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 143.6835265205 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 138.5776752569 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 199.0583330816 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 125.6623682549 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 136.4893241531 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 176.5354123772 4.527917 1.874883 -2.844923 4.473706 2.308558
47 141.5634287554 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 124.4689420242 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 200.1656455261 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 123.2555071623 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 191.1949857220 -1.443873 4.404319 2.653253 2.486636 4.037197
52 137.0740773990 2.239243 -1.079091 -5.000000 -2.838086 1.158554
53 248.0622216639 -2.957149 5.000000 -5.000000 -0.087467 4.508096
54 179.8326671808 2.494903 -1.008264 -5.000000 -3.455287 0.602698
55 163.0415622161 2.124475 -0.721291 3.132339 5.000000 -5.000000
56 202.5118671318 4.658805 -1.485895 -5.000000 -1.688757 -5.000000
57 237.4109122152 5.000000 -3.299253 1.160454 -5.000000 -2.949528
58 161.4542382745 1.878049 -5.000000 0.177313 -1.824281 3.415091
59 149.7453346629 1.008509 -1.294400 -5.000000 -4.461150 -0.281651
60 169.9432825079 2.097934 1.544736 -2.767074 -5.000000 -2.670482
61 254.9342720412 1.615030 -3.588380 5.000000 0.258769 5.000000
62 165.3267634857 -1.969669 0.594310 2.766012 -3.385256 4.253473
63 116.3481982753 -0.498857 -0.098330 -0.314580 -3.109425 -2.018918
64 59.5064694267 0.555105 -2.235543 -0.805388 0.842533 -5.000000
65 144.5411405079 1.986096 -3.094100 2.286595 5.000000 1.690836
66 218.7041454602 4.549913 -2.810048 -2.878246 5.000000 5.000000
67 230.1183407475 1.391304 0.235717 5.000000 5.000000 3.247162
68 106.8430106861 -1.520024 -1.624537 -2.402822 -2.504966 -0.162631
69 231.3318848075 4.501855 2.750057 -5.000000 -1.799202 -5.000000
70 157.4870715033 0.409597 -2.770296 5.000000 -0.366274 -0.085919
71 210.5949791166 5.000000 -5.000000 -5.000000 -2.203811 2.197478
72 307.9053031560 4.473510 -1.351455 -5.000000 -5.000000 5.000000
73 332.1208958363 0.805622 4.187179 5.000000 5.000000 5.000000
74 217.4315015474 -3.241767 -2.607061 5.000000 -2.506833 2.754900
75 228.6725379455 3.030416 5.000000 -5.000000 5.000000 -5.000000
76 104.7688382205 0.728915 -4.439149 -5.000000 5.000000 -2.547655
77 126.6403870773 2.994421 -3.220714 -5.000000 -0.497151 -4.606012
78 160.2019279765 1.473853 -4.630683 -3.103587 -2.601812 3.975334
79 49.2804887318 0.688206 -1.626619 -1.769371 5.000000 -1.299084
80 186.1921600331 -5.000000 1.127171 -0.939230 5.000000 5.000000
81 117.0618225329 -5.000000 -1.920273 0.042116 -1.740466 -4.167781
82 172.0961262810 0.780325 5.000000 5.000000 -2.112231 1.398552
83 175.8817393011 -0.995043 -0.423274 3.711025 -4.568796 3.693883
84 104.4964745858 -4.160936 -0.887176 -1.985261 1.045109 2.537039
85 141.3578145904 -5.000000 1.104060 -5.000000 0.595055 -4.669640
86 173.2621522256 1.366929 -0.652164 5.000000 5.000000 0.112367
87 285.9788097942 5.000000 -0.207213 5.000000 -3.977435 5.000000
88 193.0173642741 5.000000 -1.966728 4.023322 3.892005 -0.775484
89 218.1236452634 4.986579 -0.366007 5.000000 -4.871340 1.184036
90 239.4725974215 -5.000000 1.809868 -5.000000 -2.714312 5.000000
91 203.4811833767 1.785971 0.075345 5.000000 5.000000 -3.196766
92 163.2652580932 2.856407 5.000000 1.260133 -0.366063 3.665670
93 238.7587228203 5.000000 5.000000 -3.314172 -3.055060 1.265481
94 226.3814108527 5.000000 3.955157 -0.895647 5.000000 -5.000000
95 184.2532601268 1.670727 2.533539 -2.730714 -1.820731 5.000000
96 231.7436238316 -5.000000 -2.535252 5.000000 3.052933 5.000000
97 167.7945300107 1.510483 -1.548915 5.000000 -0.691273 -2.981012
98 277.7826819094 5.000000 -5.000000 -1.222408 -4.376978 3.695524
99 203.1276023511 -2.307893 -5.000000 5.000000 -3.136899 1.531771
100 145.6565240455 3.488496 -1.654762 -0.200623 -0.730364 -5.000000
101 281.1635405656 5.000000 1.858335 5.000000 -3.980985 -3.065062
102 104.5213281402 0.532615 -1.947948 -1.481540 5.000000 1.085041
103 120.8804998411 1.775146 -3.114638 -0.996471 5.000000 -3.351812
104 101.4000792789 2.773579 -0.729825 -3.919302 5.000000 -0.805464
105 80.6300822447 -2.232903 2.129200 -3.502279 5.000000 -1.519834
106 131.7193416146 -0.000289 0.534121 2.229613 2.007883 3.509499
107 163.1095266207 1.486026 -0.623571 5.000000 5.000000 -2.673367
108 210.1423805206 -2.958834 5.000000 -3.094267 -5.000000 -2.558160
109 115.4154270494 -0.767098 -5.000000 -0.831957 5.000000 -5.000000
110 146.0514982765 1.037190 3.488115 -4.212958 4.054452 -2.862564
111 275.5108540832 1.031903 -1.917854 5.000000 -5.000000 5.000000
112 85.7105928803 0.839850 -0.272272 -3.851728 5.000000 -1.240832
113 161.2960809956 -1.433476 -3.764803 -3.838665 -5.000000 2.431185
114 193.6887800107 -5.000000 -2.596510 -5.000000 -5.000000 -5.000000
115 126.8799601371 4.487219 0.791961 -0.611798 0.954346 -2.749318
116 125.3046227644 0.709681 -2.261285 -3.227618 -2.544872 -2.747843
117 78.5972784498 1.155581 -2.034812 -0.917546 3.810561 0.329463
118 122.1010216683 -3.182799 -3.824996 -5.000000 5.000000 -2.784714
119 262.4215378015 4.204727 -3.977790 -4.594950 -5.000000 2.711359
120 182.9134521963 2.860968 -4.495608 2.116286 -1.881851 -5.000000
121 216.1739712230 -5.000000 -2.070225 -0.918614 -5.000000 3.550943
122 189.8183102814 1.539762 -0.755053 5.000000 5.000000 2.767421
123 259.2980272746 -5.000000 5.000000 4.299602 5.000000 -2.655009
124 67.0086933333 -2.553292 -2.198860 -1.100153 5.000000 0.154932
125 97.7360205183 0.795008 -4.632011 0.059799 5.000000 -2.116232
126 69.8552782743 2.351426 -2.185775 -1.926402 -0.111199 -2.924510
127 138.3954490754 -1.302354 -1.020153 -5.000000 -3.331345 -5.000000
128 65.0381915951 -0.995769 -5.000000 -1.526426 5.000000 -3.149369
129 108.8692080201 3.235011 -5.000000 -1.634258 4.084880 -0.532801
130 87.3658359006 -1.430977 -3.902596 1.134466 2.562257 1.138658
131 141.3974813497 -0.998285 5.000000 -2.654756 1.187845 -1.026776
132 81.3196712603 -5.000000 0.221860 -1.010959 5.000000 -0.086808
133 111.5901695866 -3.847742 -3.238882 -1.836978 5.000000 -5.000000
134 75.0405825791 -2.953637 0.350253 -1.316269 5.000000 -1.259701
135 312.1245820593 0.246618 -5.000000 5.000000 -5.000000 5.000000
136 104.8033228294 -0.944582 -4.001070 0.675114 5.000000 0.944015
137 180.3187289052 2.036975 2.908390 -5.000000 5.000000 -1.125005
138 232.7146715989 2.581835 -4.773844 -3.244271 -2.548379 5.000000
139 48.0145220590 -0.473085 -2.152350 -0.552434 3.857573 0.628726
140 311.2917148727 5.000000 4.235112 -5.000000 -5.000000 -5.000000
141 179.9119704821 1.452295 -1.686593 5.000000 5.000000 1.248983
142 206.7922237511 3.079573 -1.501309 5.000000 -2.607085 -2.124296
143 257.4194112976 5.000000 -3.840916 0.516488 -5.000000 -5.000000
144 166.2352371008 -1.366441 -1.607751 5.000000 2.869371 -5.000000
145 192.0109409010 5.000000 5.000000 -1.553469 3.356281 -2.007988
146 63.2096965630 -1.479268 -5.000000 -1.535227 3.870891 -1.374437
147 172.5377088190 0.545884 -3.010457 -2.597468 2.061812 5.000000
148 179.3622175225 -3.222835 5.000000 -1.896721 4.559132 2.731361
149 260.5447854212 1.798673 -5.000000 0.327785 -5.000000 5.000000
150 315.5782684740 3.941080 2.508624 5.000000 5.000000 4.789060
151 156.9548621810 0.543974 -5.000000 4.832949 1.693423 -2.223319
152 85.2313911711 -0.637642 0.337619 0.161464 4.532902 -0.386242
153 148.3136509628 -0.537059 -2.083593 -4.546312 -3.837977 0.758965
154 128.3427089739 0.277980 -3.065767 -0.521502 3.471260 4.112282
155 138.9800068521 -3.719340 -5.000000 1.411846 4.003107 3.547528
156 94.4849187025 -1.341296 -5.000000 1.180126 3.701250 -3.708889
157 84.7337536112 -4.309755 -2.960624 0.083850 1.927237 0.245021
158 74.4806159339 -1.348436 -0.632656 -5.000000 0.513320 0.837215
159 175.3471686344 5.000000 -1.782996 -1.692184 4.098059 3.998261
160 71.7081870482 -3.571253 1.318883 0.144763 -0.126880 -0.497176
161 131.5791925367 -0.767660 -5.000000 1.709991 -1.625886 2.463990
162 60.2057622971 -1.185762 -1.820530 -1.808698 1.724601 0.104322
163 122.4600232467 -0.872824 -1.278246 1.949427 5.000000 0.576655
164 88.7482568726 -1.936706 1.187004 1.468323 -1.796752 3.034542
165 69.4429540898 -5.000000 -1.333309 -1.194605 2.340374 0.434965
166 149.2632137442 -5.000000 4.554407 -0.412690 2.266048 2.263829
167 148.4240204762 0.007098 -0.758675 2.744718 4.877061 -5.000000
168 103.8998849991 -2.712511 -4.569478 1.561299 1.573354 1.130242
169 214.1268588346 -0.493358 5.000000 0.096867 5.000000 5.000000
170 128.2467496794 -0.777579 -4.721784 0.173695 5.000000 2.130560
171 160.5508949973 -2.073214 -3.372630 -4.795984 -5.000000 -1.787714
172 242.0565720137 0.762623 5.000000 -1.977154 -5.000000 5.000000
173 174.2983892041 -0.280930 2.071398 -0.577647 5.000000 5.000000
174 231.3500318870 -5.000000 0.139067 2.760771 -5.000000 -5.000000
175 169.7884544611 2.818076 1.155177 -3.158163 -0.171820 5.000000
176 156.5798905690 0.103534 -5.000000 -0.744937 5.000000 4.006029
177 110.5212496531 0.394863 -3.584617 -1.061963 1.569651 1.165215
178 99.9189006772 -1.181491 -5.000000 2.123493 0.597376 0.600166
179 104.4470845309 -0.206901 -1.666830 -4.034384 2.180629 -1.904366
180 111.4593237318 -3.011204 -5.000000 0.314668 5.000000 1.499685
181 129.8011094272 -5.000000 -5.000000 -2.183964 5.000000 -5.000000
182 203.3274103009 5.000000 0.060029 -2.058496 4.124222 -5.000000
183 138.2637930890 -5.000000 -0.632718 0.125558 5.000000 -5.000000
184 166.0559097725 4.173705 1.200074 0.750754 5.000000 -1.043661
185 184.5919999257 1.435891 0.770940 -5.000000 5.000000 4.745810
186 150.5492819149 3.966185 -2.379943 -5.000000 -1.273300 -5.000000
187 236.1705762657 -2.470073 -5.000000 -4.671366 -2.136008 5.000000
188 119.2707434599 -0.262527 -5.000000 3.567513 4.303323 -1.451432
189 139.1411243300 -0.994226 -4.844603 -4.304173 5.000000 1.757192
190 180.2614893418 -4.553733 -0.629618 4.664846 0.472151 2.033767
191 128.4710858221 1.989802 2.566494 -2.423944 -0.543277 0.117832
192 185.5291242534 0.038649 5.000000 0.767409 1.679730 5.000000
193 194.2202921536 0.187419 1.300907 5.000000 1.422392 5.000000
194 192.1006077629 4.987091 1.106944 1.211625 -1.207338 -5.000000
195 200.2177739447 5.000000 0.123479 5.000000 1.323228 -1.811145
196 125.9614765831 2.099342 -0.747608 1.536130 5.000000 -0.068066
197 254.1152203192 -4.878936 2.304125 3.012092 -1.615803 5.000000
198 164.7019747744 -5.000000 0.517118 -4.223870 2.386930 4.968141
199 91.6608080239 -0.483846 -0.386592 1.020046 5.000000 0.125002
200 116.1134805223 -1.695297 -4.201550 1.374780 5.000000 -0.883768
201 166.8595872442 -5.000000 -3.845074 5.000000 0.910670 0.945669
202 110.2057096906 -0.501454 -1.326067 -0.790797 5.000000 -0.517991
203 110.9851923085 2.596528 0.127314 0.716465 5.000000 -3.954182
204 186.3098951422 2.955272 -2.234803 -1.993048 -5.000000 2.888879
205 92.3193948186 -1.752556 3.000753 -3.444685 -1.310734 -0.001974
206 99.6940861387 -0.561318 -3.652027 -1.067451 5.000000 -5.000000
207 123.3449845451 -0.779535 -2.472236 -3.770578 5.000000 -4.710237
208 99.3685846321 -5.000000 -2.425852 -0.847592 5.000000 0.079053
209 198.1057380916 0.479843 -0.531842 -5.000000 -5.000000 0.852761
210 81.5794975390 2.209663 -0.491268 -1.188819 1.134619 -0.351174
211 128.2255818821 0.387520 -1.911395 -4.985445 5.000000 -5.000000
212 134.4378005531 2.508395 -1.529394 1.102652 5.000000 -2.169776
213 143.4274503120 -3.875431 4.369493 -1.590471 1.189565 -0.515821
214 138.9036519818 -4.503266 2.242360 -5.000000 1.718006 1.716183
