evaluations raw_y x0 x1 x2 x3 x4
1 537324.8189613591 0.488135 2.151894 1.027634 0.448832 -0.763452
2 2557687.6434454862 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 18664471.3897964247 2.917250 0.288949 0.680446 4.255966 -4.289639
4 15015871.1250738669 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 14347214.5126223378 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 606037.7866007907 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 21816601.4262297079 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 4856357.7627938995 1.176355 1.120957 1.169340 4.437481 1.818203
9 2968585.5547319790 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 1817242.5203579536 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 7491775.3148152195 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 5662980.2464587716 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 8155541.1079543540 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 16299639.9498382155 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 7276220.8635550421 4.764595 -0.313488 4.767611 1.048455 2.392636
16 13654711.5827592351 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 981362.7231102681 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 19745503.0365593880 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 4563041.7121888530 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 23525799.1625354365 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 6818747.1928444495 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 21454590.3080068752 0.761573 0.920419 0.722519 -2.769184 4.527490
23 10016434.7017525360 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 5248234.0822433075 -1.034943 3.811032 0.812729 3.817354 1.925316
25 690120.3183171889 2.252543 0.013244 4.560836 1.439902 -0.761450
26 4386413.8492575213 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 571597.9566337351 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 627842.1481110388 0.908728 0.743252 1.532008 1.521033 -0.685816
29 10621564.2245589420 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 25962990.6882558987 2.038886 -3.997731 4.194826 2.142413 4.988470
31 13520239.1357895359 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 17633656.4026960842 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 24274785.5129289366 1.974288 -0.464573 2.220556 3.663823 4.755215
34 10207121.2003483586 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 9242317.6748489775 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 21058882.8649467342 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 19922831.2406762689 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 3966081.2662727227 1.139660 0.356328 0.899100 2.301220 -1.880550
39 8317008.0504306033 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 475926.0242807472 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 21208380.3608299904 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 16870735.3592763282 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 21461423.5525401048 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 11395718.5691514295 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 9451751.4950119946 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 7947732.2854482252 4.527917 1.874883 -2.844923 4.473706 2.308558
47 7659460.3260508003 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 958289.2129972738 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 5984042.3607718339 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 115630.0566595688 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 17919721.3957115598 -1.443873 4.404319 2.653253 2.486636 4.037197
