evaluations raw_y x0 x1 x2 x3 x4
1 174.1506464240 0.488135 2.151894 1.027634 0.448832 -0.763452
2 260.4701913930 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 103.1272663935 2.917250 0.288949 0.680446 4.255966 -4.289639
4 2718.3430357599 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 132.2065041776 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 380.1097011817 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 190.6640317238 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 710.6189038830 1.176355 1.120957 1.169340 4.437481 1.818203
9 965.8899307575 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 221.3686295486 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 659.6500412809 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 197.7955832003 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 378.9196031249 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 156.9047933526 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 1302.3856243280 4.764595 -0.313488 4.767611 1.048455 2.392636
16 302.1231370343 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 315.5616440220 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 4066.0185709999 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 78.4088667121 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 179.6246535944 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 127.4017986113 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 4846.5095979429 0.761573 0.920419 0.722519 -2.769184 4.527490
23 1864.0133984197 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 798.4154692937 -1.034943 3.811032 0.812729 3.817354 1.925316
25 350.2947414313 2.252543 0.013244 4.560836 1.439902 -0.761450
26 101.5494355241 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 428.6601872179 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 135.4060799355 0.908728 0.743252 1.532008 1.521033 -0.685816
29 1560.9640389023 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 6135.7574864361 2.038886 -3.997731 4.194826 2.142413 4.988470
31 193.4964253743 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 205.4844833061 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 5367.0683829207 1.974288 -0.464573 2.220556 3.663823 4.755215
34 118.7881080347 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 1781.6929095713 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 334.4315783020 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 4346.7342093065 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 100.6698562277 1.139660 0.356328 0.899100 2.301220 -1.880550
39 1026.7685455569 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 433.6306684383 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 335.1668690091 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 3230.9060540278 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 313.4887268387 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 1885.2805114023 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 84.6421450580 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 940.9503060529 4.527917 1.874883 -2.844923 4.473706 2.308558
47 457.6080716621 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 490.6351044416 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 1119.1407173722 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 447.7916870434 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 3446.5695352610 -1.443873 4.404319 2.653253 2.486636 4.037197
52 164.6927711717 -0.186120 0.812088 -5.000000 1.282908 -0.724639
53 179.0439029491 -0.044538 4.546650 -5.000000 2.859577 -2.073354
54 218.4706297942 5.000000 0.333081 -5.000000 -0.657756 -2.230022
55 171.3110607531 4.238272 -5.000000 0.772718 3.101669 -5.000000
56 187.2866034047 5.000000 0.023343 -1.355930 -0.278227 -5.000000
57 109.6052089562 5.000000 -5.000000 -0.454498 1.841844 -2.518209
58 407.2849935817 5.000000 -2.870919 5.000000 2.360601 -2.020632
59 227.6523499299 5.000000 2.348361 -5.000000 0.673892 -5.000000
60 148.3778860329 5.000000 1.195897 -2.802589 -0.352023 -3.684114
61 934.9678254019 0.351019 -0.378305 -1.229076 5.000000 2.335844
62 1607.4109567874 -1.400699 1.876193 3.744999 0.391870 2.916200
63 208.5307324386 -2.539732 3.880949 -0.392632 3.496926 -5.000000
64 212.3378845332 -1.488292 1.973951 -4.960509 0.640116 -5.000000
65 110.7231253027 1.476639 1.452980 1.607172 5.000000 -3.258133
66 119.7837894641 5.000000 2.915985 -2.906056 4.046911 -3.613902
67 234.4450674089 5.000000 -5.000000 -0.391372 4.132711 -0.086510
68 447.4289843259 0.757756 -4.224173 5.000000 5.000000 -1.183206
69 524.0828353266 -1.394789 2.483998 -5.000000 -5.000000 -3.964989
70 494.5813870498 5.000000 -5.000000 5.000000 3.680306 -5.000000
71 5241.1923431529 1.696867 -5.000000 -5.000000 1.447917 4.697983
72 226.9175313330 -1.893817 -0.991247 -5.000000 -0.424950 -0.793622
73 477.9186871141 -2.648260 4.742675 5.000000 3.385045 -2.978087
74 541.3773232852 2.413911 1.488066 5.000000 2.075284 0.109946
75 224.5529868269 -0.425253 4.656417 -1.249565 0.902327 -4.886698
76 165.3197472219 -1.563987 -5.000000 -5.000000 4.187996 -0.882941
77 393.3836371366 5.000000 -0.599908 -5.000000 -3.275834 -5.000000
78 4148.2396445880 2.644545 -5.000000 -3.585544 -5.000000 4.199859
79 97.7272247524 -0.659984 -1.837800 -2.236328 5.000000 -4.352680
80 206.1214053253 -3.589172 -4.034308 -0.601470 5.000000 -0.157777
81 129.4566655696 -1.600309 -0.566650 -0.461485 2.830809 -0.469361
82 598.4888039941 2.218769 4.339155 5.000000 0.790891 -0.106109
83 6152.2001448111 1.232371 0.068431 4.222917 3.032902 5.000000
84 6004.5528897949 -2.608277 3.619317 -0.849719 5.000000 5.000000
85 619.1080901442 -0.274864 1.489554 -5.000000 3.588719 1.521168
86 5086.2858791582 -2.113767 -0.777331 5.000000 5.000000 4.556797
87 6028.4441268087 -0.439707 0.573612 -0.292347 -0.299551 5.000000
88 743.9848963284 5.000000 -5.000000 5.000000 -3.705899 -5.000000
89 6429.8788052236 5.000000 -1.595644 5.000000 -2.039902 5.000000
90 6025.6738317725 -1.114138 -0.586050 -5.000000 1.724083 5.000000
91 220.2687025485 -5.000000 1.976562 -2.978569 0.465565 -5.000000
92 6108.3630303085 -1.940993 4.132332 2.837744 2.418891 5.000000
93 273.0090939080 5.000000 4.173094 -4.035831 -1.952663 -1.880017
94 169.5642792968 0.059830 -3.117196 2.152956 3.285872 -5.000000
95 6068.3156834245 -3.585684 4.064025 0.496199 0.652248 5.000000
96 6315.2603663970 -3.164292 0.797470 5.000000 2.617270 5.000000
97 5987.1648361815 -3.065692 0.640584 1.051726 1.843868 5.000000
98 6182.4503441150 1.402925 -2.797102 -1.251763 -3.701096 5.000000
99 741.0940048361 1.474863 -0.049791 5.000000 -5.000000 -2.698127
100 175.9893238002 5.000000 -5.000000 -1.557919 5.000000 -5.000000
101 616.8702402647 5.000000 5.000000 5.000000 -0.161540 -5.000000
102 703.1219225147 -2.224494 1.343394 -3.083052 2.223231 1.758955
103 84.5862780847 5.000000 0.863700 -3.414573 5.000000 -2.225243
104 141.0009382511 -0.424789 -1.997358 -2.692986 5.000000 -5.000000
105 121.2297355778 0.750559 0.472231 2.269618 3.885491 -1.460740
106 88.5887348341 2.129570 0.213288 -1.856638 2.610429 -1.160132
107 463.9172816159 5.000000 0.001862 5.000000 4.852266 -5.000000
108 251.5804513969 5.000000 5.000000 -1.072446 -0.461558 -3.573402
109 78.9549594027 2.896889 0.929801 -0.730598 5.000000 -3.594466
110 277.3583879168 4.873799 5.000000 -5.000000 5.000000 -5.000000
111 546.6594523496 5.000000 -5.000000 5.000000 -1.061873 -1.772166
112 181.8066086974 -2.220141 -1.450805 -5.000000 4.468600 -0.513449
113 129.3305047325 0.339279 0.413632 -3.487388 1.457282 -4.474674
114 145.3497749464 -4.298768 -0.492356 -4.226017 1.453074 -2.042892
115 347.2374363329 -1.194350 5.000000 -1.014660 -1.162639 -4.800184
116 426.6863439826 -1.625716 5.000000 -2.247004 -3.081806 -5.000000
117 4867.4361768461 3.005232 3.414647 5.000000 5.000000 4.465980
118 208.7227503636 -3.093530 -5.000000 -4.260660 5.000000 -5.000000
119 190.3145349993 -2.398833 -3.168024 -5.000000 2.302881 -0.606677
120 202.9461998707 -2.370265 1.814656 0.095575 0.225519 -5.000000
121 1637.3701023686 -3.924531 2.717268 -5.000000 -3.516031 2.835415
122 407.6637766148 -1.728823 -5.000000 3.182785 5.000000 0.635465
123 266.1003551328 -5.000000 4.389750 1.998435 0.922112 -3.972760
124 126.5650594556 -2.585971 -5.000000 -4.219174 5.000000 -1.779376
125 149.0830495426 -0.511741 1.768790 1.085905 2.688061 -5.000000
126 285.1518989664 -1.921365 -2.910546 -5.000000 -1.549217 -1.085313
127 455.2846428568 -5.000000 4.845919 -5.000000 -3.254296 -1.516252
128 134.2291319818 -3.940238 0.204275 -4.504289 4.213912 -1.446838
129 184.6449814419 3.743947 -5.000000 -5.000000 1.950843 -1.965222
130 962.2721394249 4.499941 -5.000000 5.000000 -5.000000 0.305795
131 6164.0496017827 -4.699203 4.879605 -5.000000 1.508083 5.000000
132 187.3657784564 -4.513255 1.612009 -2.240433 5.000000 -5.000000
133 409.3721153094 3.062448 -2.659839 5.000000 4.076745 -3.136921
134 104.1770799089 2.157840 -1.701632 -5.000000 5.000000 -3.635700
135 1542.0224623476 1.430449 -5.000000 0.695100 -5.000000 2.639753
136 6329.8401596455 -5.000000 1.647959 5.000000 5.000000 5.000000
137 266.3509981047 5.000000 5.000000 -5.000000 3.079003 -4.581375
138 3115.1872899095 -1.854136 -1.327272 -5.000000 1.502775 3.915738
139 230.6187176584 -1.882796 0.450834 2.674192 3.912677 -0.300714
140 545.2917602898 5.000000 -0.336406 -5.000000 -5.000000 -4.856133
141 1227.3019565198 4.064755 -5.000000 5.000000 1.318706 2.129710
142 508.6515933651 -0.120531 1.144446 5.000000 0.379253 -5.000000
143 558.7240600038 2.015403 -5.000000 1.413713 -5.000000 -5.000000
144 153.8810782255 -1.688879 -5.000000 -2.313385 2.128982 -5.000000
145 551.0662183551 5.000000 5.000000 5.000000 0.251070 -3.329840
146 6042.0730490156 -5.000000 -5.000000 -3.336256 5.000000 5.000000
147 6352.8279140658 -1.184316 -1.524444 5.000000 0.160324 5.000000
148 1229.6655873327 -5.000000 2.789637 -5.000000 0.580280 2.544915
149 6137.4516048255 -1.829163 0.092710 3.080509 -0.147728 5.000000
150 5983.8073254574 1.327259 1.877592 -3.142389 1.369272 5.000000
151 483.5435340059 -4.041440 -0.259940 0.898948 -5.000000 -2.603721
152 194.1944098465 -2.445395 3.610809 1.076169 2.541987 -5.000000
153 428.8393989729 -2.173300 -0.085306 -3.932262 -4.339298 -3.561639
154 60.2054081082 3.347787 -0.968527 -2.271657 5.000000 -1.566084
155 2949.0079997630 -4.206343 -0.581716 1.372391 2.667278 3.858201
156 199.4050189686 -4.257908 -5.000000 -0.011513 3.009729 -4.519694
157 490.6556336089 -0.639827 -2.935042 5.000000 -0.189007 -0.661635
158 129.5163986215 -3.617401 0.382362 -3.605553 5.000000 -4.180726
159 187.1982353403 5.000000 3.923396 -4.669002 5.000000 -0.829366
160 118.3317359693 2.703040 -1.641248 -0.068068 0.099225 -2.071332
161 410.0384896036 5.000000 2.116801 2.878652 -3.555824 -2.724069
162 310.5734406749 -5.000000 5.000000 -5.000000 0.121632 -2.313639
163 408.8343265254 4.469583 -4.690509 5.000000 5.000000 -3.058704
164 212.2839006113 -4.253867 0.929961 -2.267012 -0.635414 -0.928758
165 307.5440697241 -4.090004 -1.951529 -5.000000 1.312880 0.212948
166 471.1821535783 -4.838060 0.283882 -3.338657 5.000000 1.237235
167 478.5195272098 -0.630273 0.557197 5.000000 0.940126 -5.000000
168 270.4003406901 -5.000000 1.705901 2.316801 0.167827 -5.000000
169 254.5052706645 -1.064652 5.000000 2.151143 2.273301 -2.646113
170 273.5282102529 -2.208875 3.191167 3.403429 5.000000 -2.999933
171 179.7682348949 -4.546999 0.658653 -5.000000 2.492367 -0.807648
172 199.9413045269 0.061208 5.000000 -5.000000 2.510709 -2.811965
173 125.8066939459 5.000000 -5.000000 -3.615390 5.000000 -1.950866
174 177.2509503699 -5.000000 1.047476 -0.451359 1.726700 -5.000000
175 150.3214438582 5.000000 1.645436 -5.000000 1.861646 -1.040479
176 120.0890273634 -5.000000 1.096001 -0.506016 5.000000 -2.913941
177 139.2986116672 0.750295 2.892117 -2.483437 0.611253 -3.397599
178 393.0146635798 -3.943448 2.974122 -2.937166 -3.185133 -5.000000
179 159.7317207864 -2.624990 -5.000000 -2.707531 5.000000 -4.761743
180 105.9750447538 -5.000000 1.345837 -0.615716 2.061444 -3.191562
181 219.2613443736 -1.925569 -5.000000 -5.000000 0.637448 -1.162324
182 175.0600427634 -1.427340 0.362726 -5.000000 2.732583 -5.000000
183 365.5899035945 -1.742313 -0.060591 4.957186 5.000000 -2.426829
184 272.9641887002 5.000000 5.000000 -5.000000 5.000000 -5.000000
185 396.5069171996 5.000000 -3.021763 -5.000000 5.000000 1.030065
186 326.3197484057 -1.641082 2.222920 -5.000000 1.439090 0.363382
187 6150.3959820194 -5.000000 -3.579702 -5.000000 -0.969558 5.000000
188 194.3410357388 4.627208 -5.000000 1.952421 1.017047 -0.904463
189 370.8030203056 -5.000000 -4.834913 -5.000000 5.000000 0.525398
190 547.6971440674 -3.137101 0.981370 4.850399 -0.230694 -5.000000
191 654.8313980053 5.000000 1.063188 -5.000000 -5.000000 0.250750
192 310.7662067268 -0.449847 5.000000 2.788011 1.115610 -0.729438
193 835.1290432837 5.000000 4.659092 5.000000 -5.000000 -1.707552
194 203.8137801041 5.000000 5.000000 -1.840720 0.710354 -4.003011
195 146.0734530017 4.590574 2.863482 -2.865583 1.336565 -0.691349
196 557.3640486140 5.000000 5.000000 5.000000 5.000000 -5.000000
197 6045.7797884774 -5.000000 3.576082 -1.367423 0.628601 5.000000
198 6040.9663695148 -5.000000 -2.328762 -4.842864 1.318907 5.000000
199 439.3403584623 1.276439 -0.153371 5.000000 5.000000 -5.000000
200 541.9356930068 -3.460900 3.731314 5.000000 3.572815 -5.000000
201 127.1649513248 -2.778830 1.370266 -3.262259 0.659896 -2.509874
202 128.5453181727 3.147034 -0.596712 -3.251827 5.000000 -4.422424
203 195.9542202597 5.000000 4.210189 0.676795 5.000000 -5.000000
204 429.6107875144 5.000000 1.266103 -0.883602 -3.170254 0.090632
205 253.4002451020 -1.420350 4.435304 -2.569335 -0.726862 -2.539198
206 109.8945641571 2.578794 -1.747710 -0.283485 5.000000 -5.000000
