evaluations raw_y x0 x1 x2 x3 x4
1 316.4053547653 0.488135 2.151894 1.027634 0.448832 -0.763452
2 1783.7867801600 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 564.0966158631 2.917250 0.288949 0.680446 4.255966 -4.289639
4 1113.6480515707 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 777.9675204924 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 2668.2408859726 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 792.7990944443 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 97.8412855757 1.176355 1.120957 1.169340 4.437481 1.818203
9 481.9180691337 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 518.5621522982 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 3587.9385431491 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 553.7379007708 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 728.4600241049 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 695.6662182879 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 3084.1662755022 4.764595 -0.313488 4.767611 1.048455 2.392636
16 825.4092543216 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 261.5158941466 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 1813.7923116515 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 470.7863753155 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 816.9487930586 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 457.3649140946 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 2278.7006178796 0.761573 0.920419 0.722519 -2.769184 4.527490
23 321.1258303259 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 147.4594706045 -1.034943 3.811032 0.812729 3.817354 1.925316
25 2751.3176795221 2.252543 0.013244 4.560836 1.439902 -0.761450
26 389.7314740964 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 379.1618965338 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 249.0255811372 0.908728 0.743252 1.532008 1.521033 -0.685816
29 120.4789334904 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 5161.3858347979 2.038886 -3.997731 4.194826 2.142413 4.988470
31 690.7131905726 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 749.2292434090 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 2321.7857511578 1.974288 -0.464573 2.220556 3.663823 4.755215
34 489.5510054811 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 568.3695382763 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 2862.9984062113 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 2053.8151353903 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 335.8240836145 1.139660 0.356328 0.899100 2.301220 -1.880550
39 151.3997864376 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 639.5172583469 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 939.7771482046 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 774.7721315589 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 1109.2587603460 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 140.7139874135 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 502.9459763032 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 376.3508388576 4.527917 1.874883 -2.844923 4.473706 2.308558
47 827.7369182248 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 310.5754018306 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 376.6641363195 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 531.5626089160 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 1041.8764859428 -1.443873 4.404319 2.653253 2.486636 4.037197
52 107.7809764965 2.232034 0.543763 -0.781099 2.631605 3.010775
53 227.4003026103 3.477330 3.578492 -3.282181 3.117791 3.295020
54 634.0974724545 5.000000 -2.279788 -5.000000 -0.719897 1.453310
55 249.8691878193 1.597805 -3.136215 2.004691 5.000000 -1.219924
56 362.4615305788 2.288064 -5.000000 -5.000000 1.728746 -0.458932
57 620.8190951451 2.579585 0.429421 1.991934 -5.000000 -0.084100
58 3359.7224501677 4.091679 -1.078526 5.000000 -0.511063 3.150304
59 759.3960332793 0.656795 -4.527988 -2.861201 -5.000000 -1.348244
60 578.9885837320 2.185608 4.865785 1.877397 -5.000000 2.972074
61 46.7939261385 1.996903 -0.425908 1.028647 4.814730 3.115774
62 4131.2228929654 5.000000 3.493738 3.127453 1.525621 5.000000
63 220.3853661515 2.838222 5.000000 0.196575 5.000000 0.727703
64 541.7915021647 1.484859 -5.000000 -5.000000 -3.324270 0.447995
