evaluations raw_y x0 x1 x2 x3 x4
1 98.7265046336 0.488135 2.151894 1.027634 0.448832 -0.763452
2 58.0504476520 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 42.2697245078 2.917250 0.288949 0.680446 4.255966 -4.289639
4 106.0002353178 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 65.1961674179 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 79.0527935201 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 59.7593535087 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 100.5200457358 1.176355 1.120957 1.169340 4.437481 1.818203
9 140.4525463089 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 112.8607074821 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 85.2525863500 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 91.2942888187 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 82.5420571516 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 65.5618382568 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 114.9809287385 4.764595 -0.313488 4.767611 1.048455 2.392636
16 84.6965208091 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 114.0945489972 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 157.3867248454 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 87.4017760245 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 53.3376292226 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 46.9551705585 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 168.7805471100 0.761573 0.920419 0.722519 -2.769184 4.527490
23 149.9138702532 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 108.7785168911 -1.034943 3.811032 0.812729 3.817354 1.925316
25 79.9616556382 2.252543 0.013244 4.560836 1.439902 -0.761450
26 76.6089914274 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 137.6005460923 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 89.7941026198 0.908728 0.743252 1.532008 1.521033 -0.685816
29 120.0382557351 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 127.3214765403 2.038886 -3.997731 4.194826 2.142413 4.988470
31 77.4171614997 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 76.7159327590 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 128.8949420498 1.974288 -0.464573 2.220556 3.663823 4.755215
34 61.3523274784 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 166.0373243049 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 30.4607265470 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 162.3456057819 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 75.0037457177 1.139660 0.356328 0.899100 2.301220 -1.880550
39 110.5319054737 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 128.9405495755 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 83.7802546349 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 145.7568161191 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 67.9063536411 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 139.0266446974 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 74.7008588418 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 122.6063543734 4.527917 1.874883 -2.844923 4.473706 2.308558
47 97.1065499641 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 127.1642346293 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 146.4837787764 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 136.7366995722 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 132.2063593821 -1.443873 4.404319 2.653253 2.486636 4.037197
52 89.4869457414 -0.283211 -2.342786 -2.859510 1.212260 -1.610909
53 147.9791337192 0.617783 4.857428 -5.000000 3.453307 3.451162
54 91.0324998107 5.000000 -2.727423 -5.000000 -3.067777 -5.000000
55 20.9469449314 -0.028406 -1.655387 4.310635 3.604454 -5.000000
56 85.1942718506 5.000000 -1.005914 -2.526287 -0.592837 -3.715938
57 69.3480433466 1.164187 -4.139517 2.105891 -2.562434 -4.002499
58 77.0850434370 5.000000 -5.000000 5.000000 2.098791 0.077035
59 67.2725216728 5.000000 -2.943924 -5.000000 1.088947 -5.000000
60 76.9914224023 2.335751 5.000000 -5.000000 1.398966 -5.000000
61 99.0490510952 5.000000 -5.000000 4.472680 0.469884 1.190680
62 95.2895168394 2.071414 5.000000 3.396224 0.410855 -1.044293
63 65.0430450370 -0.099287 5.000000 1.266820 3.238141 -2.935348
64 91.5350892987 3.868362 -5.000000 -5.000000 0.839924 -2.234987
65 35.8433332421 5.000000 2.550770 1.073731 5.000000 -5.000000
66 141.1392331888 -2.815689 -5.000000 -5.000000 3.696140 5.000000
67 115.7324965113 5.000000 -4.832161 5.000000 3.922857 4.937681
68 54.5990916032 1.176756 -2.229720 4.637535 4.696908 -0.935462
69 89.5150342901 -2.598404 1.418419 -1.155552 -5.000000 -5.000000
70 12.2511413480 0.625246 -3.971256 5.000000 4.147048 -5.000000
71 127.4678840026 4.419603 -2.200250 -5.000000 -5.000000 -2.478737
72 141.3910135198 5.000000 -0.557943 -1.052709 -5.000000 -0.188268
73 134.3274623677 -1.966616 5.000000 5.000000 2.597316 5.000000
74 116.7287858772 1.071949 2.477836 4.640622 2.001306 2.935981
75 85.0951994106 -2.052747 5.000000 -5.000000 1.550726 -3.665432
76 55.8730264114 -3.033718 -3.935655 -5.000000 4.962991 -2.981685
77 41.0284003279 5.000000 1.271880 0.708119 3.879128 -5.000000
78 145.3980608155 -1.918222 -5.000000 1.229816 -0.404887 5.000000
79 8.2742791703 0.046618 -5.000000 3.979324 5.000000 -5.000000
80 136.9395596213 -2.409637 -3.466822 -5.000000 5.000000 5.000000
81 67.9246069753 -3.809764 -2.054841 -5.000000 2.641214 -3.339015
82 114.4461552808 -0.732718 0.882077 5.000000 1.971821 3.269019
83 151.6699852081 4.888017 -1.923347 5.000000 -1.457078 5.000000
84 128.8541866443 -3.716443 -1.898020 -1.974227 5.000000 5.000000
85 113.9434090096 -1.309210 0.023448 -5.000000 3.573368 1.167421
86 124.6663842102 -2.769305 -1.309316 2.736926 3.450024 5.000000
87 136.8283686570 5.000000 -1.287813 5.000000 1.403063 5.000000
88 22.1867368769 5.000000 -2.819115 4.767584 3.653211 -5.000000
89 161.7905865326 1.586956 -5.000000 5.000000 -5.000000 4.896950
90 160.1848575166 -3.010248 5.000000 -2.908342 2.260749 5.000000
91 39.5305461760 -5.000000 3.374099 5.000000 0.618487 -5.000000
92 155.9935258624 -1.944846 3.131163 -2.391090 2.313693 5.000000
93 87.3784361750 5.000000 -0.953780 -5.000000 -1.751653 -4.940699
94 24.0878887467 0.305149 -0.400913 1.646633 5.000000 -5.000000
95 155.8612224502 -3.772316 5.000000 1.132453 0.621789 5.000000
96 144.9772124797 -5.000000 -5.000000 5.000000 -2.998205 5.000000
97 132.1920380744 -5.000000 5.000000 3.212666 3.442726 5.000000
98 160.9186356251 -0.222947 -5.000000 -5.000000 0.639871 5.000000
99 62.8148658859 -2.753496 -2.562684 5.000000 -5.000000 -5.000000
