evaluations raw_y x0 x1 x2 x3 x4
1 140.3263064712 0.488135 2.151894 1.027634 0.448832 -0.763452
2 54.7210717609 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 113.3356189935 2.917250 0.288949 0.680446 4.255966 -4.289639
4 2570.7683200538 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 124.8963726960 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 152.3744513473 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 432.8766905869 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 387.6382508838 1.176355 1.120957 1.169340 4.437481 1.818203
9 760.4195164608 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 2010.0991996885 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 224.6099545156 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 1651.6552556613 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 1619.1785970351 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 1073.5409576723 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 56.8370612954 4.764595 -0.313488 4.767611 1.048455 2.392636
16 3588.7353015423 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 3395.5717060404 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 4040.5459104642 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 1548.7188706527 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 2308.1456057796 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 224.6448829379 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 718.2737001056 0.761573 0.920419 0.722519 -2.769184 4.527490
23 396.9852860477 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 518.3194388603 -1.034943 3.811032 0.812729 3.817354 1.925316
25 62.1923697944 2.252543 0.013244 4.560836 1.439902 -0.761450
26 2040.3129599312 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 1788.0893311976 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 178.4078128009 0.908728 0.743252 1.532008 1.521033 -0.685816
29 921.8922736443 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 640.9576508618 2.038886 -3.997731 4.194826 2.142413 4.988470
31 1306.3307179780 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 182.6329149053 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 583.5625335085 1.974288 -0.464573 2.220556 3.663823 4.755215
34 1321.7195920523 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 3419.4053025442 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 399.8412138070 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 1826.8336316380 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 223.0547681162 1.139660 0.356328 0.899100 2.301220 -1.880550
39 3763.3512114101 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 1999.3023815214 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 623.8388499313 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 2388.0721204446 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 383.1138326980 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 1262.8926211035 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 229.5894362844 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 731.5795685713 4.527917 1.874883 -2.844923 4.473706 2.308558
47 1460.5494314881 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 1347.4740083179 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 994.8435144439 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 1652.9232132874 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 639.9702017009 -1.443873 4.404319 2.653253 2.486636 4.037197
52 1081.3701209613 2.768217 -0.945499 -2.616977 2.749707 -0.401070
53 99.7647555180 4.202449 0.916334 3.195472 -1.245861 5.000000
54 60.6919943826 4.140578 -0.028705 0.834226 0.798840 -1.312440
55 252.8287393739 5.000000 -0.609264 1.134193 5.000000 -5.000000
56 754.3768414039 5.000000 -2.548874 -1.917955 2.792246 -5.000000
57 213.4809731199 2.977267 -5.000000 5.000000 -5.000000 -0.775424
58 133.4636516173 2.634952 0.557338 4.980440 -1.482888 0.405835
59 860.3757821362 5.000000 -1.439231 -3.996254 -5.000000 -5.000000
60 509.1020494950 2.592457 0.889104 -2.429509 -3.564976 -1.916036
61 34.2125021355 2.311374 -0.916652 5.000000 0.835737 1.938955
62 75.7112451175 2.762342 0.827135 5.000000 1.610784 1.395021
63 165.2729189304 1.244460 5.000000 0.738128 5.000000 -5.000000
64 999.4355716521 5.000000 -5.000000 -0.960581 -3.872143 -5.000000
65 42.5952132075 2.124707 0.922092 2.593370 5.000000 -0.531461
66 2789.0665754244 1.352102 -5.000000 -0.000359 5.000000 5.000000
67 67.6759304760 1.135559 -2.114205 5.000000 5.000000 -0.058329
68 558.9769159290 -3.238684 -3.423223 4.832429 5.000000 -5.000000
69 59.6398311536 3.885349 5.000000 -2.908949 1.742528 -3.602437
70 428.8420628925 4.704716 -0.537025 5.000000 5.000000 -3.953382
71 3338.5972812541 1.979557 -2.560351 -5.000000 -5.000000 2.978881
72 915.6000890070 4.023461 5.000000 -5.000000 -5.000000 5.000000
73 403.9455434538 0.915237 3.402555 5.000000 4.704872 5.000000
74 362.5898638311 0.807243 1.926129 4.067298 2.976925 5.000000
75 343.5314078032 5.000000 5.000000 -5.000000 4.703823 -1.642621
76 3144.0842834558 -4.097506 -1.085074 -1.285497 5.000000 1.631892
77 782.9202361768 5.000000 -1.204571 -3.336754 3.492431 -5.000000
78 2447.2409127736 5.000000 -5.000000 -2.690510 -5.000000 5.000000
79 218.1346702337 0.974066 -3.119697 5.000000 5.000000 -5.000000
80 3950.9774722197 0.986129 -2.214190 -3.890146 5.000000 5.000000
81 1924.4970133702 -5.000000 5.000000 -4.909192 5.000000 -4.305805
82 687.4585709628 5.000000 3.447436 5.000000 3.848194 0.339844
83 756.2793406723 -0.710576 -1.608006 2.566453 -5.000000 3.014377
84 3048.6977269887 -5.000000 -3.432691 -0.117928 4.728532 -1.319164
85 3576.8613542683 -4.538697 0.365429 -5.000000 2.128525 -2.400291
86 2365.0859016795 -5.000000 -4.261965 1.748944 5.000000 -2.574828
87 86.2227103538 1.546538 3.225018 0.901305 -5.000000 1.131723
88 272.0946294724 1.068094 -1.605021 5.000000 -3.586804 -3.634522
89 94.4282431230 2.054942 -1.382015 5.000000 -5.000000 3.202279
90 4970.8456020294 -5.000000 1.801069 -5.000000 -5.000000 5.000000
91 828.7994025788 -4.743205 -1.040711 4.613056 2.053356 -1.732623
92 982.8698266707 1.200818 0.230431 -2.485490 4.506474 -1.306659
93 865.9975018312 1.450375 3.035129 -5.000000 -4.744930 -2.418655
94 749.5305302828 4.216549 1.250160 -5.000000 5.000000 -5.000000
95 531.0004547038 0.899989 4.964613 1.015965 1.284635 5.000000
96 2801.1210430200 -5.000000 -5.000000 4.118529 3.297258 5.000000
97 987.4963701742 -5.000000 -0.598863 5.000000 3.767987 1.449167
98 5462.2318016816 0.998468 -5.000000 -5.000000 -5.000000 5.000000
99 701.7195200997 -2.542371 -4.361814 5.000000 -5.000000 -5.000000
100 2491.4972355575 5.000000 -5.000000 -5.000000 5.000000 -5.000000
101 944.1054460366 2.900217 1.802696 5.000000 -1.959399 -5.000000
102 201.6105455810 1.788813 -1.097731 5.000000 0.858900 5.000000
103 203.7475086162 5.000000 -1.579103 1.647616 5.000000 -0.166375
104 104.9632831694 2.758580 -0.626521 3.466722 5.000000 -3.651458
105 43.7510056591 4.041310 -0.270093 5.000000 1.341955 2.596838
106 778.7774498968 5.000000 5.000000 5.000000 3.553637 3.653339
107 748.4795082136 5.000000 -0.127414 5.000000 2.223396 -5.000000
108 101.7869293763 1.161795 -1.298019 4.037948 0.216670 -2.567638
109 674.5616775007 3.666703 -2.337259 -0.823339 1.775272 -1.908284
110 758.5643204862 1.507802 5.000000 -5.000000 2.998186 -1.196692
111 124.8563783311 2.330915 -2.745987 5.000000 -5.000000 3.942639
112 1304.2401216622 2.611670 -0.177858 -5.000000 5.000000 -5.000000
113 1826.9736779000 3.836452 -2.670278 -5.000000 1.515442 -4.696738
114 244.9963948961 1.103868 -0.635360 1.401507 -3.319441 -1.178509
115 555.9633896186 1.758121 1.218940 5.000000 0.135944 -5.000000
116 1418.1898540578 1.142768 5.000000 5.000000 -4.499205 -5.000000
117 730.4855122189 5.000000 5.000000 5.000000 0.742900 4.788821
118 966.9311059888 -1.773814 -4.891982 2.919100 5.000000 -5.000000
119 3132.8897133698 5.000000 -3.509541 -4.313408 0.838375 5.000000
120 456.5768671671 1.040273 -2.312148 5.000000 -5.000000 -5.000000
121 1629.8451546045 4.009497 0.926015 -5.000000 0.202585 2.370110
122 190.3809668203 5.000000 -1.005145 4.238953 5.000000 5.000000
123 42.4516994172 3.715922 -0.750257 3.581677 1.719938 2.630181
124 3808.0168925409 -3.325080 -5.000000 0.249707 5.000000 3.018847
125 120.3260025472 0.592686 1.072439 5.000000 5.000000 0.884862
126 508.8049600674 4.441470 -1.009966 3.446545 -4.512445 -5.000000
127 1808.8126508590 -5.000000 5.000000 -5.000000 -0.284068 -5.000000
128 1868.1261615750 0.099372 -2.618251 0.833127 1.999018 5.000000
129 3994.8362846010 2.226846 -2.202016 -5.000000 1.690754 5.000000
130 1201.3605112026 -1.652342 -4.793590 5.000000 -1.405487 5.000000
131 1444.6090845310 -4.017798 5.000000 1.664859 2.254775 5.000000
132 1168.7097685604 -5.000000 -5.000000 4.805072 5.000000 -5.000000
133 451.2196964275 4.629232 -2.178726 -0.501410 5.000000 -5.000000
134 2084.9272142491 -1.807379 -1.766015 0.619745 4.231338 4.283505
135 132.9266583971 1.540494 -2.053428 5.000000 -5.000000 2.779325
136 1357.0694487967 1.587913 -1.999822 1.072988 5.000000 5.000000
137 405.6419373592 5.000000 -0.419487 -1.663725 2.694274 -1.399304
138 4198.9912531516 0.095161 -4.360422 -5.000000 -5.000000 0.970550
139 482.0175819744 1.214805 0.352759 5.000000 -2.424088 -5.000000
140 894.4697914945 5.000000 0.053538 -5.000000 0.533744 -5.000000
141 1299.9116482203 -5.000000 -1.015526 5.000000 5.000000 2.881954
142 154.1901095816 3.937897 -5.000000 4.709627 -5.000000 1.959495
143 995.5379567879 5.000000 -1.815194 -1.804775 0.113322 2.727649
144 742.2238057406 -5.000000 -2.050980 5.000000 0.783211 -5.000000
145 582.0475691696 -1.644690 -1.050333 1.620002 -5.000000 -5.000000
