evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 340388.7297228507 0.488135 2.151894 1.027634 0.448832 -0.763452 1.458941 -0.624128 3.917730 4.636628 -1.165585
2 624684.8095391071 2.917250 0.288949 0.680446 4.255966 -4.289639 -4.128707 -4.797816 3.326198 2.781568 3.700121
3 573478.8522251373 4.786183 2.991586 -0.385206 2.805292 -3.817256 1.399210 -3.566467 4.446689 0.218483 -0.853381
4 252206.4045507262 -2.354444 2.742337 -0.438497 0.684339 -4.812102 1.176355 1.120957 1.169340 4.437481 1.818203
5 36612.7720049223 -1.404921 -0.629680 1.976312 -4.397745 1.667667 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
6 315204.4529716138 0.701968 -0.613985 4.883738 -3.979552 -2.911232 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
7 232824.0683850383 -3.410304 -3.896249 1.563296 -3.618170 -3.034176 -1.312748 3.209932 -4.028987 3.379449 -4.039016
8 442509.3218855720 4.764595 -0.313488 4.767611 1.048455 2.392636 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
9 84205.5989291200 -1.820168 -0.857370 -4.358525 1.924721 0.666015 -2.346105 0.232481 -4.060595 0.759465 4.292962
10 236852.8058811617 -1.814310 1.674104 -3.682021 2.163272 -2.105939 -3.168086 0.865129 -4.798925 3.289400 -4.953045
11 480904.7141924236 1.778165 -2.299920 2.351940 4.621885 -2.512469 0.761573 0.920419 0.722519 -2.769184 4.527490
12 317461.4776382339 -0.528746 3.464087 1.994793 -2.025630 3.137978 -1.034943 3.811032 0.812729 3.817354 1.925316
13 247842.5728441186 2.252543 0.013244 4.560836 1.439902 -0.761450 1.063932 -4.808068 -1.984252 1.601735 -2.099224
14 37905.0256974974 1.180154 -0.712313 -3.645259 -2.017177 0.699649 0.908728 0.743252 1.532008 1.521033 -0.685816
15 524947.6329408825 3.965466 -1.324381 -0.641351 3.919234 3.061940 2.038886 -3.997731 4.194826 2.142413 4.988470
16 250879.5075838057 -3.505517 3.681261 -3.375071 1.155596 -3.761800 3.480082 3.073190 0.691007 -0.928167 -4.308330
17 313578.8705560562 1.974288 -0.464573 2.220556 3.663823 4.755215 3.558033 -4.882859 -1.400219 2.299906 -3.283703
18 273061.7894505155 0.210366 -4.456620 -3.000035 -4.814782 2.936977 -2.760753 -1.546483 4.280813 2.044144 -4.681611
19 96192.8106463010 -3.353058 1.214784 0.772286 -2.621072 4.342140 1.139660 0.356328 0.899100 2.301220 -1.880550
20 343515.7166008103 -1.017789 -2.901563 -3.138070 4.443724 2.395508 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
21 150054.2041524079 -1.882041 1.963435 -1.222482 -3.203963 -4.753213 -4.327504 1.793928 -0.463032 0.365792 3.966713
22 213435.0285786630 4.903389 -2.831030 1.630782 -2.366776 -4.793490 2.583787 -1.799828 -1.165361 0.883171 3.310485
23 450587.9343990725 1.289818 3.726507 -2.264580 2.980468 -3.143641 4.527917 1.874883 -2.844923 4.473706 2.308558
24 18802.3570072450 -2.460584 -2.866880 0.182007 -4.743373 -2.925299 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
25 94214.9175599518 3.638556 -3.824681 0.173791 -3.679319 2.168597 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
26 507113.6707062836 -1.443873 4.404319 2.653253 2.486636 4.037197 -4.165776 0.521925 0.844761 4.619364 -2.078525
27 345266.4248413904 -2.591712 -3.997061 -4.835704 4.295293 1.699165 2.851529 -2.182699 0.864102 -4.360447 -0.143724
28 894737.5939529329 4.774951 3.765052 -1.618410 4.615702 -2.682984 4.493188 4.413777 2.992026 1.304479 3.742880
29 361574.8557988327 -2.069797 3.489436 1.178767 -4.867631 -1.527665 -3.518591 4.818294 -0.216297 -0.026086 1.394725
30 342229.2573383542 -1.314154 -3.630997 3.221177 -3.101521 0.113190 -2.756830 -4.021555 3.621915 4.729195 4.608347
31 153905.5820286262 4.065555 2.740473 -1.668548 -4.188986 -0.927588 -2.677659 -3.675124 -4.465728 2.255944 -4.885725
32 113053.6138044168 2.705807 -3.530534 -4.204779 -4.103970 1.720478 -2.546328 -0.794605 0.573688 3.605512 2.270443
33 79415.4213357064 -2.296721 -3.685172 -4.446257 -1.984014 -2.378819 -0.438594 1.832813 1.956254 -2.164812 -1.200730
34 132566.9757181170 -3.188490 2.885455 -4.431519 1.969972 2.786954 2.774076 -2.405774 -1.261869 0.875996 -2.271781
35 79391.6527495728 -1.291472 -3.029457 -0.401441 -4.553877 2.997959 -4.230436 0.188351 -1.931899 0.775429 4.594333
36 32502.1347218916 1.455702 -4.646376 -0.695976 0.100169 0.361775 1.813925 -2.224039 -3.711394 -1.073243 4.564057
37 272852.1558354334 -3.128691 4.039840 0.438060 -0.430886 3.820414 -0.413960 2.241676 -1.009747 4.040444 1.900250
38 442824.7365255558 1.996221 -1.722796 2.567786 1.360611 -2.599797 -3.394612 2.963915 4.591666 -0.418612 0.909842
39 366433.9391573884 3.577226 -0.427765 4.518745 0.757512 3.207671 4.088437 3.155238 -3.405855 1.288984 -1.015657
40 318651.0369718250 -4.372870 -0.759677 -2.413159 3.490383 -4.666954 4.589827 -1.446312 -1.432931 -4.836715 -3.147677
41 516098.7520319596 -0.987405 4.292914 -4.003851 4.453015 3.694885 -0.458376 -1.732991 -2.672559 1.144647 -4.669254
42 42307.1161954343 -4.843939 -0.712043 -4.319259 -2.480590 -2.788391 -2.468088 -3.689448 -4.879638 -3.845157 1.184803
43 655140.6288612647 4.742562 4.903450 -0.909459 -3.370456 1.387618 -0.096947 4.894098 -4.346958 2.832344 -2.116015
44 102334.8552494045 -2.585814 1.625046 -2.539368 1.658591 0.173085 -0.759110 0.546878 -2.129485 2.065747 -0.851431
45 670349.2485167673 -1.394544 3.286569 4.249669 -4.539927 -2.673730 -1.514806 3.149665 4.854914 4.689717 4.049483
46 348055.3569555542 -2.034437 4.920112 -2.505800 -3.940938 4.509526 -2.665797 1.897683 -4.416436 2.307091 3.817202
47 233663.5986643650 -2.275631 -1.209431 -1.257038 2.487883 -2.621928 -3.281469 -0.507084 -1.955316 3.391891 -2.622582
48 797785.2768407324 0.023895 4.425836 1.339977 3.672894 4.402097 2.507649 1.995751 4.679656 4.944008 -0.481783
49 324179.6081947516 -4.291302 -2.072060 -3.476453 -0.825136 -3.687107 1.041178 -1.171919 3.953859 4.677947 0.468849
50 137260.3236598839 -2.251764 0.922304 3.967612 -0.932667 0.520783 -2.283472 -0.445559 -0.982865 -2.515865 0.058664
51 287493.1321288758 -1.896192 -1.269651 0.249704 2.505950 -1.664925 4.241588 3.623185 -4.513097 -2.463575 -0.538645
52 68696.4299566755 -2.197920 -0.837164 0.160744 -5.000000 -5.000000 -1.124937 -1.215353 -0.699272 -3.855795 1.104757
53 300677.3962746615 5.000000 -5.000000 -2.079816 -5.000000 5.000000 5.000000 -3.313364 -1.053227 -4.464083 1.519027
54 347556.2445033832 -0.325529 5.000000 3.629720 -5.000000 -1.733618 0.420876 1.834427 -5.000000 -0.805415 3.556144
55 205620.9256685011 5.000000 -1.863096 -5.000000 -0.631718 -1.278709 -1.914857 -0.202472 1.824704 0.922318 2.885246
56 60917.8738571904 -4.330099 -0.238696 -0.458440 -2.842117 -2.625608 -3.619188 -1.047056 0.602011 -3.857119 1.126062
57 228204.5901196385 -0.670858 -3.895480 0.438854 -5.000000 5.000000 -5.000000 -1.723353 -3.659275 0.203673 -1.376272
58 631701.4703354286 -2.978500 1.048251 -5.000000 -0.654379 -2.706804 -0.006896 5.000000 5.000000 -2.591041 1.757185
59 235581.8395275637 -3.111307 1.476548 -2.733601 -3.437896 -4.904098 -4.171614 -0.443944 3.272617 0.908849 -1.000273
60 335586.6076589472 -1.259561 -4.556472 0.163723 -3.806992 0.588798 -1.574275 5.000000 -3.116921 -3.529843 -1.361366
61 130702.9068468963 -2.499305 -3.496956 -0.154300 -5.000000 5.000000 3.962981 -0.540246 1.879879 -3.776896 2.361380
62 453233.7703977796 -2.818090 -0.628573 -3.832341 4.844449 2.289895 0.495670 1.436370 -0.407963 -5.000000 -3.074373
63 129779.8761096687 -5.000000 -2.881945 1.043114 -5.000000 -5.000000 -0.365599 -1.488995 1.568550 -2.319171 1.947265
64 292131.4905898123 -3.653267 5.000000 -5.000000 -5.000000 -3.255408 4.931581 -3.256130 -2.168260 -0.656883 -5.000000
65 343812.0160145385 -0.628080 -0.522121 5.000000 -0.899777 5.000000 0.210088 0.254184 0.282130 -1.745482 0.707279
66 634699.2836195418 -3.243817 5.000000 0.940158 0.889976 -4.007470 -5.000000 5.000000 -0.208539 -3.115484 5.000000
67 405670.8636229243 5.000000 -2.635549 1.405021 -5.000000 -5.000000 1.673365 -5.000000 -5.000000 5.000000 3.690048
68 404162.9239087768 5.000000 2.144458 4.521651 -2.742393 -5.000000 5.000000 -1.891754 -2.027991 1.386409 1.847555
69 665726.8206602334 -1.238784 -5.000000 0.004036 5.000000 -5.000000 -2.593211 -4.475576 -0.998025 3.172009 2.768753
70 522193.3435321809 0.099698 1.163622 -1.000469 5.000000 -2.292201 2.992980 0.195667 -1.314003 0.258273 -5.000000
71 673401.9923478824 -1.729226 2.398929 2.445161 5.000000 -0.152649 -5.000000 2.615485 -5.000000 -2.955192 -5.000000
72 900702.7294314285 5.000000 4.536725 -0.714460 5.000000 -5.000000 5.000000 -5.000000 1.029835 -0.810840 0.420812
73 313989.6754411773 1.759054 5.000000 3.429438 -1.841107 -2.657425 5.000000 1.783401 0.587957 -1.475062 -5.000000
74 324752.0107682568 -3.077848 -5.000000 -0.321270 -4.257051 -5.000000 0.052301 -3.336870 4.441769 -1.402120 2.290058
75 426287.9601083018 -5.000000 5.000000 0.658076 -0.512432 -4.753413 0.154877 0.629027 -0.291299 5.000000 2.477380
76 276797.1102183124 1.449564 1.058585 1.481107 -5.000000 5.000000 -1.052752 -1.741808 -3.306138 5.000000 5.000000
77 118567.0967120068 -1.457210 -1.160082 0.264986 -3.980379 -3.300646 5.000000 -4.964897 2.134472 -3.887405 -2.819802
78 674519.4219889791 -3.363329 -1.266650 -1.187872 5.000000 5.000000 5.000000 -5.000000 0.129803 5.000000 4.180819
79 381991.7886138695 -2.206903 4.416202 5.000000 -4.177086 -2.034288 0.323344 -0.157548 -0.810094 0.060797 2.620529
80 322050.2353091163 -2.209398 -1.703345 -0.338740 -5.000000 -2.779496 -0.894020 5.000000 -0.589016 -5.000000 0.480155
81 738672.1443262668 -5.000000 0.156330 -5.000000 5.000000 -5.000000 -5.000000 -1.616916 -0.249450 -3.403175 -5.000000
82 639099.3116229679 3.410101 -4.711992 -5.000000 2.197537 0.183930 3.690965 0.216347 5.000000 5.000000 -0.454070
83 319985.6624805851 -5.000000 -2.468460 5.000000 -5.000000 -0.626874 0.167614 -5.000000 -4.140670 -5.000000 5.000000
84 556103.0891077791 -0.868397 -4.436853 -0.923871 5.000000 -3.073041 0.342817 -2.983083 0.434865 -5.000000 -2.877676
85 121837.0900544654 -5.000000 -1.022350 -3.080735 -5.000000 5.000000 -0.601144 -2.938312 -1.868136 -5.000000 -3.272827
86 499275.6959012707 -1.373538 5.000000 1.119077 -2.061481 5.000000 -3.563062 -5.000000 -5.000000 4.684871 2.066238
87 507950.1246078531 -3.133745 -2.248962 3.229650 -5.000000 -4.230704 -5.000000 5.000000 0.423905 -3.500571 1.441180
88 721338.0315077866 2.595316 -3.913829 5.000000 5.000000 5.000000 4.011579 -5.000000 -5.000000 -2.951662 2.887975
89 359728.5811266211 5.000000 5.000000 -4.727526 -0.480170 1.498291 1.423370 -1.043848 -5.000000 -0.962002 -5.000000
90 932144.7340502961 2.834639 -0.701341 5.000000 -0.560626 -3.212391 -5.000000 5.000000 5.000000 -0.429898 0.005852
91 932090.5882334334 -4.434934 5.000000 0.852687 4.651073 1.230832 -1.394033 5.000000 -5.000000 -5.000000 0.232124
92 414245.6518936441 5.000000 2.490196 2.459602 -5.000000 0.518781 2.787862 4.200289 1.985909 -1.687793 -2.528378
93 1085518.5449004399 -3.330810 5.000000 5.000000 3.360414 -2.224153 -1.613865 4.814120 3.925540 5.000000 4.757925
94 779186.2124751988 -5.000000 -5.000000 -2.336802 5.000000 5.000000 -0.404061 -3.198137 -4.833498 5.000000 -5.000000
95 903126.9151803949 -5.000000 3.002576 -1.033981 5.000000 5.000000 -0.671549 -5.000000 5.000000 -1.377200 0.341216
96 217789.4363094253 5.000000 1.659017 0.465759 -4.400212 -3.547554 5.000000 -5.000000 -4.407882 2.177367 2.250590
97 1070932.8050189021 5.000000 3.970580 0.814028 5.000000 -3.349311 1.338893 -2.136229 5.000000 -0.255383 -2.871656
98 411950.9288663995 -5.000000 -5.000000 -1.487943 -5.000000 5.000000 -0.789002 2.028465 -1.847466 5.000000 -5.000000
99 938557.0029025569 0.816105 -3.753388 5.000000 3.167873 0.575047 -1.641350 5.000000 -3.801651 5.000000 -3.431278
100 454867.0288276197 -0.764795 -5.000000 1.421333 -1.494610 5.000000 5.000000 -2.746809 5.000000 -0.507533 1.519181
101 625104.1654188570 5.000000 -5.000000 -2.585183 -5.000000 -2.741497 5.000000 -4.426629 5.000000 -4.270981 0.379013
102 40866.9280187766 -5.000000 -3.282579 0.268495 -4.384846 1.149560 -0.814052 -2.392451 -0.459154 -5.000000 0.631040
103 89289.9560818498 -5.000000 -1.263179 -2.443685 -0.758934 1.039693 0.560098 -5.000000 2.443100 -0.765032 5.000000
104 58421.5009911943 -0.320806 -0.662070 -0.894209 -3.319583 3.706851 5.000000 -3.654325 -3.123193 -4.261018 0.330787
105 488471.3202600737 1.523050 -0.406676 -5.000000 -2.173421 5.000000 -2.199269 -4.092953 5.000000 -2.854186 1.287909
106 277659.2411759396 -3.523011 0.409814 -5.000000 0.906234 -0.413381 -0.277924 -4.418763 4.148852 -3.711244 1.565676
107 273646.3825818474 -2.037577 -3.186666 -1.364507 -5.000000 5.000000 -0.583390 -3.265562 -0.297805 5.000000 1.328494
108 779725.1871271448 1.154590 -4.352156 4.500684 5.000000 -3.732421 -0.449175 3.176059 -1.127304 -1.451449 2.120565
109 55128.5153348137 -3.325376 -2.498182 -3.763316 -2.639733 -1.008592 1.861267 1.889927 -5.000000 -0.027239 5.000000
110 350191.6226331233 3.238768 -3.863461 0.060859 -2.528968 5.000000 -0.824454 3.849213 -5.000000 -5.000000 -0.888358
