evaluations raw_y x0 x1 x2 x3 x4
1 410.4584192280 0.488135 2.151894 1.027634 0.448832 -0.763452
2 1635.4040377262 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 1165.2162191231 2.917250 0.288949 0.680446 4.255966 -4.289639
4 2526.9213696553 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 957.9853451970 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 1932.9920125380 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 1470.4363247902 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 1037.6363806424 1.176355 1.120957 1.169340 4.437481 1.818203
9 862.2687652396 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 949.6381096965 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 1314.2710276877 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 1480.6844520793 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 1480.8673471161 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 1784.9123441674 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 1854.5116011549 4.764595 -0.313488 4.767611 1.048455 2.392636
16 1791.3731476455 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 1088.6867126368 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 1160.7406587290 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 1398.0570665386 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 2050.6402066441 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 1671.7815212350 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 825.3238940632 0.761573 0.920419 0.722519 -2.769184 4.527490
23 640.9858851322 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 978.3536191813 -1.034943 3.811032 0.812729 3.817354 1.925316
25 1377.2714687405 2.252543 0.013244 4.560836 1.439902 -0.761450
26 1314.3825279903 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 677.9311300357 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 692.5784906280 0.908728 0.743252 1.532008 1.521033 -0.685816
29 1184.2291821240 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 2592.1327255818 2.038886 -3.997731 4.194826 2.142413 4.988470
31 1991.3116157231 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 1077.4421924300 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 1696.8094314105 1.974288 -0.464573 2.220556 3.663823 4.755215
34 1606.1483444692 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 953.7855760089 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 1778.7398013934 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 1093.7308078025 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 796.2257659024 1.139660 0.356328 0.899100 2.301220 -1.880550
39 1283.6282791140 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 966.7079520226 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 1582.3900117333 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 1355.6712907120 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 1816.8283401791 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 864.5449891132 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 1157.2310389614 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 510.2969464204 4.527917 1.874883 -2.844923 4.473706 2.308558
47 1273.3579049118 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 654.3375118602 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 1427.7161702810 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 1084.6132901752 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 1221.3234025276 -1.443873 4.404319 2.653253 2.486636 4.037197
52 739.0360349805 -1.372039 0.900219 -1.026997 1.094914 0.971937
53 1327.3461404779 5.000000 5.000000 -4.798496 0.012209 4.286578
54 1378.5260059976 1.908434 3.656049 -3.430708 -5.000000 5.000000
55 1194.4486071189 5.000000 5.000000 -5.000000 4.880128 5.000000
56 1639.7137193473 -3.423011 1.415360 -5.000000 -5.000000 5.000000
57 890.5598897459 4.467257 -5.000000 -5.000000 0.686247 2.482671
58 1576.4436731622 5.000000 2.383016 -5.000000 -5.000000 5.000000
59 1657.0458694464 4.773691 -5.000000 -5.000000 5.000000 -3.853923
60 1139.6469615780 5.000000 5.000000 0.467759 5.000000 -5.000000
61 895.9056483921 5.000000 5.000000 -1.376316 5.000000 -2.347499
62 1201.8739852805 3.592373 -5.000000 -5.000000 5.000000 2.253178
63 1779.3534090467 -0.215627 -3.750946 -5.000000 5.000000 -5.000000
64 2653.1763849145 5.000000 5.000000 -5.000000 -5.000000 -5.000000
65 1894.8199463220 5.000000 -5.000000 -3.153081 5.000000 -5.000000
66 1569.0903793514 5.000000 -4.279000 -3.890137 5.000000 5.000000
67 1342.9053751657 -1.503249 -0.567002 -5.000000 5.000000 3.871321
68 1468.8796232524 5.000000 5.000000 5.000000 -1.153143 5.000000
69 1368.7540210149 5.000000 -5.000000 -5.000000 5.000000 3.698415
70 1489.6843537149 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
71 2890.5178158224 5.000000 -5.000000 5.000000 5.000000 -5.000000
72 1755.7671512389 5.000000 5.000000 5.000000 5.000000 5.000000
73 1725.7098187312 0.613558 -5.000000 -0.504458 1.092568 -5.000000
74 867.7180271844 4.778340 0.760950 -5.000000 5.000000 5.000000
75 2026.0344007399 5.000000 1.526758 5.000000 5.000000 3.693557
76 1979.7861693249 1.808878 2.061108 -5.000000 -1.774420 -5.000000
77 1661.5752999039 3.910686 5.000000 -5.000000 -3.387862 5.000000
78 942.8909853096 4.564188 5.000000 -2.261986 5.000000 -1.813124
79 1346.8237480049 5.000000 5.000000 -5.000000 5.000000 -1.279191
80 1755.7671512389 5.000000 5.000000 5.000000 5.000000 5.000000
81 1332.1114174501 5.000000 3.196343 5.000000 -0.516517 -5.000000
82 2350.3894813750 -5.000000 -0.795113 -5.000000 -5.000000 -5.000000
83 2818.3598141129 -5.000000 5.000000 -5.000000 0.393794 -5.000000
84 1864.3190808533 5.000000 -5.000000 -2.058333 2.841678 5.000000
85 1382.6443056947 5.000000 2.011948 0.008175 -1.296609 -5.000000
86 1311.8463853393 1.916419 5.000000 -5.000000 5.000000 1.549153
