evaluations raw_y x0 x1 x2 x3 x4
1 9.4080870980 0.488135 2.151894 1.027634 0.448832 -0.763452
2 17.1042982936 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 14.8885149405 2.917250 0.288949 0.680446 4.255966 -4.289639
4 21.7016306831 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 20.5829496528 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 22.6465253621 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 9.2564854741 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 8.2439534893 1.176355 1.120957 1.169340 4.437481 1.818203
9 35.8247819138 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 41.8290538220 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 23.5228394295 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 10.5730923419 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 55.1502381366 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 12.8163743119 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 18.1182277541 4.764595 -0.313488 4.767611 1.048455 2.392636
16 51.6218449558 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 10.7670346339 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 17.2752732246 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 9.2598549690 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 18.1426076067 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 22.6755268738 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 4.1699776525 0.761573 0.920419 0.722519 -2.769184 4.527490
23 22.9696671615 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 13.7408660172 -1.034943 3.811032 0.812729 3.817354 1.925316
25 20.0526569292 2.252543 0.013244 4.560836 1.439902 -0.761450
26 28.9656240682 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 28.7157421077 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 12.7065103704 0.908728 0.743252 1.532008 1.521033 -0.685816
29 16.5448375520 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 24.6318474860 2.038886 -3.997731 4.194826 2.142413 4.988470
31 11.8432791723 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 13.8615190371 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 20.3308083502 1.974288 -0.464573 2.220556 3.663823 4.755215
34 39.3877073611 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 33.1444489284 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 17.6137825952 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 80.7872218844 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 16.7976715575 1.139660 0.356328 0.899100 2.301220 -1.880550
39 16.5257234444 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 30.9889668822 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 34.0470023396 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 15.6356476001 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 30.0036068302 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 15.4471682123 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 18.1173329850 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 24.3276618016 4.527917 1.874883 -2.844923 4.473706 2.308558
47 69.8143496628 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 8.4991706455 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 18.8750527725 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 18.4209242913 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 19.4275687362 -1.443873 4.404319 2.653253 2.486636 4.037197
52 4.3985082072 -0.230770 0.441937 0.260824 -0.677742 1.906140
53 24.6348574210 4.038289 3.638640 5.000000 5.000000 5.000000
54 85.3321633879 -3.373811 -5.000000 1.702971 -5.000000 5.000000
55 19.0815435000 5.000000 -1.509158 5.000000 -3.801800 5.000000
56 72.9739267085 -5.000000 -0.613172 -5.000000 -4.791795 5.000000
57 14.8531677947 0.416768 -0.047477 0.024724 5.000000 3.868908
58 19.1063948209 3.383114 5.000000 -5.000000 5.000000 2.673207
59 51.6291779660 0.140205 5.000000 5.000000 -5.000000 -1.137001
60 49.8113540838 5.000000 5.000000 0.509139 -5.000000 -5.000000
61 34.6617032001 5.000000 5.000000 -5.000000 4.512753 1.399213
62 194.0969174562 -5.000000 -5.000000 4.056878 -5.000000 4.853803
63 64.9505410918 -2.078135 5.000000 -5.000000 -5.000000 4.000275
64 14.9969087449 5.000000 5.000000 5.000000 -5.000000 5.000000
65 60.7657286337 0.775578 5.000000 0.749473 -4.397671 -5.000000
66 22.1701288471 5.000000 3.842950 5.000000 -5.000000 5.000000
67 33.8641107490 -0.260900 -1.593364 -3.985204 -2.849863 1.888618
68 50.9917245873 5.000000 2.650015 -5.000000 -5.000000 5.000000
69 34.2633438223 5.000000 -5.000000 5.000000 -2.600919 3.800549
70 19.0731500628 -5.000000 5.000000 2.274141 5.000000 5.000000
71 21.1421844493 5.000000 -5.000000 5.000000 5.000000 3.836145
72 50.0657150494 5.000000 -4.390445 5.000000 1.025708 -5.000000
73 32.3909052152 -0.343797 -5.000000 -3.572499 5.000000 -5.000000
74 22.4246523842 0.511491 5.000000 5.000000 -0.847020 1.242348
75 14.1277930256 5.000000 0.766723 0.822795 1.278295 3.661468
76 18.2375343625 0.255827 -5.000000 5.000000 5.000000 4.531645
77 259.9967808180 -5.000000 5.000000 3.529150 -5.000000 5.000000
78 48.3497432018 0.914127 5.000000 -1.688631 -5.000000 5.000000
79 27.9212448829 5.000000 5.000000 5.000000 -1.022771 5.000000
80 109.1021602670 1.134714 5.000000 -5.000000 -5.000000 -2.662753
81 50.8303891931 1.008772 5.000000 -5.000000 -5.000000 5.000000
