evaluations raw_y x0 x1 x2 x3 x4
1 14.5640820730 0.488135 2.151894 1.027634 0.448832 -0.763452
2 40.7083088689 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 93.8035019706 2.917250 0.288949 0.680446 4.255966 -4.289639
4 29.9348805387 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 62.1429335928 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 25.8173978131 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 22.9949630608 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 24.7518770264 1.176355 1.120957 1.169340 4.437481 1.818203
9 50.2603176024 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 76.9787894926 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 49.6651324465 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 37.3190644293 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 88.0445163737 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 61.5508066660 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 96.1640083558 4.764595 -0.313488 4.767611 1.048455 2.392636
16 122.5690104318 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 42.6435893875 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 52.3975728802 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 42.5123595595 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 212.9713108138 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 46.7104473563 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 43.9769635636 0.761573 0.920419 0.722519 -2.769184 4.527490
23 35.0950150205 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 44.3664615955 -1.034943 3.811032 0.812729 3.817354 1.925316
25 16.4479966325 2.252543 0.013244 4.560836 1.439902 -0.761450
26 28.4788486332 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 30.7498291443 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 12.2551235423 0.908728 0.743252 1.532008 1.521033 -0.685816
29 59.2596900343 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 28.0354423292 2.038886 -3.997731 4.194826 2.142413 4.988470
31 77.7091002522 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 18.3902609636 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 31.2632947579 1.974288 -0.464573 2.220556 3.663823 4.755215
34 78.4031054988 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 120.7381918686 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 69.8519603486 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 130.4156636160 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 15.8761213494 1.139660 0.356328 0.899100 2.301220 -1.880550
39 51.0165232647 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 79.2806971163 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 16.9287429502 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 65.8941036198 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 80.8010548408 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 17.0497210847 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 18.2816870523 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 187.2834059336 4.527917 1.874883 -2.844923 4.473706 2.308558
47 59.6758831724 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 7.5469199586 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 39.1386019527 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 26.7287232921 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 63.2023494041 -1.443873 4.404319 2.653253 2.486636 4.037197
52 13.8152229697 0.228216 -0.604169 -0.131490 -0.544241 0.365375
53 101.3381336370 0.241322 -0.117225 5.000000 -5.000000 2.983846
54 39.7913336382 -0.876013 -0.101982 -1.997571 -5.000000 -1.582605
55 155.0919915652 -5.000000 -5.000000 -2.721312 -1.781231 -4.116223
56 591.9922267873 -5.000000 -2.751956 -5.000000 5.000000 -5.000000
57 22.3922668124 -1.096397 -2.281665 -1.044533 5.000000 0.213404
58 143.0456304440 -5.000000 2.688149 0.042391 5.000000 5.000000
59 64.6207114957 -0.441137 -5.000000 5.000000 -1.630290 5.000000
60 104.5913411719 5.000000 -3.211305 -0.018397 -5.000000 5.000000
61 306.4487708124 -5.000000 5.000000 -5.000000 5.000000 1.227885
62 194.6820162937 4.922354 -1.319587 -5.000000 -3.057563 0.556543
63 75.4762922002 1.099108 0.185773 -5.000000 -0.998931 -4.939882
64 95.2441456825 -5.000000 5.000000 5.000000 -5.000000 -1.508819
65 121.2754824603 -0.099751 -2.238348 -0.173407 -5.000000 5.000000
66 181.4818063668 -1.869146 -5.000000 -2.338303 -5.000000 5.000000
67 68.9351646051 1.744593 -4.052478 -3.630482 3.171603 3.828281
68 209.8374445977 1.190040 -4.903697 -2.646445 -5.000000 -0.798146
69 213.7091533500 -5.000000 -5.000000 5.000000 -2.972634 1.105325
70 644.6469858120 -5.000000 -5.000000 -5.000000 5.000000 -5.000000
71 236.2469233810 -5.000000 -0.838397 3.304914 -5.000000 -5.000000
72 217.6479210367 5.000000 -5.000000 5.000000 -5.000000 3.173190
73 116.4426354664 0.636868 -5.000000 -4.331812 5.000000 5.000000
74 247.3490450655 -0.134724 3.414671 5.000000 5.000000 5.000000
75 176.4372523765 -5.000000 -1.366000 -5.000000 -3.385728 -3.916207
76 40.5074052409 0.382805 -5.000000 5.000000 5.000000 5.000000
77 63.9085807804 2.680469 5.000000 3.440583 -5.000000 0.001280
78 9.9939446245 -0.748465 5.000000 -1.300820 -3.151056 -1.698659
79 43.2488248107 -4.381713 4.551826 -1.990320 -1.916427 -1.409451
80 565.0085124458 -5.000000 -1.487570 -5.000000 5.000000 -5.000000
81 76.5743611923 -0.744450 1.228715 5.000000 3.483788 -5.000000
82 260.7886916207 -5.000000 -5.000000 4.991637 5.000000 -5.000000
83 458.3945843075 -5.000000 5.000000 -5.000000 5.000000 -5.000000
84 199.1660948664 0.800279 -5.000000 -0.000899 -5.000000 -5.000000
85 115.4312532009 0.317227 0.359437 -2.906303 -5.000000 -5.000000
86 422.3291721057 -3.409819 4.419545 5.000000 -5.000000 5.000000
87 364.1887903106 -5.000000 4.690410 -5.000000 3.318352 -5.000000
