evaluations raw_y x0 x1 x2 x3 x4
1 10244.9251990513 0.488135 2.151894 1.027634 0.448832 -0.763452
2 113187.9498841548 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 60633.2111367343 2.917250 0.288949 0.680446 4.255966 -4.289639
4 178763.8909235529 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 36855.2126362434 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 26164.4586101975 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 19178.0354450500 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 136433.2257729669 1.176355 1.120957 1.169340 4.437481 1.818203
9 19290.1600159956 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 3165.4333242898 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 34099.3825492932 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 317.4467386036 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 9209.9274094400 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 25049.4813984371 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 108330.6807517297 4.764595 -0.313488 4.767611 1.048455 2.392636
16 14588.4200162993 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 30537.0944901001 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 130146.0642719764 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 8724.4123365587 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 28890.2007137484 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 82469.9308125905 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 101708.0368532748 0.761573 0.920419 0.722519 -2.769184 4.527490
23 73097.3347081292 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 125087.5913224130 -1.034943 3.811032 0.812729 3.817354 1.925316
25 53279.7439705320 2.252543 0.013244 4.560836 1.439902 -0.761450
26 9245.7170388234 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 8743.9237041882 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 22085.4671652125 0.908728 0.743252 1.532008 1.521033 -0.685816
29 154218.4129547686 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 226847.4025106839 2.038886 -3.997731 4.194826 2.142413 4.988470
31 7515.2844028387 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 22901.6664597711 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 247493.1716951712 1.974288 -0.464573 2.220556 3.663823 4.755215
34 16923.1391266100 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 54620.9043944435 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 60168.2438773968 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 96418.9008329772 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 24601.9108429905 1.139660 0.356328 0.899100 2.301220 -1.880550
39 131532.8280155685 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 11350.9384402544 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 32787.5570726859 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 112857.3247901893 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 31138.1343652416 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 92295.8145062184 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 29076.4251342847 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 134340.8762479016 4.527917 1.874883 -2.844923 4.473706 2.308558
47 15692.3491611629 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 8847.3033371259 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 25606.4251355966 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 5520.7470237571 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 194893.7788574313 -1.443873 4.404319 2.653253 2.486636 4.037197
52 380.1388252563 1.026292 0.735145 -0.890600 -0.082452 -1.076006
53 61232.2701865310 -5.000000 -3.674505 -3.159720 5.000000 -3.620371
54 28746.7000119007 -1.619904 4.677389 -3.199506 -5.000000 0.032163
55 42310.2701613056 -5.000000 -5.000000 -5.000000 0.648443 -5.000000
56 81228.3115798403 -5.000000 2.415150 -5.000000 -5.000000 -5.000000
57 21163.0830304184 -3.622184 5.000000 -1.220236 -4.753921 -2.186977
58 78254.8227288990 5.000000 -1.953859 -4.061403 -5.000000 -5.000000
59 74789.6783791670 -1.840407 -4.012250 -2.930788 -0.312430 3.134338
60 282428.2185430852 5.000000 -5.000000 -5.000000 5.000000 5.000000
61 90648.3230064294 5.000000 -3.994508 -5.000000 -5.000000 -5.000000
62 53948.3619997272 -5.000000 5.000000 -5.000000 5.000000 -2.494219
63 17159.2710174274 1.761774 -3.308128 -5.000000 2.190656 -3.168561
64 133870.7139288343 5.000000 -5.000000 -4.594394 -4.075586 5.000000
65 35248.1045335309 5.000000 -5.000000 -2.452426 -2.415409 -4.946304
66 52896.1688658211 0.377617 2.040816 -5.000000 5.000000 -5.000000
67 65472.9642624717 -2.973767 1.856804 -2.218170 -5.000000 -4.978216
68 112386.5805694493 -5.000000 -0.437360 3.120600 5.000000 -5.000000
69 30174.8458678361 1.201992 5.000000 2.036405 -0.766624 -3.171492
70 72033.1259728338 5.000000 -5.000000 5.000000 -5.000000 -5.000000
71 129053.8758494240 -5.000000 -5.000000 5.000000 4.583222 -5.000000
72 36700.9803134768 5.000000 -5.000000 -5.000000 -3.041879 1.463022
73 118771.1574262695 -5.000000 5.000000 0.141398 -5.000000 5.000000
74 347313.4296492841 -4.804686 0.967073 4.044114 5.000000 5.000000
75 87671.8365135132 5.000000 5.000000 -1.650330 -5.000000 -5.000000
76 133044.8701651352 -4.447099 5.000000 -5.000000 -5.000000 5.000000
77 271182.9841455086 -5.000000 3.736918 -5.000000 5.000000 5.000000
78 96751.3273577162 -3.466085 -5.000000 -5.000000 -5.000000 -5.000000
79 135380.5448282691 -5.000000 -5.000000 -3.784600 -4.925214 5.000000
80 86608.5848919699 -5.000000 0.339250 5.000000 -5.000000 -5.000000
81 32903.3274152336 -3.419728 -1.093713 -5.000000 -1.055031 -5.000000
82 377382.9263786833 -5.000000 3.555910 5.000000 5.000000 5.000000
83 32575.1424374103 -5.000000 -5.000000 -4.168519 2.838237 -2.269268
84 72031.0406134327 -4.598248 -5.000000 -5.000000 5.000000 -5.000000
85 122546.7181777644 -2.621413 4.010985 -3.399619 -5.000000 5.000000
86 119127.8739390331 -4.430829 -5.000000 -0.960787 -5.000000 5.000000
87 43620.5733360103 -2.216919 3.833882 -5.000000 -5.000000 1.712467
88 99649.2974955607 -0.749710 -1.394637 -5.000000 5.000000 1.018625
89 43699.3254405392 -5.000000 -0.026826 -1.916415 -5.000000 2.575895
90 82725.2275624236 -0.587626 -0.092663 5.000000 -5.000000 -5.000000
91 106302.8989809787 -5.000000 3.907735 5.000000 3.020575 -1.682169
92 59445.6929584025 4.017877 2.242787 5.000000 0.611861 -2.174531
93 183902.9269315365 -1.294733 0.310079 5.000000 -0.516707 5.000000
94 221602.8794734261 -5.000000 5.000000 -5.000000 3.266095 5.000000
95 170168.9125530162 5.000000 3.515869 5.000000 5.000000 -5.000000
96 8736.8468219513 4.400693 -5.000000 -2.765067 0.219533 -0.133987
97 108707.7747969371 5.000000 5.000000 5.000000 1.793055 -0.643582
98 48788.5923933703 4.174888 1.619420 -5.000000 -3.063928 -5.000000
99 217230.5408096884 -3.799657 5.000000 -5.000000 5.000000 3.974387
100 70481.6865375875 2.637957 -5.000000 5.000000 -5.000000 -5.000000
101 274169.8927472935 -4.625658 5.000000 -5.000000 5.000000 5.000000
102 7448.9293833828 -3.086763 -1.388297 2.329134 -0.299009 -2.363063
103 74695.4103949634 -1.670755 -5.000000 5.000000 1.869050 0.564807
104 162024.9615968086 -1.894583 2.092995 1.509365 2.652646 3.752354
105 55222.3218255868 -5.000000 1.094278 -5.000000 5.000000 -5.000000
106 55269.8209213730 5.000000 1.801033 -5.000000 5.000000 -1.863337
107 155821.5776219433 5.000000 -1.622450 5.000000 5.000000 -0.313835
108 11564.7184549801 -5.000000 3.840573 -5.000000 -3.046581 -1.969299
109 303181.4348335138 0.761504 0.175803 2.096981 5.000000 4.825968
110 144598.8248433721 -3.268967 -5.000000 -5.000000 -5.000000 5.000000
111 13874.8383746943 3.447227 -0.444495 -3.157152 1.229888 0.131406
112 31401.6772576799 -5.000000 -5.000000 -1.315878 -0.184048 -5.000000
113 34750.0874536808 -2.708905 -5.000000 -5.000000 -4.108403 -1.083468
114 60918.9810028650 -0.624265 5.000000 -4.961340 5.000000 -5.000000
115 42046.0081903719 4.536769 5.000000 -0.868779 0.483410 -5.000000
116 72967.2731609556 -5.000000 5.000000 1.008177 -1.575696 3.016515
117 41989.5806158302 -5.000000 5.000000 -5.000000 3.966706 -5.000000
118 55429.8815593647 -2.527391 -2.611642 -5.000000 -3.167657 2.760987
119 11402.9998151025 -0.322977 -5.000000 1.979043 -5.000000 0.519321
120 113170.2361255758 -3.381281 1.973059 -5.000000 5.000000 1.606561
121 91735.9418087490 5.000000 5.000000 -3.091501 5.000000 -0.560389
122 54267.8972596655 -5.000000 2.408681 -3.587846 5.000000 -3.843953
123 90464.5930238822 5.000000 3.350906 -5.000000 -5.000000 -5.000000
124 90172.1768899400 3.756389 5.000000 5.000000 1.104458 -1.879535
125 62146.3365915130 1.398434 5.000000 -5.000000 5.000000 -4.750041
126 73141.4993275694 -5.000000 -5.000000 -2.462259 5.000000 -5.000000
