evaluations raw_y x0 x1 x2 x3 x4
1 73.5262769593 0.488135 2.151894 1.027634 0.448832 -0.763452
2 43.7453535217 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 86.0626145760 2.917250 0.288949 0.680446 4.255966 -4.289639
4 83.2053836950 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 86.2672515697 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 41.5447339672 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 86.0407247118 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 72.3721239935 1.176355 1.120957 1.169340 4.437481 1.818203
9 75.8909635099 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 77.2061075574 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 68.5193395595 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 76.2023634289 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 80.1093075286 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 86.3878389998 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 77.7310702084 4.764595 -0.313488 4.767611 1.048455 2.392636
16 78.9622899674 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 86.1619810628 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 79.5504131541 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 85.5157429218 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 85.4432266166 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 77.4698632326 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 84.6926566855 0.761573 0.920419 0.722519 -2.769184 4.527490
23 82.9956940682 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 83.5093536144 -1.034943 3.811032 0.812729 3.817354 1.925316
25 72.3186425518 2.252543 0.013244 4.560836 1.439902 -0.761450
26 86.0941692010 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 68.6378718626 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 7.8501033476 0.908728 0.743252 1.532008 1.521033 -0.685816
29 42.4096760401 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 83.4882775435 2.038886 -3.997731 4.194826 2.142413 4.988470
31 85.7723850638 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 83.3691649402 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 86.0102824009 1.974288 -0.464573 2.220556 3.663823 4.755215
34 85.8148106510 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 83.9305388580 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 51.9004865440 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 82.7544343703 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 63.7760794086 1.139660 0.356328 0.899100 2.301220 -1.880550
39 77.8504080441 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 61.5179825784 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 77.3148631310 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 84.7962246986 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 81.4321374606 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 77.0196599838 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 80.1190120831 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 80.5788980707 4.527917 1.874883 -2.844923 4.473706 2.308558
47 80.3280490104 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 67.4589762335 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 11.0236715748 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 38.2370881832 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 86.1831398225 -1.443873 4.404319 2.653253 2.486636 4.037197
52 82.7626195985 -0.275361 0.356870 0.553044 0.372264 -0.288738
53 72.8938958244 -5.000000 -1.557910 2.508279 5.000000 1.238858
54 85.8612155549 5.000000 5.000000 -0.098734 -0.552271 0.114537
55 76.1237609434 -2.824446 -5.000000 -2.591898 0.418338 5.000000
56 25.6403602348 -5.000000 1.436788 5.000000 -5.000000 0.264497
57 82.3307261651 1.029579 5.000000 0.834071 4.820376 0.232368
58 84.9375330651 1.406893 1.108215 -5.000000 -5.000000 5.000000
59 75.1803749658 1.094502 0.709680 5.000000 5.000000 1.922682
60 86.3043735360 5.000000 -5.000000 0.121149 5.000000 5.000000
61 72.5423173566 -5.000000 5.000000 3.375723 -1.863931 5.000000
62 86.5357410147 -5.000000 5.000000 -3.783329 5.000000 -1.042113
63 65.4189349241 -3.911554 -5.000000 5.000000 5.000000 -4.797113
64 43.4097637789 4.361935 -5.000000 5.000000 -3.406596 5.000000
65 85.2704754573 1.078577 -2.338657 1.762432 -0.464547 5.000000
66 86.2798296223 -5.000000 -5.000000 -5.000000 -3.082474 -0.363134
67 60.0685369118 1.913573 2.956621 -4.786866 -0.368234 -3.223812
68 86.4097469831 5.000000 -4.278733 -5.000000 -5.000000 5.000000
69 83.3547988568 5.000000 5.000000 -5.000000 -2.319166 -2.421847
70 85.0136492272 -5.000000 -5.000000 -4.057213 -5.000000 -5.000000
71 86.4236649258 -5.000000 5.000000 5.000000 5.000000 5.000000
72 86.4696870242 -3.672209 -5.000000 5.000000 3.305120 5.000000
73 86.3728109573 5.000000 -5.000000 -0.567103 -5.000000 -5.000000
74 86.1800657049 -0.505566 -2.855851 5.000000 5.000000 5.000000
75 85.7846306353 -5.000000 -1.602825 -5.000000 -4.429782 -5.000000
76 83.1419494780 -1.508440 5.000000 5.000000 5.000000 -5.000000
77 86.3813705868 1.107262 5.000000 5.000000 -5.000000 -5.000000
78 85.7032566157 0.814101 -5.000000 -2.534108 5.000000 -5.000000
79 86.0323160964 -0.891636 -5.000000 5.000000 3.782490 3.876301
80 86.3575147612 5.000000 5.000000 -5.000000 -5.000000 -2.849437
81 85.1946328503 0.976548 -1.856860 -5.000000 -5.000000 5.000000
82 86.5645913479 5.000000 5.000000 -5.000000 5.000000 -5.000000
83 86.4608559508 -5.000000 -5.000000 -5.000000 5.000000 2.623417
84 76.4544114999 -2.337408 0.188683 5.000000 5.000000 -0.484987
85 85.2245908283 -5.000000 3.382904 -2.332485 -5.000000 -5.000000
86 85.4909643809 -0.164675 -5.000000 -5.000000 4.717980 -2.773493
87 86.4888468250 -5.000000 -5.000000 -5.000000 -5.000000 -5.000000
88 74.8205075748 -5.000000 -0.281407 5.000000 5.000000 -1.365667
89 67.3176921163 5.000000 -2.001408 5.000000 -5.000000 -0.645084
90 77.6189446784 -5.000000 0.685974 -1.980030 5.000000 5.000000
91 27.7559488152 4.190707 -5.000000 5.000000 -0.542515 -1.166791
92 82.0970775751 -5.000000 3.304457 3.727002 5.000000 1.521483
93 85.8133620291 -0.307950 -5.000000 -5.000000 -4.669586 -5.000000
94 86.3767193773 0.623259 -5.000000 5.000000 5.000000 5.000000
95 76.0792740044 -5.000000 -3.235528 5.000000 5.000000 -5.000000
96 85.4765608826 -5.000000 4.073187 5.000000 5.000000 2.912171
97 85.8432940436 5.000000 5.000000 -5.000000 1.399257 4.392128
98 72.8628975704 5.000000 -5.000000 5.000000 -5.000000 5.000000
99 86.1958064703 1.953925 -3.366546 5.000000 5.000000 5.000000
100 72.8628975704 5.000000 -5.000000 5.000000 -5.000000 5.000000
101 81.0535322416 1.821668 0.377915 -5.000000 -5.000000 -5.000000
102 78.3047574873 0.828198 -0.673938 -1.446344 1.349995 -0.634111
103 68.1295999102 5.000000 -2.264025 5.000000 2.134160 -1.964250
104 83.3666906280 -1.894583 2.092995 1.509365 2.652646 3.752354
105 86.1780715900 5.000000 4.240216 2.135809 -5.000000 -5.000000
106 86.5425718222 5.000000 -5.000000 -3.633381 5.000000 -1.573441
107 80.7960014747 5.000000 -5.000000 -5.000000 -1.860535 4.284601
108 85.4364669301 2.773538 5.000000 5.000000 -0.082421 -0.128521
109 79.0560443822 1.969902 5.000000 -5.000000 1.514238 5.000000
110 86.5064171602 5.000000 5.000000 5.000000 4.468981 5.000000
111 70.3304877659 3.447227 -0.444495 -3.157152 1.229888 0.131406
112 82.7603069696 -3.336633 -5.000000 -0.856698 5.000000 0.016692
113 83.9102687980 5.000000 1.307719 5.000000 -5.000000 -5.000000
114 86.2392148843 0.636344 -5.000000 -0.012406 2.513570 -5.000000
115 86.5645392844 5.000000 4.664479 -4.950256 5.000000 -5.000000
116 85.5102922254 -4.237212 5.000000 -5.000000 -1.343852 5.000000
117 41.8289868797 -5.000000 5.000000 5.000000 -5.000000 -2.663125
118 82.4461214175 5.000000 0.398817 5.000000 -5.000000 -5.000000
