evaluations raw_y x0 x1
1 36.7549155100 0.488135 2.151894
2 19.0556653792 1.027634 0.448832
3 18.6140937205 -0.763452 1.458941
4 72.4314775844 -0.624128 3.917730
5 57.7233348548 4.636628 -1.165585
6 69.1020167484 2.917250 0.288949
7 38.0574814010 0.680446 4.255966
8 31.9485696053 -4.289639 -4.128707
9 78.1157183328 -4.797816 3.326198
10 30.8827727476 2.781568 3.700121
11 48.7895535793 4.786183 2.991586
12 53.9304939690 -0.385206 2.805292
13 14.0957047283 -3.817256 1.399210
14 23.9042372710 -3.566467 4.446689
15 7.6038911017 0.218483 -0.853381
16 24.0090051256 -2.354444 2.742337
17 5.8713160862 -0.438497 0.684339
18 57.3905342314 -4.812102 1.176355
19 74.4808226023 1.120957 1.169340
20 25.5141552230 4.437481 1.818203
21 19.8695385904 -1.404921 -0.629680
22 30.5876370895 1.976312 -4.397745
23 23.7255467025 1.667667 1.706379
24 11.2916769916 -2.896174 -3.710737
25 12.7424544021 -1.845716 -1.362892
26 30.8471799641 0.701968 -0.613985
27 28.5502911157 4.883738 -3.979552
28 20.8710232597 -2.911232 -3.386905
29 45.3734913471 1.531083 -2.467084
30 62.7787934763 -0.336892 -2.555744
31 41.9543761420 -3.410304 -3.896249
32 15.4395604013 1.563296 -3.618170
33 31.4242426303 -3.034176 -1.312748
34 10.4990756357 3.209932 -4.028987
35 46.2951181224 3.379449 -4.039016
36 26.8991383579 4.764595 -0.313488
37 24.3278964982 4.767611 1.048455
38 48.0265108903 2.392636 -4.608122
39 8.6977274876 -2.171930 -3.798034
40 33.0405921160 -2.038598 -3.812723
41 61.0244857842 -1.820168 -0.857370
42 54.9380427608 -4.358525 1.924721
43 49.8547215742 0.666015 -2.346105
44 15.1741732371 0.232481 -4.060595
45 44.2345151091 0.759465 4.292962
46 26.6172876832 -1.814310 1.674104
47 45.8577705081 -3.682021 2.163272
48 12.4092968632 -2.105939 -3.168086
49 60.5117361929 0.865129 -4.798925
50 77.2010182980 3.289400 -4.953045
51 30.6251455751 1.778165 -2.299920
52 54.6320185264 0.379481 0.245507
53 54.1984884905 -0.045414 2.836067
54 10.5793314449 2.924106 -1.387791
55 60.7516034855 -0.846014 -5.000000
56 11.5915006046 5.000000 0.409536
57 20.6790441955 5.000000 5.000000
58 15.8622900777 -5.000000 5.000000
59 57.7339650690 0.260810 5.000000
60 78.2640604132 5.000000 -1.813933
61 20.6366257068 2.208192 -5.000000
62 69.7126749060 -4.054151 5.000000
63 52.2448660928 -1.022145 5.000000
64 54.9317027027 3.553610 0.399898
65 48.7427021998 0.592460 1.020091
66 18.5131862134 -1.115529 0.943738
67 12.0596697691 -5.000000 4.725599
68 10.0018747340 5.000000 -3.885679
69 32.7368370392 5.000000 1.062556
70 49.9708355210 -3.911919 5.000000
71 75.9458127929 -1.618483 5.000000
72 76.5060386571 5.000000 -5.000000
73 22.7241714300 -5.000000 -5.000000
74 61.9693146173 -2.276254 -5.000000
75 39.2611455587 -2.894985 1.269124
76 62.3710111819 -5.000000 1.565749
77 50.6900541333 5.000000 3.711415
78 15.8622900777 -5.000000 5.000000
79 22.7241714300 -5.000000 -5.000000
80 22.7241714300 -5.000000 -5.000000
81 20.3643144183 1.605486 -5.000000
82 25.3595866975 5.000000 -2.715948
83 41.7050488184 -2.613622 3.439237
84 37.6346690172 5.000000 0.293714
85 52.0925777862 -0.833800 -0.904754
86 22.7241714300 -5.000000 -5.000000
87 64.4625758657 -1.552019 -5.000000
88 73.3043556531 2.439342 -0.762726
89 76.5060386571 5.000000 -5.000000
90 11.1635857274 -2.738190 1.218099
91 20.6790441955 5.000000 5.000000
92 9.7165896249 0.592483 3.742828
93 20.6790441955 5.000000 5.000000
94 44.2329814465 -0.007529 -2.617813
95 20.6790441955 5.000000 5.000000
96 76.5060386571 5.000000 -5.000000
97 76.5060386571 5.000000 -5.000000
98 21.9162473773 5.000000 -2.711061
99 15.8622900777 -5.000000 5.000000
100 29.1671015028 -4.075402 5.000000
101 20.6790441955 5.000000 5.000000
102 34.5480073488 0.046188 0.438894
103 20.6790441955 5.000000 5.000000
104 35.2793614347 -5.000000 0.854242
105 15.8622900777 -5.000000 5.000000
106 48.7668610070 2.648754 -5.000000
107 20.6790441955 5.000000 5.000000
108 27.6993663556 -2.642423 4.761786
109 15.8622900777 -5.000000 5.000000
110 15.8622900777 -5.000000 5.000000
111 43.9585209106 1.603593 5.000000
112 63.0429822615 -3.980413 -5.000000
113 30.4949086418 3.312109 0.405860
114 51.8371156197 -0.516242 5.000000
115 15.8622900777 -5.000000 5.000000
116 76.5060386571 5.000000 -5.000000
117 22.7241714300 -5.000000 -5.000000
118 15.8622900777 -5.000000 5.000000
119 22.7241714300 -5.000000 -5.000000
120 51.7648569579 -0.796788 0.024856
121 31.7423003499 -5.000000 4.894641
122 26.9048301068 -0.541196 0.691306
123 48.5810509200 -4.313744 3.298869
124 18.8076007012 0.043586 5.000000
125 15.8622900777 -5.000000 5.000000
126 20.6790441955 5.000000 5.000000
127 26.4117344486 2.422083 0.185251
128 47.2392284979 -0.379196 1.585911
129 63.5365788327 -1.775582 -5.000000
130 29.7225721843 -0.588523 0.931553
131 24.8983049041 -2.589482 5.000000
132 52.8329308440 0.450349 0.261580
133 76.9096294370 -0.683827 3.009364
134 14.8285894570 -0.793962 4.325685
135 71.8811329350 1.768841 -5.000000
136 30.3523029671 -0.410578 -0.655435
