evaluations raw_y x0 x1 x2 x3 x4
1 26.5923721149 0.488135 2.151894 1.027634 0.448832 -0.763452
2 33.4367639705 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 13.1904635664 2.917250 0.288949 0.680446 4.255966 -4.289639
4 34.4193930655 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 4.3295084340 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 33.7952326979 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 13.3953060407 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 13.8721225979 1.176355 1.120957 1.169340 4.437481 1.818203
9 30.0956446645 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 2.9933643987 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 31.4282091967 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 4.6223310099 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 19.5038566004 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 18.1947776138 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 22.8743620273 4.764595 -0.313488 4.767611 1.048455 2.392636
16 12.8552263643 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 11.2502279072 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 15.9684970168 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 26.3870863452 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 11.1407199798 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 23.4187270967 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 7.1246837393 0.761573 0.920419 0.722519 -2.769184 4.527490
23 28.7177363121 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 16.5094860488 -1.034943 3.811032 0.812729 3.817354 1.925316
25 5.1235632715 2.252543 0.013244 4.560836 1.439902 -0.761450
26 19.5808899736 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 36.1797523073 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 17.1164190944 0.908728 0.743252 1.532008 1.521033 -0.685816
29 7.5097118196 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 29.1768088975 2.038886 -3.997731 4.194826 2.142413 4.988470
31 17.9842992906 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 12.3770725604 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 13.7505142286 1.974288 -0.464573 2.220556 3.663823 4.755215
34 7.2210184212 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 17.5982420031 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 11.0487406887 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 10.6737409624 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 23.9426508400 1.139660 0.356328 0.899100 2.301220 -1.880550
39 6.2284597891 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 12.8353099879 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 12.7858529176 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 12.5650178919 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 21.6185758015 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 29.8949186772 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 14.8361359032 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 36.2524784411 4.527917 1.874883 -2.844923 4.473706 2.308558
47 1.9840588961 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 37.7204490911 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 6.4407992976 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 4.2816532097 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 21.9846626947 -1.443873 4.404319 2.653253 2.486636 4.037197
52 14.2786526477 0.745600 -1.376524 0.065703 -1.160914 -1.231594
53 21.5323882866 -5.000000 -2.448805 1.110040 -0.010043 -5.000000
54 17.5706345936 -3.915975 -5.000000 1.562088 -5.000000 -0.898300
55 32.3900242171 -0.411008 -0.579238 5.000000 -5.000000 0.543784
56 25.7855785147 -5.000000 -2.032775 -5.000000 -5.000000 5.000000
57 22.4123708072 -2.930316 -0.990911 -0.206976 -2.010593 -3.180538
58 36.1188177115 -4.793197 -4.224278 5.000000 -5.000000 -5.000000
59 37.8089945598 -2.936029 -5.000000 -5.000000 -5.000000 -5.000000
60 18.9258852517 -0.802400 -5.000000 0.237235 -5.000000 2.552494
61 22.8390683735 -5.000000 1.313580 -5.000000 5.000000 -5.000000
62 5.1852806882 -5.000000 -5.000000 1.439308 -5.000000 -2.747734
63 15.1701148417 -0.766227 5.000000 -2.818347 -5.000000 4.566768
64 18.8017848766 -5.000000 -5.000000 5.000000 -5.000000 -5.000000
65 15.6339196898 -5.000000 -4.465079 0.069912 -4.275413 -3.526960
66 6.4593767519 -0.410746 3.518410 5.000000 3.126531 5.000000
67 22.7163168935 -5.000000 -5.000000 -4.921013 5.000000 -3.675259
68 20.7437799365 -5.000000 5.000000 5.000000 -5.000000 -5.000000
69 4.2814290030 5.000000 0.258124 5.000000 -4.620015 -2.055830
70 19.6957441492 5.000000 -5.000000 -5.000000 -5.000000 -5.000000
71 10.8564054579 -5.000000 -4.738730 -5.000000 -5.000000 -5.000000
72 15.8033654955 5.000000 -5.000000 3.407195 5.000000 5.000000
73 34.0086529845 -1.909799 -5.000000 5.000000 -5.000000 -1.478055
74 14.9309148584 -2.191334 -5.000000 1.318516 5.000000 -5.000000
75 15.1147977923 -5.000000 -3.269674 -5.000000 -5.000000 -2.871973
76 22.1840029337 -1.796006 -5.000000 -5.000000 -5.000000 -0.124202
77 21.8661519740 -1.469385 5.000000 -0.732409 -5.000000 -3.798968
78 30.7772716176 -2.583539 -2.471945 -2.543620 -5.000000 5.000000
79 11.2105331379 -5.000000 5.000000 -5.000000 -5.000000 -0.280601
80 12.4389823741 -5.000000 5.000000 -1.115891 5.000000 -5.000000
81 19.0560509373 -2.650638 -4.313814 5.000000 -5.000000 -5.000000
82 8.2803595704 5.000000 -4.003272 -0.125171 -3.959555 -5.000000
83 34.2340403175 -0.930274 5.000000 1.252266 5.000000 5.000000
84 19.6379805580 -5.000000 -5.000000 -1.625432 -5.000000 -5.000000
85 11.2155146332 3.611693 -2.468607 0.342026 5.000000 4.389496
86 20.1019984104 -3.163781 -5.000000 -5.000000 -5.000000 -5.000000
87 16.2233424560 -5.000000 -5.000000 -5.000000 -2.114528 -5.000000
88 10.8320107576 5.000000 -5.000000 5.000000 5.000000 -2.536216
89 29.9577160337 3.502024 -2.336833 -4.646686 5.000000 -4.112598
90 12.9287439241 -5.000000 -3.393592 3.955823 -5.000000 -5.000000
91 36.7410991327 0.328453 -5.000000 -5.000000 -5.000000 -0.930708
92 23.3420465172 -4.326387 -2.711872 -1.587709 5.000000 -5.000000
93 29.2698391926 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
94 31.4970557688 3.518940 5.000000 3.332069 -3.936045 -5.000000
95 10.7783343987 -5.000000 1.176076 5.000000 4.705325 5.000000
96 31.2006987174 5.000000 -2.948657 -0.595146 -5.000000 -4.421214
97 18.1187137045 -5.000000 5.000000 -5.000000 3.040469 0.263790
98 26.5114926549 5.000000 -4.130546 -2.576477 -5.000000 -2.100553
99 10.5981397644 -2.572449 5.000000 2.784297 -5.000000 -2.855669
100 31.8073357731 -5.000000 5.000000 4.610724 5.000000 2.226050
101 5.2210507766 -4.269700 -0.483494 5.000000 -5.000000 -5.000000
102 20.1942615317 -2.242531 2.599520 -0.171830 -4.209988 -2.704757
103 9.1916668005 -5.000000 5.000000 -3.438252 0.585131 -2.553137
104 31.3248145355 -1.894583 2.092995 1.509365 2.652646 3.752354
105 15.2860892991 5.000000 -5.000000 5.000000 -5.000000 5.000000
106 19.3270276998 5.000000 -5.000000 -5.000000 -2.208284 -4.374895
107 21.0358186318 5.000000 -5.000000 5.000000 5.000000 -5.000000
108 13.0463671567 4.042792 5.000000 5.000000 -5.000000 -2.893510
109 31.1289568414 -5.000000 5.000000 5.000000 1.144697 -5.000000
110 36.2827513032 5.000000 5.000000 5.000000 5.000000 5.000000
111 13.3550865277 3.447227 -0.444495 -3.157152 1.229888 0.131406
112 22.2359004892 -2.595277 -5.000000 -3.663600 -5.000000 -0.787680
113 33.3233071762 3.630318 -5.000000 -5.000000 5.000000 5.000000
114 30.3557184062 -4.252663 -5.000000 -0.384796 -5.000000 1.578536
115 17.7381438735 0.890366 -5.000000 5.000000 5.000000 -5.000000
116 7.3147324663 5.000000 5.000000 3.393171 -5.000000 -4.883718
117 17.9737793442 -5.000000 -5.000000 5.000000 5.000000 -2.610465
118 30.6250648731 -0.985769 -5.000000 5.000000 -5.000000 5.000000
119 20.2072527020 -3.691603 5.000000 -5.000000 -5.000000 -1.322139
120 29.2535575098 3.329967 -3.113521 -5.000000 -4.745420 5.000000
121 43.3572538493 -1.174069 5.000000 1.927245 -5.000000 -5.000000
122 38.3512993915 5.000000 -5.000000 -4.607805 -5.000000 -0.898202
123 16.2144543981 -4.154450 5.000000 -5.000000 -3.568696 2.427390
124 22.5403093193 5.000000 -5.000000 5.000000 -5.000000 -2.739552
125 10.3370828499 -5.000000 5.000000 1.626014 5.000000 -2.189312
126 11.7698965388 4.483384 -5.000000 -0.202796 -5.000000 -0.239091
127 10.8885792989 -2.262707 -5.000000 5.000000 -5.000000 -5.000000
128 14.7968545998 -1.589866 1.155800 -0.565578 -5.000000 5.000000
129 35.9740308140 -0.555567 5.000000 5.000000 5.000000 0.912828
130 23.6234003331 -5.000000 -3.313858 3.343596 -5.000000 -5.000000
131 42.9553746330 -5.000000 -3.154955 -5.000000 -4.359315 -5.000000
132 26.7882861174 -5.000000 -5.000000 2.958584 -5.000000 -0.767826
133 10.5563360947 -2.088244 5.000000 5.000000 -5.000000 -4.212242
134 20.8678558459 -5.000000 4.075052 -5.000000 -3.723862 4.033445
135 26.8198554467 5.000000 -2.910245 -5.000000 -3.860163 -5.000000
136 12.9721307915 4.521106 -5.000000 -5.000000 -5.000000 -1.912814
137 9.5378420856 -5.000000 5.000000 0.496128 -4.662401 -0.149659
138 30.4783487262 -0.310112 -5.000000 5.000000 -4.401341 -5.000000
139 20.0089087738 -5.000000 -4.550459 5.000000 -5.000000 5.000000
140 7.7132408751 -5.000000 5.000000 -4.460596 -5.000000 -2.887792
141 19.2180739023 5.000000 -5.000000 0.005945 -2.810798 -2.395957
142 17.3376921259 -1.872464 -5.000000 -0.483570 4.749530 -4.185370
143 23.0058512475 -5.000000 1.681582 2.018950 -5.000000 -3.296838
144 16.2522041459 5.000000 -5.000000 5.000000 5.000000 1.628719
145 26.2174378882 0.919992 5.000000 5.000000 -5.000000 -2.748215
146 30.1234117001 5.000000 -5.000000 -5.000000 -3.477720 5.000000
147 14.7883968579 -5.000000 -2.444323 5.000000 -5.000000 -2.454832
148 31.1684594162 0.625505 -2.623965 1.001584 -5.000000 -1.720893
149 29.6180045822 -5.000000 -5.000000 0.071185 -5.000000 -1.644104
150 15.9648225508 4.033069 -5.000000 -5.000000 -5.000000 -5.000000
151 19.2477156812 5.000000 -3.640655 -5.000000 -5.000000 -5.000000
152 27.7851258196 1.056059 0.612355 -0.049373 -2.906130 1.628419
153 5.7894635104 -1.507145 -2.869878 5.000000 5.000000 0.181977
154 22.3001197958 -1.128210 -5.000000 0.397031 -4.590771 -5.000000
155 31.7848375936 -5.000000 -5.000000 -2.249305 -5.000000 0.601492
156 17.3112214608 5.000000 -5.000000 -5.000000 -3.817652 3.505875
157 30.4858076611 -2.803195 3.614508 -2.087532 -4.726451 -5.000000
158 33.5509925125 -5.000000 -0.843600 4.290905 3.453220 5.000000
159 18.5243304191 -5.000000 3.622822 0.881101 -5.000000 -2.816510
160 5.1607748094 -5.000000 -2.438444 -4.422723 -4.809644 0.620869
161 14.2601951695 -0.969329 0.454417 0.197543 -5.000000 -5.000000
162 16.3726301685 -5.000000 -1.910554 -5.000000 -4.807691 -5.000000
163 31.9089088887 -2.403437 -5.000000 5.000000 -5.000000 -5.000000
164 15.0061141431 -1.204323 -5.000000 -5.000000 5.000000 1.881449
165 8.5803167394 3.986203 1.325012 -2.055589 5.000000 -2.958432
166 18.1375921115 -5.000000 0.336320 3.023225 -4.874072 -1.184176
167 39.4237512593 -5.000000 -5.000000 3.991066 -3.616935 -3.508292
168 18.4691155977 -5.000000 -5.000000 -5.000000 -3.544130 -5.000000
169 10.2758443491 5.000000 -5.000000 5.000000 5.000000 5.000000
170 25.4265224186 -2.699032 1.483011 5.000000 -3.381726 -2.973215
171 11.0395431033 -5.000000 -1.555907 -5.000000 -4.506564 5.000000
172 35.4056020858 -5.000000 5.000000 -4.439014 -3.594975 3.193131
173 10.3328036085 -5.000000 -1.885073 0.541262 5.000000 0.056131
174 12.3269532973 -5.000000 -5.000000 5.000000 -5.000000 -2.020628
175 22.7162301693 5.000000 -5.000000 -0.791113 -5.000000 -5.000000
176 22.5266033562 -5.000000 -5.000000 -5.000000 -4.924803 -2.677681
177 15.0247063028 3.435342 -3.881956 -1.542928 -4.898198 2.768934
178 27.9845789475 -5.000000 -1.548880 -4.543607 -0.425066 4.542713
179 30.1419421118 -5.000000 5.000000 -5.000000 5.000000 -5.000000
180 24.8251412282 -5.000000 -0.094772 -5.000000 -5.000000 -2.817955
181 15.3907453614 -5.000000 -5.000000 5.000000 2.398218 -3.874537
182 32.9212454922 5.000000 -5.000000 -2.221622 3.239095 -1.174366
183 13.9112735560 0.903596 0.442457 -3.551436 -3.812641 4.281542
184 11.3964839803 -5.000000 -5.000000 -4.228441 -5.000000 -5.000000
185 8.7710425097 5.000000 -5.000000 5.000000 -1.973743 3.079019
186 30.5342415514 -5.000000 -5.000000 1.229256 -5.000000 5.000000
187 22.4329709478 -1.665795 -5.000000 0.235782 -5.000000 1.666069
188 16.0905289248 -0.364788 -5.000000 -3.725087 -5.000000 5.000000
189 6.6967110795 5.000000 5.000000 5.000000 -5.000000 -5.000000
190 24.2109161287 -5.000000 -5.000000 -2.399582 -4.930304 5.000000
191 9.7030814019 -2.371256 5.000000 0.154888 -5.000000 1.016255
192 17.0647096774 -1.455671 -3.572772 -3.675969 -5.000000 -0.231127
193 7.4577532702 -2.226793 5.000000 0.143635 -4.624320 -5.000000
194 14.3245053211 -2.679942 -2.250658 -1.171468 -5.000000 1.111624
195 45.6529305757 -5.000000 5.000000 5.000000 5.000000 -1.567161
196 21.1848109219 -5.000000 -5.000000 -5.000000 -0.624004 -5.000000
