evaluations raw_y x0 x1 x2 x3 x4
1 103.8475143491 0.488135 2.151894 1.027634 0.448832 -0.763452
2 194.2073561105 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 196.4633834675 2.917250 0.288949 0.680446 4.255966 -4.289639
4 189.6569581409 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 168.1390375179 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 101.9389316232 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 132.2376786588 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 112.6689977333 1.176355 1.120957 1.169340 4.437481 1.818203
9 167.1651016908 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 187.1165423055 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 146.7092328080 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 116.4626415928 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 239.1978943682 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 110.0691417178 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 208.1347585412 4.764595 -0.313488 4.767611 1.048455 2.392636
16 188.2492240546 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 81.2849462927 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 53.7490430024 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 88.2137746156 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 158.0454962546 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 214.3022780246 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 142.1871595451 0.761573 0.920419 0.722519 -2.769184 4.527490
23 97.4013728594 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 97.0975963520 -1.034943 3.811032 0.812729 3.817354 1.925316
25 137.9657557765 2.252543 0.013244 4.560836 1.439902 -0.761450
26 161.9366873306 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 89.2170866703 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 94.9995187707 0.908728 0.743252 1.532008 1.521033 -0.685816
29 143.7697861542 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 220.0425616305 2.038886 -3.997731 4.194826 2.142413 4.988470
31 136.6569759614 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 154.0059974978 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 134.9807327346 1.974288 -0.464573 2.220556 3.663823 4.755215
34 234.8743005525 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 224.6768739711 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 209.5784251834 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 124.2231656460 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 94.9786583312 1.139660 0.356328 0.899100 2.301220 -1.880550
39 108.0036440087 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 174.3337133827 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 168.9836738319 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 75.7195990162 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 188.9439669770 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 139.5478015497 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 105.3540309086 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 129.2363342274 4.527917 1.874883 -2.844923 4.473706 2.308558
47 175.9292785251 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 120.9279501389 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 205.6133123387 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 118.0870088446 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 130.7759283899 -1.443873 4.404319 2.653253 2.486636 4.037197
52 76.0772036259 0.710911 0.111625 -1.465846 0.185875 1.807400
53 285.3742715533 -5.000000 -1.796988 5.000000 -5.000000 -2.063606
54 147.4231092954 -3.319186 -0.772667 -0.059761 -5.000000 0.613222
55 178.7484726800 -4.960989 5.000000 -5.000000 0.205431 5.000000
56 212.4668088715 5.000000 -0.653728 -5.000000 -2.262435 5.000000
57 171.8778701592 -2.298311 5.000000 -3.813973 -5.000000 5.000000
58 198.9003478779 -5.000000 2.055560 1.666482 -5.000000 5.000000
59 148.4741787411 -2.397580 5.000000 -5.000000 0.106048 5.000000
60 176.3853219106 -5.000000 5.000000 -2.761726 -5.000000 2.284387
61 173.2325384518 -5.000000 5.000000 -5.000000 5.000000 5.000000
62 312.5782761675 5.000000 3.754955 5.000000 -5.000000 4.699198
63 253.3748996922 5.000000 -3.324764 -5.000000 -1.454495 2.783854
64 286.7587976923 5.000000 5.000000 -5.000000 5.000000 -5.000000
65 131.1555556357 -5.000000 1.650536 -4.216950 -1.067709 5.000000
66 183.6149008670 -5.000000 1.725090 -5.000000 -5.000000 3.900470
67 175.1908478103 -5.000000 -2.197268 2.351949 1.553838 5.000000
68 147.3545421431 -3.072770 3.376375 5.000000 2.690525 5.000000
69 210.7811101631 -0.089346 -5.000000 -5.000000 -1.920233 4.394758
70 198.6735239412 -5.000000 5.000000 -5.000000 5.000000 -4.902401
71 206.8181030977 -5.000000 -5.000000 -5.000000 5.000000 5.000000
72 238.1883382608 5.000000 -5.000000 -2.742624 2.336625 5.000000
73 308.9213746818 -5.000000 -5.000000 -1.482926 -5.000000 -5.000000
74 238.5143373673 -1.985198 2.067328 -5.000000 -5.000000 -5.000000
75 127.2703641051 -5.000000 0.598231 -5.000000 3.396320 5.000000
76 326.8172068047 -1.326655 -5.000000 -5.000000 -5.000000 -5.000000
77 114.2274797590 -3.651004 5.000000 -5.000000 5.000000 -0.162477
78 208.8098871303 -2.364156 -5.000000 -5.000000 5.000000 5.000000
79 223.3273434405 -5.000000 -3.877879 -5.000000 1.034632 -5.000000
80 216.9368836081 5.000000 -2.947424 -5.000000 5.000000 5.000000
81 243.2170723704 -2.408381 2.792229 5.000000 -5.000000 5.000000
82 169.1893492423 -5.000000 -1.685837 -5.000000 5.000000 -1.034653
83 310.0008674945 5.000000 -3.804102 -5.000000 -5.000000 5.000000
84 76.8310958721 -1.436711 5.000000 -3.052321 2.577622 5.000000
85 207.2354036045 5.000000 -1.081600 1.957389 5.000000 5.000000
86 200.8591592244 -1.709551 5.000000 -5.000000 -5.000000 5.000000
87 213.9309506406 -5.000000 -3.287286 5.000000 -3.661021 1.988989
88 248.2001201076 5.000000 4.975182 -5.000000 -5.000000 3.732216
89 99.1481927543 -5.000000 -0.809456 -1.823061 5.000000 0.042242
90 198.3845247176 -0.264684 -0.824147 0.838730 4.877319 -5.000000
91 132.6807059305 -0.825781 1.906152 -5.000000 5.000000 4.273496
92 190.1184544291 5.000000 1.977702 -4.887548 2.823408 5.000000
93 113.4470023345 -5.000000 5.000000 0.116577 1.273436 4.956965
94 256.4420078492 5.000000 5.000000 -4.115994 -5.000000 5.000000
95 245.9480704418 5.000000 -5.000000 -1.786409 0.772306 5.000000
96 201.1240714984 -5.000000 -5.000000 -0.518065 -2.702309 5.000000
97 410.4053606881 5.000000 -5.000000 5.000000 5.000000 -5.000000
98 294.0314656772 -5.000000 -1.928516 5.000000 -5.000000 5.000000
99 160.6456013540 -2.350489 5.000000 -2.827639 -5.000000 3.741670
100 182.6535744885 -5.000000 -0.880845 -5.000000 5.000000 -3.932677
101 145.8572119559 0.287213 2.649823 -5.000000 -1.067486 5.000000
102 98.5666476190 -2.138198 -0.210800 3.833542 0.674064 3.969309
103 87.4331680364 -2.848746 2.451312 -5.000000 -0.588665 5.000000
104 103.0651082824 -1.894583 2.092995 1.509365 2.652646 3.752354
105 290.3279973686 2.001458 4.708056 5.000000 -5.000000 3.432127
106 265.7790968117 -0.612120 -5.000000 2.065461 -5.000000 5.000000
107 157.9718889369 -5.000000 5.000000 -5.000000 3.836350 5.000000
108 191.8631853292 2.435627 5.000000 -3.848959 -5.000000 4.780828
109 227.7888743529 -1.969568 -0.677593 5.000000 -5.000000 3.483663
110 303.1035983074 5.000000 2.674277 5.000000 -4.569517 5.000000
111 138.1688139606 3.447227 -0.444495 -3.157152 1.229888 0.131406
112 154.6799303358 4.197589 5.000000 -0.749326 5.000000 4.143859
113 410.2000921640 5.000000 -5.000000 -5.000000 -4.991104 -5.000000
114 181.8019273521 -1.434508 -5.000000 -4.582433 5.000000 -2.793357
115 214.9052833962 3.528941 -5.000000 0.374917 -5.000000 -5.000000
116 128.4485916848 -5.000000 5.000000 -4.233903 2.649218 5.000000
117 152.0671571044 -0.535792 -2.317923 -5.000000 -3.595164 5.000000
118 183.9117939488 -5.000000 -1.473656 -5.000000 -5.000000 5.000000
119 190.3752285796 -4.394464 -5.000000 -5.000000 5.000000 2.841411
120 213.7785646011 1.780442 -0.627616 -5.000000 -5.000000 5.000000
121 168.1588983376 5.000000 5.000000 -4.295924 5.000000 1.600089
122 249.2334784598 5.000000 -3.562376 -5.000000 5.000000 4.371228
123 194.1732306499 -5.000000 3.346301 -5.000000 -2.698733 5.000000
124 208.0587457861 5.000000 5.000000 -4.324309 -1.251107 5.000000
125 243.8010534119 -5.000000 -5.000000 -4.596626 -5.000000 0.731455
126 243.1138617685 5.000000 -1.654608 -5.000000 5.000000 5.000000
127 255.8928300774 -3.332324 -5.000000 -4.387251 -5.000000 5.000000
128 194.9360063981 4.366333 5.000000 -3.963742 4.761187 5.000000
129 117.9684134689 -2.932449 5.000000 -4.459677 5.000000 5.000000
130 123.3416340993 1.375191 0.114878 -5.000000 5.000000 -0.557483
131 188.7600183231 -5.000000 -2.458771 5.000000 1.791503 0.798233
132 139.4499108953 -5.000000 4.232583 -3.118456 5.000000 5.000000
133 198.2793857780 1.578609 5.000000 -2.607372 -5.000000 1.616904
134 288.5382553577 5.000000 -5.000000 -5.000000 -2.876324 1.245753
135 154.7576916177 -1.721364 0.096031 1.258436 -0.373834 -5.000000
136 206.0830943065 -5.000000 -0.597907 -5.000000 -3.816833 -3.739837
137 168.8158343477 -4.155686 -5.000000 -3.630989 1.065370 4.974599
138 216.3960310411 3.356861 -5.000000 -5.000000 2.776781 5.000000
139 237.3106047258 5.000000 5.000000 5.000000 3.646906 5.000000
140 215.1897004714 5.000000 0.339200 -5.000000 5.000000 5.000000
141 138.3317262641 -5.000000 -1.468648 -3.739387 2.937570 5.000000
142 184.9501960677 -5.000000 -5.000000 -2.361022 5.000000 4.456037
143 278.6294228737 -1.773171 -5.000000 5.000000 5.000000 5.000000
144 246.5886462633 5.000000 1.483006 -5.000000 1.901458 -5.000000
145 111.1836527651 -4.586262 5.000000 -2.354501 5.000000 5.000000
146 240.6001159828 -5.000000 -5.000000 5.000000 1.704751 5.000000
147 139.7676464820 0.279113 1.269833 -5.000000 -3.593884 5.000000
148 174.3003483219 -4.006436 -5.000000 -1.054870 -1.680098 5.000000
149 255.5872178915 5.000000 5.000000 -4.023928 4.407652 -5.000000
150 182.1609771184 -5.000000 -3.730859 -5.000000 5.000000 5.000000
151 259.5793999783 5.000000 2.399709 3.247645 1.877311 -5.000000
152 71.8047253154 1.006926 -0.049657 1.101514 0.465303 -2.389752
153 158.5865372447 4.798194 0.302138 -5.000000 -2.647994 1.433758
154 94.5392361638 -2.657674 5.000000 0.374463 0.361697 5.000000
155 142.5113711785 -5.000000 -0.593252 -4.164124 5.000000 4.300231
156 166.1270096747 -5.000000 -5.000000 -1.465786 1.557191 5.000000
157 249.7507321602 5.000000 3.676054 5.000000 5.000000 5.000000
158 346.0824092362 -5.000000 5.000000 5.000000 -5.000000 -5.000000
159 203.0945735748 4.922522 5.000000 -3.989300 5.000000 5.000000
160 171.4201764615 5.000000 0.086180 0.326961 0.453212 -5.000000
161 249.8929302915 -5.000000 -3.391975 -5.000000 -5.000000 5.000000
162 128.8744886910 -5.000000 5.000000 -5.000000 1.699911 5.000000
163 296.6606826726 5.000000 -4.539059 5.000000 5.000000 4.536464
164 104.3968688574 -2.030586 2.486159 -5.000000 -1.371715 1.225084
165 238.0930940941 5.000000 5.000000 0.876909 -5.000000 4.263612
166 241.9163017735 4.796377 3.521919 -3.889016 0.975593 -5.000000
167 219.0785380501 5.000000 0.550352 -5.000000 5.000000 5.000000
168 209.4941576984 -0.310473 0.087335 -5.000000 -5.000000 5.000000
169 162.5324224703 -5.000000 -5.000000 -4.048511 -0.937340 0.526282
170 199.8653683586 5.000000 2.483882 -5.000000 1.656833 5.000000
171 189.9206733129 -0.207677 -5.000000 -5.000000 -2.568114 4.459492
172 256.0681295251 4.443412 5.000000 5.000000 5.000000 5.000000
173 189.3771242450 -5.000000 5.000000 -2.696649 -5.000000 5.000000
174 99.0594500775 -0.429664 5.000000 -3.460172 5.000000 5.000000
175 237.6260133707 5.000000 -5.000000 -1.229008 0.745148 5.000000
176 272.7858050404 5.000000 -5.000000 -5.000000 0.988964 4.411231
177 120.9892994916 -3.618404 2.810427 -5.000000 0.816064 -3.127277
178 153.9589191728 3.871009 -2.932752 -5.000000 0.953052 4.773314
179 234.2108236288 -3.137921 2.264840 5.000000 -5.000000 4.505234
180 224.1263265094 2.750527 -1.114153 -1.459794 -5.000000 4.294909
181 172.3338906992 -1.461219 5.000000 5.000000 -0.040960 -0.114798
182 191.3981474826 -5.000000 5.000000 -4.309673 5.000000 -5.000000
183 129.6491805248 0.903596 0.442457 -3.551436 -3.812641 4.281542
184 115.0938089616 -1.415370 5.000000 -4.040213 1.153675 -3.648201
185 192.0344848883 -5.000000 -1.075090 -5.000000 5.000000 -4.305722
186 56.3973068222 -5.000000 1.113174 -3.840802 0.601960 3.482504
187 257.5586517507 -5.000000 -5.000000 -3.549370 -5.000000 5.000000
188 162.1356810918 -2.097107 2.574631 2.618787 -3.445831 5.000000
189 159.8982655350 -0.822744 -5.000000 -1.483244 5.000000 5.000000
190 115.3533552939 -3.367221 -1.636101 -5.000000 1.628579 2.156201
191 155.6133820772 -2.736894 3.348885 -4.007259 -4.423738 0.692888
192 199.8568663169 -5.000000 5.000000 5.000000 1.932357 3.343842
193 163.4820322150 -2.925830 5.000000 0.127053 -4.327670 5.000000
194 141.1471154604 -1.517354 -3.334500 -4.792268 -2.130093 3.866642
195 267.4098057287 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
196 174.4451354291 -3.618316 -5.000000 -5.000000 5.000000 5.000000
197 167.5187151626 2.090359 0.014691 -0.152701 -4.499225 5.000000
198 227.4880451329 -4.282722 -5.000000 -2.087658 -2.968826 5.000000
199 103.0435247797 0.875716 3.034331 -1.158448 5.000000 5.000000
200 227.3663479888 -5.000000 5.000000 -5.000000 5.000000 -5.000000
201 175.3998944877 5.000000 5.000000 1.065059 1.146426 5.000000
202 120.9991674097 -0.842734 0.214970 -2.512583 -0.515916 -3.565161
203 194.3997297971 -5.000000 0.883906 -4.435029 -5.000000 5.000000
204 216.5340138772 5.000000 4.224157 -5.000000 5.000000 -2.103238
205 199.3746033237 -5.000000 -0.720007 5.000000 1.433823 -2.315693
206 207.3180150771 5.000000 -5.000000 -4.540685 -1.202393 0.401033
207 177.4152391231 5.000000 -0.043694 -1.122454 1.489945 5.000000
208 218.3893769427 -5.000000 5.000000 -5.000000 -5.000000 -2.515268
209 206.3835322683 -1.377707 5.000000 -5.000000 -5.000000 -0.951010
210 182.0205675572 -2.257276 -5.000000 -5.000000 1.764867 -0.972074
211 221.4229064564 5.000000 -5.000000 -1.592399 -3.740768 0.900885
212 234.1025820132 -5.000000 1.650450 -3.504406 -5.000000 -5.000000
213 216.8624997857 -0.802660 -5.000000 -4.025736 -5.000000 5.000000
214 148.2644647072 3.609106 3.375067 -0.128993 -1.475557 3.252802
215 295.4554065019 3.955154 -5.000000 -5.000000 -5.000000 2.189240
216 249.9061842490 5.000000 -5.000000 -2.032317 5.000000 5.000000
217 188.1132912717 -5.000000 -5.000000 -3.040289 -2.210714 2.111955
218 237.4648313078 4.960799 -5.000000 -1.739777 5.000000 5.000000
219 215.4683788296 -2.401484 1.003981 5.000000 -5.000000 2.684685
220 259.8811631842 -5.000000 -5.000000 5.000000 1.924648 4.870702
221 210.7630115157 -5.000000 -5.000000 0.127611 -3.098742 4.782543
222 203.6051728297 -1.212530 0.665766 5.000000 5.000000 3.633700
223 189.5036937810 -5.000000 -1.603924 -4.724820 -1.953891 5.000000
224 185.6893294884 -5.000000 1.604257 5.000000 1.807225 5.000000
225 274.6359234175 5.000000 1.173927 5.000000 1.243185 -5.000000
226 208.6710719081 -5.000000 2.126086 -5.000000 0.095928 -5.000000
227 259.8853470858 4.042183 1.175031 5.000000 -4.213064 5.000000
228 174.5649844754 5.000000 5.000000 -1.483701 5.000000 0.584553
229 317.0294253090 5.000000 -5.000000 -5.000000 -4.160374 4.950269
230 267.4098057287 -5.000000 -5.000000 -5.000000 -5.000000 5.000000
231 171.6782856910 -2.317981 -5.000000 -5.000000 0.759983 4.363563
232 204.5010865318 -0.249627 -5.000000 -5.000000 5.000000 3.664137
