evaluations raw_y x0 x1 x2 x3 x4
1 6277177.9882798381 0.488135 2.151894 1.027634 0.448832 -0.763452
2 5003025.6021341505 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 3026715.9400247037 2.917250 0.288949 0.680446 4.255966 -4.289639
4 50706689.5626905411 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 1204421.7497102143 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 5703632.0401734933 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 3594096.4635796961 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 25013398.1599834301 1.176355 1.120957 1.169340 4.437481 1.818203
9 22441357.9218865447 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 2537830.4125880287 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 160161.8455394233 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 399939.5056853985 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 89764.9167532232 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 1842783.4023133605 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 29703536.4488679469 4.764595 -0.313488 4.767611 1.048455 2.392636
16 471957.1156155779 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 14259189.0880563110 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 59280322.1665838435 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 1517871.1902511364 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 4657894.3394079711 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 1933951.3919816052 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 61871233.4771607369 0.761573 0.920419 0.722519 -2.769184 4.527490
23 40295388.7005296424 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 25639889.5732841529 -1.034943 3.811032 0.812729 3.817354 1.925316
25 6453647.4756438173 2.252543 0.013244 4.560836 1.439902 -0.761450
26 1374332.8345715587 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 14033242.9293188695 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 6872053.5586693296 0.908728 0.743252 1.532008 1.521033 -0.685816
29 40208353.0223747417 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 66915969.9538832307 2.038886 -3.997731 4.194826 2.142413 4.988470
31 726846.4272855611 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 1793097.4739390383 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 65293869.1533936560 1.974288 -0.464573 2.220556 3.663823 4.755215
34 666807.2478000711 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 37244545.0006421953 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 3526129.9308509948 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 59639063.1501821205 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 2366565.8213213095 1.139660 0.356328 0.899100 2.301220 -1.880550
39 30902314.0198883638 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 6792877.8887193995 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 3221519.5543283876 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 54516822.0274428278 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 3290762.1977566709 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 43519674.7684142292 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 815090.3701726733 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 29898204.3230932541 4.527917 1.874883 -2.844923 4.473706 2.308558
47 231034.5638306345 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 15504135.9470841419 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 26977556.1173358373 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 8670042.5809840579 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 56043217.4467110187 -1.443873 4.404319 2.653253 2.486636 4.037197
52 2907586.4543176224 1.033383 -1.870772 0.564339 -0.885527 -1.277433
53 24512618.2909545079 5.000000 -1.747421 -3.147812 -5.000000 1.895267
54 1599418.1110627160 -5.000000 -5.000000 0.896630 -5.000000 -1.995837
55 42344103.5634084120 -5.000000 4.461846 -5.000000 -5.000000 3.241956
56 4138806.7239608513 -5.000000 -3.625508 -5.000000 -5.000000 -5.000000
57 343338.8659096791 -3.624153 0.542358 0.964859 -5.000000 -2.785429
58 4138408.0474485029 -5.000000 -2.595548 -5.000000 -5.000000 -5.000000
59 827461.3647315315 -3.890851 0.392566 -5.000000 -5.000000 -3.879041
60 66828803.1300630644 -3.607794 -5.000000 3.509282 1.485222 5.000000
61 68209292.1637674421 3.086710 5.000000 -5.000000 5.000000 5.000000
62 286389.4175805186 1.827759 -4.330787 -5.000000 -5.000000 -3.072677
63 12538841.9703430366 2.019005 5.000000 1.704430 -5.000000 0.496207
64 66679384.4366721138 5.000000 3.399082 0.029057 -5.000000 5.000000
65 2776281.0190366851 2.224007 -5.000000 1.444499 -5.000000 -4.537108
66 3882447.7963454123 -2.811514 -5.000000 5.000000 -2.825133 -5.000000
67 5608332.7893575672 -5.000000 -3.932340 3.873600 5.000000 -5.000000
68 4106446.5790777113 0.457456 -5.000000 0.044563 -5.000000 -5.000000
69 1032302.6478797065 5.000000 -5.000000 3.873629 -0.985424 -4.073627
70 4118539.5760494010 -5.000000 -5.000000 5.000000 -5.000000 -5.000000
71 4115369.6155181401 -5.000000 -5.000000 5.000000 -4.983117 -5.000000
72 1087432.0731526602 -5.000000 -5.000000 -0.880446 -5.000000 -2.131282
73 66713086.1019610316 2.705181 -0.835244 -5.000000 -5.000000 5.000000
74 23786378.1629771553 -1.579238 5.000000 4.785096 -5.000000 1.813998
75 4121671.5368458922 3.654901 -2.746416 -4.709890 0.525934 -5.000000
76 68205848.5890492499 -5.000000 -2.641682 -4.521244 5.000000 5.000000
77 68189354.5771399587 -5.000000 -2.850824 5.000000 5.000000 5.000000
78 9033303.8329443093 -3.288325 -5.000000 0.648203 -1.034658 -0.020355
79 66463311.0294083953 5.000000 -4.451286 -1.157946 -3.065797 5.000000
80 5636383.0874558892 -4.368951 -5.000000 -5.000000 5.000000 -5.000000
81 4062471.0870686993 -3.437255 -4.617268 5.000000 0.223217 -5.000000
82 66990604.6736096740 5.000000 4.902859 5.000000 2.050391 5.000000
83 5607226.3932133429 -0.969615 0.753553 -1.612756 5.000000 -5.000000
84 5610218.3190375455 -5.000000 -0.180230 -2.030464 5.000000 -5.000000
85 67989163.3007585704 -5.000000 -4.529232 4.141027 4.618934 5.000000
86 66677715.7239876166 -2.830844 5.000000 1.178258 -5.000000 5.000000
87 66466136.7084649205 -5.000000 -5.000000 -5.000000 -1.934880 5.000000
88 8044970.3308652788 -5.000000 -4.103303 -2.107337 -1.292071 -0.275521
89 2105350.6286930670 -5.000000 -2.769829 5.000000 5.000000 -3.716152
90 22174602.8671020865 5.000000 -3.616854 5.000000 -4.989959 1.623074
91 357786.5202883559 0.769599 -3.188790 5.000000 -5.000000 -3.384021
92 4054116.8776691174 -5.000000 -5.000000 5.000000 0.176474 -5.000000
93 66621328.0449561551 -5.000000 3.732233 5.000000 -4.566575 5.000000
94 7233414.3106636303 -5.000000 5.000000 -5.000000 -5.000000 -0.581393
95 63163246.5372245982 5.000000 4.139139 -5.000000 -5.000000 4.620708
96 404553.5516269966 5.000000 4.775083 -5.000000 -5.000000 -2.737373
97 68201882.2617362291 5.000000 -0.641468 -4.112858 5.000000 5.000000
98 4102903.8574346001 5.000000 3.519616 1.836150 -5.000000 -5.000000
99 288797.7237306142 -4.852180 -5.000000 -5.000000 -5.000000 -3.038477
100 4116537.5897432528 0.846532 -1.566316 4.943990 -5.000000 -5.000000
101 4842307.8163763750 -5.000000 -5.000000 5.000000 3.477340 -5.000000
102 128196.5584181533 -3.108089 3.532891 -1.475882 -3.211313 -2.805425
103 484623.8224614764 -5.000000 -5.000000 -5.000000 -4.960034 -3.527207
104 51542361.5217883140 -1.894583 2.092995 1.509365 2.652646 3.752354
105 4116376.4030602281 5.000000 1.471797 5.000000 -5.000000 -5.000000
106 2033925.8415753869 -5.000000 -5.000000 5.000000 5.000000 -3.621183
107 4075415.6752782944 -5.000000 -5.000000 0.624368 5.000000 -4.477192
108 411806.3331771240 5.000000 -5.000000 -5.000000 0.865795 -2.771910
109 39817258.0565652400 -5.000000 4.928623 -5.000000 -5.000000 3.092387
110 66693697.4981529340 4.577645 -5.000000 5.000000 -5.000000 5.000000
111 10112861.8636951670 3.447227 -0.444495 -3.157152 1.229888 0.131406
112 4107636.4228377212 -5.000000 -5.000000 -0.302739 -5.000000 -5.000000
113 66688623.8266122565 -4.391121 -4.858436 -1.779501 -5.000000 5.000000
114 4103340.3493191390 -1.773649 -1.749955 1.190124 -5.000000 -5.000000
115 3868396.1046540914 -1.979230 -5.000000 -0.432406 -2.710456 -5.000000
116 53606779.8865685165 -5.000000 -5.000000 -5.000000 -4.871023 3.906092
117 3963235.7414002218 5.000000 5.000000 5.000000 -3.737722 -5.000000
118 39358297.1875041202 -5.000000 -1.185236 -5.000000 5.000000 2.972654
119 6472159.3944017906 -5.000000 -3.384936 -2.929964 -5.000000 -0.736209
120 4117630.0242589354 -2.935117 -3.437430 5.000000 -5.000000 -5.000000
121 2629580.8194019757 -5.000000 5.000000 1.662692 -5.000000 -1.405242
122 774468.2807471690 5.000000 0.632224 -4.307051 -5.000000 -3.848976
123 5616543.7535640970 -5.000000 -5.000000 -2.610200 5.000000 -5.000000
124 206451.6602243452 5.000000 -5.000000 -5.000000 -3.396837 -2.762703
125 13080683.7761748247 -5.000000 -5.000000 -5.000000 -5.000000 0.557805
126 3976483.0650316514 5.000000 -5.000000 0.869107 -0.128539 -5.000000
127 4675761.1623447668 -3.557746 -5.000000 -5.000000 2.934360 -5.000000
128 498601.8435807867 -0.927282 -0.333708 2.600858 1.092940 -3.506384
129 4002355.0629174551 -0.944622 3.398332 5.000000 -4.179942 -5.000000
130 364834.7043601712 -5.000000 -5.000000 5.000000 -5.000000 -2.776532
131 23214709.3621367142 -5.000000 -5.000000 5.000000 -2.410303 1.775890
132 68175751.5600121766 -5.000000 5.000000 2.312589 5.000000 5.000000
