evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 105467.4678195855 0.488135 2.151894 1.027634 0.448832 -0.763452 1.458941 -0.624128 3.917730 4.636628 -1.165585
2 128937.6571217065 2.917250 0.288949 0.680446 4.255966 -4.289639 -4.128707 -4.797816 3.326198 2.781568 3.700121
3 112251.4917872448 4.786183 2.991586 -0.385206 2.805292 -3.817256 1.399210 -3.566467 4.446689 0.218483 -0.853381
4 65273.4267913766 -2.354444 2.742337 -0.438497 0.684339 -4.812102 1.176355 1.120957 1.169340 4.437481 1.818203
5 1070719.5762201836 -1.404921 -0.629680 1.976312 -4.397745 1.667667 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
6 488443.6218245928 0.701968 -0.613985 4.883738 -3.979552 -2.911232 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
7 302419.0902055238 -3.410304 -3.896249 1.563296 -3.618170 -3.034176 -1.312748 3.209932 -4.028987 3.379449 -4.039016
8 1700435.1267290413 4.764595 -0.313488 4.767611 1.048455 2.392636 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
9 445989.0930869404 -1.820168 -0.857370 -4.358525 1.924721 0.666015 -2.346105 0.232481 -4.060595 0.759465 4.292962
10 348002.3155783214 -1.814310 1.674104 -3.682021 2.163272 -2.105939 -3.168086 0.865129 -4.798925 3.289400 -4.953045
11 539121.8499485446 1.778165 -2.299920 2.351940 4.621885 -2.512469 0.761573 0.920419 0.722519 -2.769184 4.527490
12 337935.0488613067 -0.528746 3.464087 1.994793 -2.025630 3.137978 -1.034943 3.811032 0.812729 3.817354 1.925316
13 961010.7733377768 2.252543 0.013244 4.560836 1.439902 -0.761450 1.063932 -4.808068 -1.984252 1.601735 -2.099224
14 150622.0984799511 1.180154 -0.712313 -3.645259 -2.017177 0.699649 0.908728 0.743252 1.532008 1.521033 -0.685816
15 309490.7607993213 3.965466 -1.324381 -0.641351 3.919234 3.061940 2.038886 -3.997731 4.194826 2.142413 4.988470
16 547544.7243994534 -3.505517 3.681261 -3.375071 1.155596 -3.761800 3.480082 3.073190 0.691007 -0.928167 -4.308330
17 1081705.9036651526 1.974288 -0.464573 2.220556 3.663823 4.755215 3.558033 -4.882859 -1.400219 2.299906 -3.283703
18 581401.2369926983 0.210366 -4.456620 -3.000035 -4.814782 2.936977 -2.760753 -1.546483 4.280813 2.044144 -4.681611
19 448141.3456516591 -3.353058 1.214784 0.772286 -2.621072 4.342140 1.139660 0.356328 0.899100 2.301220 -1.880550
20 798612.1419025246 -1.017789 -2.901563 -3.138070 4.443724 2.395508 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
21 62579.2502523787 -1.882041 1.963435 -1.222482 -3.203963 -4.753213 -4.327504 1.793928 -0.463032 0.365792 3.966713
22 353277.8881060722 4.903389 -2.831030 1.630782 -2.366776 -4.793490 2.583787 -1.799828 -1.165361 0.883171 3.310485
23 324699.6036901435 1.289818 3.726507 -2.264580 2.980468 -3.143641 4.527917 1.874883 -2.844923 4.473706 2.308558
24 374199.2717623111 -2.460584 -2.866880 0.182007 -4.743373 -2.925299 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
25 1046143.4871706755 3.638556 -3.824681 0.173791 -3.679319 2.168597 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
26 378269.5282499320 -1.443873 4.404319 2.653253 2.486636 4.037197 -4.165776 0.521925 0.844761 4.619364 -2.078525
27 580689.5362348332 -2.591712 -3.997061 -4.835704 4.295293 1.699165 2.851529 -2.182699 0.864102 -4.360447 -0.143724
28 222665.9599648818 4.774951 3.765052 -1.618410 4.615702 -2.682984 4.493188 4.413777 2.992026 1.304479 3.742880
29 259770.4648400501 -2.069797 3.489436 1.178767 -4.867631 -1.527665 -3.518591 4.818294 -0.216297 -0.026086 1.394725
30 513264.3592707529 -1.314154 -3.630997 3.221177 -3.101521 0.113190 -2.756830 -4.021555 3.621915 4.729195 4.608347
31 587019.5564957580 4.065555 2.740473 -1.668548 -4.188986 -0.927588 -2.677659 -3.675124 -4.465728 2.255944 -4.885725
32 321854.7279422632 2.705807 -3.530534 -4.204779 -4.103970 1.720478 -2.546328 -0.794605 0.573688 3.605512 2.270443
33 370245.2746012107 -2.296721 -3.685172 -4.446257 -1.984014 -2.378819 -0.438594 1.832813 1.956254 -2.164812 -1.200730
34 366136.4271242219 -3.188490 2.885455 -4.431519 1.969972 2.786954 2.774076 -2.405774 -1.261869 0.875996 -2.271781
35 555477.9801657713 -1.291472 -3.029457 -0.401441 -4.553877 2.997959 -4.230436 0.188351 -1.931899 0.775429 4.594333
36 687064.1507127410 1.455702 -4.646376 -0.695976 0.100169 0.361775 1.813925 -2.224039 -3.711394 -1.073243 4.564057
37 553132.5454989350 -3.128691 4.039840 0.438060 -0.430886 3.820414 -0.413960 2.241676 -1.009747 4.040444 1.900250
38 118223.3971243529 1.996221 -1.722796 2.567786 1.360611 -2.599797 -3.394612 2.963915 4.591666 -0.418612 0.909842
39 1074964.3538138506 3.577226 -0.427765 4.518745 0.757512 3.207671 4.088437 3.155238 -3.405855 1.288984 -1.015657
40 1015267.8461424748 -4.372870 -0.759677 -2.413159 3.490383 -4.666954 4.589827 -1.446312 -1.432931 -4.836715 -3.147677
41 562740.8347784246 -0.987405 4.292914 -4.003851 4.453015 3.694885 -0.458376 -1.732991 -2.672559 1.144647 -4.669254
42 579098.5960203889 -4.843939 -0.712043 -4.319259 -2.480590 -2.788391 -2.468088 -3.689448 -4.879638 -3.845157 1.184803
43 558131.6642358076 4.742562 4.903450 -0.909459 -3.370456 1.387618 -0.096947 4.894098 -4.346958 2.832344 -2.116015
44 207618.0692251108 -2.585814 1.625046 -2.539368 1.658591 0.173085 -0.759110 0.546878 -2.129485 2.065747 -0.851431
45 33673.3233086374 -1.394544 3.286569 4.249669 -4.539927 -2.673730 -1.514806 3.149665 4.854914 4.689717 4.049483
46 918064.6325334675 -2.034437 4.920112 -2.505800 -3.940938 4.509526 -2.665797 1.897683 -4.416436 2.307091 3.817202
47 226931.4048500054 -2.275631 -1.209431 -1.257038 2.487883 -2.621928 -3.281469 -0.507084 -1.955316 3.391891 -2.622582
48 345542.0112649756 0.023895 4.425836 1.339977 3.672894 4.402097 2.507649 1.995751 4.679656 4.944008 -0.481783
49 239345.5292457383 -4.291302 -2.072060 -3.476453 -0.825136 -3.687107 1.041178 -1.171919 3.953859 4.677947 0.468849
50 614188.3675463782 -2.251764 0.922304 3.967612 -0.932667 0.520783 -2.283472 -0.445559 -0.982865 -2.515865 0.058664
51 853516.0736481623 -1.896192 -1.269651 0.249704 2.505950 -1.664925 4.241588 3.623185 -4.513097 -2.463575 -0.538645
52 529904.0082229965 -0.336051 0.917665 3.811915 -2.526454 -1.862576 0.029021 -1.981895 4.813800 -3.476086 -0.231143
53 364535.9875458910 -5.000000 3.411603 5.000000 -5.000000 5.000000 -5.000000 5.000000 1.764436 5.000000 -5.000000
54 657219.7008030518 3.709652 2.569040 5.000000 -5.000000 5.000000 5.000000 1.218016 5.000000 5.000000 -4.933508
55 1243461.2683690062 2.105791 -5.000000 -5.000000 -0.687672 5.000000 -1.159440 -5.000000 -5.000000 4.346171 5.000000
56 1011636.9497089465 -3.337359 1.607807 1.447847 -5.000000 0.121150 0.053754 5.000000 5.000000 -5.000000 5.000000
57 1196972.8017119179 5.000000 4.664855 5.000000 3.931198 1.125412 5.000000 5.000000 -5.000000 5.000000 5.000000
58 318977.0317936492 -5.000000 -3.301641 -2.061311 5.000000 -5.000000 -5.000000 5.000000 2.458128 5.000000 -0.822921
59 1404176.5517829889 0.148762 5.000000 5.000000 5.000000 5.000000 5.000000 -0.716911 -1.808401 5.000000 -5.000000
60 135636.9854403226 5.000000 -5.000000 3.186451 -3.751051 3.081313 -2.321622 5.000000 4.808126 5.000000 5.000000
61 142997.1547925995 4.557317 5.000000 -1.070974 -5.000000 1.158641 -1.336086 5.000000 4.379271 3.806802 3.969978
62 1124775.6767205568 2.030390 5.000000 1.537496 5.000000 -2.974644 5.000000 5.000000 2.211706 -4.641870 -5.000000
63 113708.6885045420 -1.696919 3.333918 4.471277 -3.895880 1.712941 -2.574517 4.300085 5.000000 4.916706 1.866347
64 94284.1658789467 2.201549 4.700748 -5.000000 -5.000000 -5.000000 -5.000000 -4.065845 5.000000 -5.000000 3.034019
65 309144.8455323873 1.570797 -1.468107 -5.000000 -4.003203 -3.138685 -1.332787 -4.526653 -5.000000 1.584956 5.000000
66 17224.4265308045 5.000000 -3.804466 5.000000 -5.000000 -5.000000 -5.000000 5.000000 5.000000 5.000000 3.689298
67 1055801.4675093829 -2.103058 -5.000000 -5.000000 -5.000000 -2.787644 4.361060 5.000000 5.000000 -5.000000 2.208258
