evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9
1 426.7359586350 0.488135 2.151894 1.027634 0.448832 -0.763452 1.458941 -0.624128 3.917730 4.636628 -1.165585
2 1730.6381292892 2.917250 0.288949 0.680446 4.255966 -4.289639 -4.128707 -4.797816 3.326198 2.781568 3.700121
3 676.1486095102 4.786183 2.991586 -0.385206 2.805292 -3.817256 1.399210 -3.566467 4.446689 0.218483 -0.853381
4 1628.8617568513 -2.354444 2.742337 -0.438497 0.684339 -4.812102 1.176355 1.120957 1.169340 4.437481 1.818203
5 1444.2624562490 -1.404921 -0.629680 1.976312 -4.397745 1.667667 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
6 3970.1665160187 0.701968 -0.613985 4.883738 -3.979552 -2.911232 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
7 3695.8050087674 -3.410304 -3.896249 1.563296 -3.618170 -3.034176 -1.312748 3.209932 -4.028987 3.379449 -4.039016
8 1762.4786309330 4.764595 -0.313488 4.767611 1.048455 2.392636 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
9 2030.0401393851 -1.820168 -0.857370 -4.358525 1.924721 0.666015 -2.346105 0.232481 -4.060595 0.759465 4.292962
10 2298.1156542546 -1.814310 1.674104 -3.682021 2.163272 -2.105939 -3.168086 0.865129 -4.798925 3.289400 -4.953045
11 1061.1498004345 1.778165 -2.299920 2.351940 4.621885 -2.512469 0.761573 0.920419 0.722519 -2.769184 4.527490
12 853.9723037930 -0.528746 3.464087 1.994793 -2.025630 3.137978 -1.034943 3.811032 0.812729 3.817354 1.925316
13 1134.6955950418 2.252543 0.013244 4.560836 1.439902 -0.761450 1.063932 -4.808068 -1.984252 1.601735 -2.099224
14 741.0277987498 1.180154 -0.712313 -3.645259 -2.017177 0.699649 0.908728 0.743252 1.532008 1.521033 -0.685816
15 952.5712358758 3.965466 -1.324381 -0.641351 3.919234 3.061940 2.038886 -3.997731 4.194826 2.142413 4.988470
16 2603.0123583224 -3.505517 3.681261 -3.375071 1.155596 -3.761800 3.480082 3.073190 0.691007 -0.928167 -4.308330
17 1454.5719901515 1.974288 -0.464573 2.220556 3.663823 4.755215 3.558033 -4.882859 -1.400219 2.299906 -3.283703
18 1567.5593332076 0.210366 -4.456620 -3.000035 -4.814782 2.936977 -2.760753 -1.546483 4.280813 2.044144 -4.681611
19 501.5003274688 -3.353058 1.214784 0.772286 -2.621072 4.342140 1.139660 0.356328 0.899100 2.301220 -1.880550
