evaluations raw_y x0 x1 x2 x3 x4
1 40770.7847548608 0.488135 2.151894 1.027634 0.448832 -0.763452
2 500594.6283882126 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 399013.2742938747 2.917250 0.288949 0.680446 4.255966 -4.289639
4 180836.7129089141 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 318461.8805515370 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 190268.0455111609 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 78468.8473211693 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 338768.5394237203 1.176355 1.120957 1.169340 4.437481 1.818203
9 34945.5269907364 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 12450.0073200914 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 261712.7886456810 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 25977.9659506352 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 25615.9969137071 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 310105.0922553955 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 349407.4901122745 4.764595 -0.313488 4.767611 1.048455 2.392636
16 15401.0478289776 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 70292.4968815648 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 17821.5424195017 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 120654.9609550356 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 240656.0234100665 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 450581.0593730939 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 10720.2798107308 0.761573 0.920419 0.722519 -2.769184 4.527490
23 84189.8949011062 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 319277.6031860670 -1.034943 3.811032 0.812729 3.817354 1.925316
25 232212.1887472236 2.252543 0.013244 4.560836 1.439902 -0.761450
26 84451.4368688305 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 3531.5386944236 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 65228.4680280529 0.908728 0.743252 1.532008 1.521033 -0.685816
29 316363.6679941853 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 202247.0128451659 2.038886 -3.997731 4.194826 2.142413 4.988470
31 152884.8345130601 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 89677.4733856462 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 214173.2295969738 1.974288 -0.464573 2.220556 3.663823 4.755215
34 200781.8443546744 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 9318.8215510770 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 245969.3840212425 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 12219.0020714044 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 111882.2053972849 1.139660 0.356328 0.899100 2.301220 -1.880550
39 333477.8600070133 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 1108.5875006492 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 20642.4287632405 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 23872.1377720943 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 181339.7582692117 4.903389 -2.831030 1.630782 -2.366776 -4.793490
