evaluations raw_y x0 x1 x2 x3 x4
1 1181.7357017235 0.488135 2.151894 1.027634 0.448832 -0.763452
2 26238.2112759543 1.458941 -0.624128 3.917730 4.636628 -1.165585
3 24429.7880106151 2.917250 0.288949 0.680446 4.255966 -4.289639
4 54070.1160883360 -4.128707 -4.797816 3.326198 2.781568 3.700121
5 13586.7643895544 4.786183 2.991586 -0.385206 2.805292 -3.817256
6 44859.4923878516 1.399210 -3.566467 4.446689 0.218483 -0.853381
7 83109.5362469457 -2.354444 2.742337 -0.438497 0.684339 -4.812102
8 21114.0886944830 1.176355 1.120957 1.169340 4.437481 1.818203
9 33582.5148176606 -1.404921 -0.629680 1.976312 -4.397745 1.667667
10 34737.6685080840 1.706379 -2.896174 -3.710737 -1.845716 -1.362892
11 70079.4181734460 0.701968 -0.613985 4.883738 -3.979552 -2.911232
12 59056.7654743424 -3.386905 1.531083 -2.467084 -0.336892 -2.555744
13 50779.2957539004 -3.410304 -3.896249 1.563296 -3.618170 -3.034176
14 289973.5320251136 -1.312748 3.209932 -4.028987 3.379449 -4.039016
15 92597.2226406559 4.764595 -0.313488 4.767611 1.048455 2.392636
16 119267.5052742770 -4.608122 -2.171930 -3.798034 -2.038598 -3.812723
17 38537.0960450311 -1.820168 -0.857370 -4.358525 1.924721 0.666015
18 100892.5178771380 -2.346105 0.232481 -4.060595 0.759465 4.292962
19 101851.9522818106 -1.814310 1.674104 -3.682021 2.163272 -2.105939
20 439994.5526077356 -3.168086 0.865129 -4.798925 3.289400 -4.953045
21 53764.3843348080 1.778165 -2.299920 2.351940 4.621885 -2.512469
22 44613.3195840976 0.761573 0.920419 0.722519 -2.769184 4.527490
23 101016.5970834853 -0.528746 3.464087 1.994793 -2.025630 3.137978
24 47300.6918754362 -1.034943 3.811032 0.812729 3.817354 1.925316
25 20621.3860342657 2.252543 0.013244 4.560836 1.439902 -0.761450
26 57174.5360945104 1.063932 -4.808068 -1.984252 1.601735 -2.099224
27 17222.1737142534 1.180154 -0.712313 -3.645259 -2.017177 0.699649
28 519.0025708666 0.908728 0.743252 1.532008 1.521033 -0.685816
29 49443.1582488604 3.965466 -1.324381 -0.641351 3.919234 3.061940
30 162030.2514762103 2.038886 -3.997731 4.194826 2.142413 4.988470
31 247865.1653465939 -3.505517 3.681261 -3.375071 1.155596 -3.761800
32 11644.8947765596 3.480082 3.073190 0.691007 -0.928167 -4.308330
33 45804.3556935227 1.974288 -0.464573 2.220556 3.663823 4.755215
34 178643.9770749434 3.558033 -4.882859 -1.400219 2.299906 -3.283703
35 181068.9378599879 0.210366 -4.456620 -3.000035 -4.814782 2.936977
36 105540.2781076395 -2.760753 -1.546483 4.280813 2.044144 -4.681611
37 90267.7489468524 -3.353058 1.214784 0.772286 -2.621072 4.342140
38 1264.4101628774 1.139660 0.356328 0.899100 2.301220 -1.880550
39 77044.8652221471 -1.017789 -2.901563 -3.138070 4.443724 2.395508
40 106126.2271893770 -0.095412 -2.725854 -2.456435 -4.419708 -0.655834
41 67667.8838004506 -1.882041 1.963435 -1.222482 -3.203963 -4.753213
42 54037.6650142389 -4.327504 1.793928 -0.463032 0.365792 3.966713
43 110307.9914705473 4.903389 -2.831030 1.630782 -2.366776 -4.793490
44 49404.2296054893 2.583787 -1.799828 -1.165361 0.883171 3.310485
45 64318.0560685683 1.289818 3.726507 -2.264580 2.980468 -3.143641
46 41190.7970568506 4.527917 1.874883 -2.844923 4.473706 2.308558
47 109532.3586345526 -2.460584 -2.866880 0.182007 -4.743373 -2.925299
48 4836.3947874033 -0.753145 -1.258300 -0.364246 -2.223713 0.867843
49 70467.7273141108 3.638556 -3.824681 0.173791 -3.679319 2.168597
50 28242.7868701071 -1.039403 0.654213 -3.167202 -3.551522 -0.119437
51 109305.5192742930 -1.443873 4.404319 2.653253 2.486636 4.037197
52 38.8569562335 -0.275361 0.356870 0.553044 0.372264 -0.288738
53 256194.9798961913 -5.000000 -3.126732 -3.646380 5.000000 -5.000000
54 15006.9641823475 5.000000 5.000000 2.833148 5.000000 -1.407102
55 140459.5904456944 -5.000000 -5.000000 5.000000 1.369698 -5.000000
56 35742.9100490007 1.269325 -0.755257 2.253884 -1.980812 -5.000000
57 123763.7517292644 1.033895 5.000000 -1.254129 -5.000000 -0.908637
58 9960.0298037741 5.000000 4.293541 -2.041005 5.000000 1.072614
59 15212.6052032758 1.501111 5.000000 2.516854 2.904773 0.341766
60 292625.9449691818 5.000000 -5.000000 3.564312 -3.277032 -5.000000
61 317443.8580969293 -5.000000 5.000000 4.563890 3.858262 2.058349
62 241515.0755408021 -5.000000 5.000000 1.893470 5.000000 -0.645910
63 277504.3950142692 -3.098942 3.405298 5.000000 2.012497 -4.182741
64 493922.2518897299 -5.000000 5.000000 0.285855 5.000000 5.000000
65 53332.5568608645 2.254170 -5.000000 1.581011 -2.198177 3.219551
66 410882.3254277367 5.000000 -5.000000 5.000000 5.000000 5.000000
67 70434.2999237892 3.685297 2.972138 1.846293 -5.000000 -0.124127
68 254976.2842492714 0.358227 -5.000000 5.000000 3.650297 -4.653309
69 48105.4616351661 -5.000000 -3.310355 5.000000 -4.062700 -1.029828
70 52389.2620667896 -5.000000 -5.000000 1.182676 -5.000000 4.437787
71 388417.8805041268 -3.541494 5.000000 -5.000000 -5.000000 1.240265
72 56587.9890310715 -5.000000 -5.000000 -0.089262 -2.670263 5.000000
73 53587.1626431786 -3.985941 -5.000000 -0.463243 1.448937 -5.000000
74 191603.6589553391 0.203312 5.000000 -5.000000 3.612005 5.000000
75 166043.2756572137 -5.000000 2.515836 5.000000 -4.193337 -1.956804
76 232181.0798843673 -1.291145 5.000000 -3.671172 5.000000 5.000000
77 410090.0225442607 -2.785122 5.000000 -2.502412 5.000000 -5.000000
78 132477.7736666810 0.835314 5.000000 0.754117 -5.000000 -5.000000
79 113660.7748840923 1.037895 -5.000000 0.175271 -2.186234 5.000000
80 311658.7516371483 3.882014 5.000000 0.151541 -5.000000 5.000000
81 183477.4171492874 1.231090 4.912129 5.000000 -5.000000 -2.977391
82 290519.6429883186 5.000000 -1.529893 5.000000 -5.000000 -5.000000
83 218917.7067377981 -5.000000 -5.000000 -5.000000 0.179490 -5.000000
84 399161.0720060854 1.993339 -5.000000 2.053433 5.000000 -4.997630
85 125756.1940078927 -5.000000 1.084416 1.559336 1.973690 -5.000000
86 431012.5029700318 0.811722 -5.000000 -5.000000 5.000000 -5.000000
87 656261.4723605696 5.000000 -5.000000 5.000000 5.000000 -5.000000
88 539512.2201183364 -5.000000 2.371140 -5.000000 5.000000 -2.767906
89 100024.5711042227 5.000000 -1.787850 5.000000 5.000000 0.223676
90 253623.9394728976 -5.000000 -0.219059 5.000000 -5.000000 -5.000000
91 47064.4258875780 -3.901562 -5.000000 -5.000000 -0.415223 -0.986268
92 589173.0249005895 -5.000000 3.416435 5.000000 5.000000 -5.000000
93 405517.8805786062 5.000000 -5.000000 0.694880 -4.265182 -4.161338
94 70322.4378375074 -3.983012 -5.000000 0.985073 -5.000000 5.000000
95 125304.0382640420 -5.000000 -4.074248 -5.000000 5.000000 0.676816
96 165403.9931236690 5.000000 -3.361026 0.019205 -5.000000 2.586246
97 53121.1095921398 5.000000 5.000000 -5.000000 -1.315462 2.197040
98 373221.3346910785 5.000000 -5.000000 3.241013 2.394047 -5.000000
99 658402.0977980680 0.716913 5.000000 5.000000 -5.000000 5.000000
